Date,Ticker,signal_name,signal_value_observed,source,frequency,lag_periods,research_only,notes,signal_value_tradable
2005-01-07,BIL,bm_quality_deterioration_warning,,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,
2005-01-14,BIL,bm_quality_deterioration_warning,,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,
2005-01-21,BIL,bm_quality_deterioration_warning,,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,
2005-01-28,BIL,bm_quality_deterioration_warning,,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,
2005-02-04,BIL,bm_quality_deterioration_warning,0.5045207956600362,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,
2005-02-11,BIL,bm_quality_deterioration_warning,0.5045207956600362,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.5045207956600362
2005-02-18,BIL,bm_quality_deterioration_warning,0.5045207956600362,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.5045207956600362
2005-02-25,BIL,bm_quality_deterioration_warning,0.5045207956600362,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.5045207956600362
2005-03-04,BIL,bm_quality_deterioration_warning,0.5045207956600362,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.5045207956600362
2005-03-11,BIL,bm_quality_deterioration_warning,0.5045207956600362,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.5045207956600362
2005-03-18,BIL,bm_quality_deterioration_warning,0.5045207956600362,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.5045207956600362
2005-03-25,BIL,bm_quality_deterioration_warning,0.5045207956600362,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.5045207956600362
2005-04-01,BIL,bm_quality_deterioration_warning,0.5045207956600362,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.5045207956600362
2005-04-08,BIL,bm_quality_deterioration_warning,0.37523984531213683,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.5045207956600362
2005-04-15,BIL,bm_quality_deterioration_warning,0.46018670844865417,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.37523984531213683
2005-04-22,BIL,bm_quality_deterioration_warning,0.39589848032032127,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.46018670844865417
2005-04-29,BIL,bm_quality_deterioration_warning,0.4077489816876868,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.39589848032032127
2005-05-06,BIL,bm_quality_deterioration_warning,0.7973267962435774,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.4077489816876868
2005-05-13,BIL,bm_quality_deterioration_warning,0.7437110663473125,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.7973267962435774
2005-05-20,BIL,bm_quality_deterioration_warning,0.6718967643136551,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.7437110663473125
2005-05-27,BIL,bm_quality_deterioration_warning,0.6709851872853961,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.6718967643136551
2005-06-03,BIL,bm_quality_deterioration_warning,0.6451500970095987,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.6709851872853961
2005-06-10,BIL,bm_quality_deterioration_warning,0.40731524080963866,weekly ETF prices / market state history,weekly,1,True,Negative deterioration score so higher values favor risk-on and lower values warn to favor defense.,0.6451500970095987
