Date,Ticker,signal_value_observed,signal_name,source,frequency,lag_periods,research_only,notes,signal_value_tradable
2005-01-07,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-01-14,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-01-21,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-01-28,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-02-04,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-02-11,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-02-18,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-02-25,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-03-04,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-03-11,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-03-18,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-03-25,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-04-01,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-04-08,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-04-15,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-04-22,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-04-29,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-05-06,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-05-13,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-05-20,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-05-27,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-06-03,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-06-10,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-06-17,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-06-24,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
2005-07-01,BIL,,bm_quality_trend_efficiency,existing strong signal panels / weekly ETF prices,weekly,1,True,"Signed 26-week trend efficiency: absolute momentum divided by path length, then one-week lagged.",
