base_signal,gated_signal_name,gate_name,avg_full_mean_ic,avg_holdout_mean_ic,avg_full_nw_tstat,avg_holdout_nw_tstat,min_full_n_dates,min_holdout_n_dates,calm_trend_mean_ic,stressed_panic_mean_ic,base_unconditional_stressed_panic_mean_ic,stressed_panic_improvement,max_redundancy_vs_strong,most_redundant_existing_signal,gate_active_share,research_only,verdict,verdict_reason
r2_yield_curve,r2_yield_curve__unconditional,unconditional,-0.029339836413850386,0.07570693909142487,-1.169587888811353,1.965942318026844,968,295,-0.0940485811183961,-0.023098412483701765,-0.023098412483701765,0.0,0.04742126646838275,breadth_confirmed_momentum,0.9990990990990991,True,research-only,full IC not positive; stressed_panic damage remains
r2_yield_curve,r2_yield_curve__calm_trend_only,calm_trend_only,-0.08848106131477788,-0.005730618802008151,-2.268116734901701,-0.19240628474216911,269,98,-0.07916067407055642,,-0.023098412483701765,,0.025423504794109954,trend_clarity_momentum,0.26576576576576577,True,reject,full IC not positive; holdout IC not positive
r2_yield_curve,r2_yield_curve__no_stressed_panic,no_stressed_panic,-0.03471546026453796,0.05216169842574642,-1.3466443895676097,1.241139340612953,756,233,-0.0940485811183961,-0.15453257823699987,-0.023098412483701765,-0.1314341657532981,0.07575748215977818,breadth_confirmed_momentum,0.7927927927927928,True,research-only,full IC not positive; stressed_panic damage remains
r2_yield_curve,r2_yield_curve__recovery_only,recovery_only,0.04915801006269462,0.1911673389048545,0.5367920268736913,2.1256926609092184,85,30,-0.07647523553833148,-0.3431356898787871,-0.023098412483701765,-0.32003727739508536,0.029073801557557077,breadth_confirmed_momentum,0.08288288288288288,True,research-only,insufficient observations; stressed_panic damage remains
r2_yield_curve,r2_yield_curve__vix_below_past_median,vix_below_past_median,-0.05180760569949792,-0.028768242150800417,-1.6684461235828691,-0.7160554764094774,499,147,-0.12796255406335189,0.013490417865410432,-0.023098412483701765,0.0365888303491122,0.05533667679872109,trend_clarity_momentum,0.4864864864864865,True,reject,full IC not positive; holdout IC not positive
r2_yield_curve,r2_yield_curve__breadth_confirms,breadth_confirms,-0.028017989784132676,0.08179638666109204,-1.1092632484383302,2.1592423082153234,963,290,-0.0940485811183961,-0.016804320282509503,-0.023098412483701765,0.006294092201192262,0.04597426077291207,breadth_confirmed_momentum,0.981081081081081,True,research-only,full IC not positive
r2_yield_curve,r2_yield_curve__calm_or_breadth_no_stress,calm_or_breadth_no_stress,-0.03471546026453796,0.05216169842574642,-1.3466443895676097,1.241139340612953,756,233,-0.0940485811183961,-0.15453257823699987,-0.023098412483701765,-0.1314341657532981,0.07575748215977818,breadth_confirmed_momentum,0.7810810810810811,True,research-only,full IC not positive; stressed_panic damage remains
r2_credit_spread,r2_credit_spread__unconditional,unconditional,0.018586364933849277,0.01657612868589338,0.724257433658232,0.4706092521315264,914,315,0.0619440031455483,-0.07808771304751769,-0.07808771304751769,0.0,0.25887420758900803,xsmom_global,0.9990990990990991,True,promising-if-gated,stressed_panic damage remains
r2_credit_spread,r2_credit_spread__calm_trend_only,calm_trend_only,0.07694282821604484,0.09162297911334,1.768575166802103,1.7341685449180493,273,102,0.05813400316271785,,-0.07808771304751769,,0.16147456483242367,xsmom_global,0.26576576576576577,True,candidate-pass,Positive full/holdout IC and no large stressed_panic damage under this gate.
r2_credit_spread,r2_credit_spread__no_stressed_panic,no_stressed_panic,0.04492066542465987,0.037140792745723725,1.6693142434992652,0.9934096533335787,727,246,0.0619440031455483,0.020014959625897565,-0.07808771304751769,0.09810267267341526,0.23999938616798025,xsmom_global,0.7927927927927928,True,promising-if-gated,Gate improved stressed_panic behavior while retaining positive holdout/calm evidence.
r2_credit_spread,r2_credit_spread__recovery_only,recovery_only,-0.0179010848674928,-0.02018657427619034,-0.14339646690641072,-0.06377051673661438,83,34,0.01623278076806204,-0.22609099675456878,-0.07808771304751769,-0.1480032837070511,0.03556310227397534,trend_clarity_momentum,0.08288288288288288,True,reject,insufficient observations; full IC not positive; holdout IC not positive; stressed_panic damage remains
