model,train_end_date,n_train,pos_rate_train,score_start,score_end,label,target
logistic,2010-01-01,60,0.43333333333333335,2010-01-08,2010-07-02,regime_only,target_A_stress_transition_4w
logistic,2010-07-02,86,0.3023255813953488,2010-07-09,2010-12-31,regime_only,target_A_stress_transition_4w
logistic,2010-12-31,112,0.23214285714285715,2011-01-07,2011-07-01,regime_only,target_A_stress_transition_4w
logistic,2011-07-01,138,0.18840579710144928,2011-07-08,2011-12-30,regime_only,target_A_stress_transition_4w
logistic,2011-12-30,164,0.27439024390243905,2012-01-06,2012-06-29,regime_only,target_A_stress_transition_4w
logistic,2012-06-29,190,0.23684210526315788,2012-07-06,2012-12-28,regime_only,target_A_stress_transition_4w
logistic,2012-12-28,216,0.20833333333333334,2013-01-04,2013-06-28,regime_only,target_A_stress_transition_4w
logistic,2013-06-28,242,0.1859504132231405,2013-07-05,2013-12-27,regime_only,target_A_stress_transition_4w
logistic,2013-12-27,268,0.16791044776119404,2014-01-03,2014-06-27,regime_only,target_A_stress_transition_4w
logistic,2014-06-27,294,0.18027210884353742,2014-07-04,2014-12-26,regime_only,target_A_stress_transition_4w
logistic,2014-12-26,320,0.2,2015-01-02,2015-06-26,regime_only,target_A_stress_transition_4w
logistic,2015-06-26,346,0.20520231213872833,2015-07-03,2015-12-25,regime_only,target_A_stress_transition_4w
logistic,2015-12-25,372,0.25268817204301075,2016-01-01,2016-06-24,regime_only,target_A_stress_transition_4w
logistic,2016-06-24,398,0.2638190954773869,2016-07-01,2016-12-23,regime_only,target_A_stress_transition_4w
logistic,2016-12-23,424,0.24764150943396226,2016-12-30,2017-06-23,regime_only,target_A_stress_transition_4w
logistic,2017-06-23,450,0.23333333333333334,2017-06-30,2017-12-22,regime_only,target_A_stress_transition_4w
logistic,2017-12-22,476,0.22058823529411764,2017-12-29,2018-06-22,regime_only,target_A_stress_transition_4w
logistic,2018-06-22,502,0.24900398406374502,2018-06-29,2018-12-21,regime_only,target_A_stress_transition_4w
logistic,2018-12-21,528,0.26325757575757575,2018-12-28,2019-06-21,regime_only,target_A_stress_transition_4w
logistic,2019-06-21,554,0.259927797833935,2019-06-28,2019-12-20,regime_only,target_A_stress_transition_4w
