,BIL,DBA,EEM,EFA,EWJ,GLD,HYG,IAU,IEF,IWM,LQD,MBB,PDBC,QQQ,SHY,SLV,SPY,TIP,TLT,USO,UUP,VEA,VNQ,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2005-01-14,0.5958283060043301,0.0,0.0,0.0,0.0,0.1369272079799142,0.014321905584272144,0.0,0.0,0.0,0.12349769308016761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129424887351316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-21,0.610094613723717,0.0,0.0,0.0,0.0,0.1364981957331603,0.01207639341049847,0.0,0.0,0.0,0.108732390501082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13259840663154215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-28,0.6172663595536885,0.0,0.0,0.0,0.0,0.13628252908330368,0.01094756296009914,0.0,0.0,0.0,0.10130979740392629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13419375099898256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-04,0.6208716328494419,0.0,0.0,0.0,0.0,0.1361741123557806,0.01038009412130531,0.0,0.0,0.0,0.09757842190445068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13499573876902138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-11,0.6226840221679194,0.0,0.0,0.0,0.0,0.13611961071255194,0.010094824634742384,0.0,0.0,0.0,0.09570264036343884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353989021213475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-18,0.6235951195445314,0.0,0.0,0.0,0.0,0.13609221245785,0.009951418205348214,0.0,0.0,0.0,0.09475967539245286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13560157439981746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-25,0.3550300488878144,0.0,0.0,0.0,0.0,0.20333421020666032,0.009879327060096874,0.0,0.0,0.0,0.1615414130719639,0.0,0.0,0.06725577099152823,0.0,0.0,0.0,0.0,0.2029592297819363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-04,0.35477447917116733,0.0,0.0,0.0,0.0,0.20344874016436948,0.009843086472798203,0.0,0.0,0.0,0.16142456793966187,0.0,0.0,0.06737722482877016,0.0,0.0,0.0,0.0,0.20313190142323306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-11,0.3643915549451189,0.0,0.0,0.0,0.0,0.20317509738549766,0.010198033290742047,0.0,0.0,0.0,0.1780467145662744,0.0,0.0,0.05401630050635596,0.0,0.0,0.0,0.0,0.19017229930601115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-18,0.4723503543200327,0.0,0.0,0.0,0.0,0.12665341410464837,0.03642361329062937,0.0,0.0,0.0,0.22664900499406015,0.0,0.0,0.026250000000000002,0.0,0.0,0.0,0.0,0.11167361329062936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-25,0.470840719402381,0.0,0.0,0.0,0.0,0.10957860202924885,0.043846308690413345,0.0,0.0,0.0,0.2519896367586127,0.0,0.0,0.01598929554956687,0.0,0.0,0.0,0.0,0.10775543756977722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,0.45628412294234316,0.0,0.0,0.0,0.0,0.10823269229803714,0.05226766764646626,0.0,0.0,0.0,0.2612560687794385,0.0,0.0,0.011459041626313685,0.0,0.0,0.0,0.0,0.11050040670740133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-08,0.451182233710751,0.0,0.0,0.0,0.0,0.10798766904701297,0.05540562156525158,0.0,0.0,0.0,0.2651775116947644,0.0,0.0,0.009336770646612733,0.0,0.0,0.0,0.0,0.1109101933356074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-15,0.4485503807111421,0.0,0.0,0.0,0.0,0.10814116471729635,0.056712134701355756,0.0,0.0,0.0,0.2672402178681608,0.0,0.0,0.008352157346827262,0.0,0.0,0.0,0.0,0.11100394465521757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-22,0.447428386512572,0.0,0.0,0.0,0.0,0.10811247928098974,0.057374114801627775,0.0,0.0,0.0,0.26810619435640504,0.0,0.0,0.007895352650637597,0.0,0.0,0.0,0.0,0.11108347239776786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-29,0.4392368634074357,0.0,0.0,0.0,0.0,0.11577004400065803,0.05768824895640741,0.0,0.0,0.0,0.26849652772625604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11112489471484946,0.0,0.0,0.0,0.0076834211943934095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-06,0.4412208866750335,0.0,0.0,0.0,0.0,0.12089027120511177,0.05291707755509126,0.0,0.0,0.0,0.2703361199233634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1070530417587969,0.0,0.0,0.0,0.0075826028826032005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-13,0.4399356159560839,0.0,0.0,0.0,0.0,0.11802164472941443,0.05565556733896019,0.0,0.0,0.0,0.26955465807455203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10929418131608214,0.0,0.0,0.0,0.007538332584907404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-20,0.44895290024409384,0.0,0.0,0.0,0.0,0.10743655682023157,0.061775907343418104,0.0,0.0,0.0,0.26190789043601936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11241045976578581,0.0,0.0,0.0,0.007516285390451269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-05-27,0.45123382724134065,0.0,0.0,0.0,0.0,0.1031084452792351,0.06467090354855635,0.0,0.0,0.0,0.25932346718739896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11415640349396686,0.0,0.0,0.0,0.007506953249502065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-03,0.4522076973217242,0.0,0.0,0.0,0.0,0.10126050435897464,0.06590695809585714,0.0,0.0,0.0,0.2582200156170869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11490185583021485,0.0,0.0,0.0,0.00750296877614219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-10,0.4740558668395051,0.0,0.0,0.0,0.0,0.09460370001180259,0.06570924463537256,0.0,0.0,0.0,0.24407176561536598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11405819243907207,0.0,0.0,0.0,0.007501230458881607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-17,0.46366316633344995,0.0,0.0,0.0,0.0,0.09614061022237812,0.06803131415004408,0.0,0.0,0.0,0.24425592808877739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12040847122110554,0.0,0.0,0.0,0.0075005099842449605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-24,0.2684428293929004,0.0,0.0,0.0399236407843547,0.0,0.13759275558144585,0.06600278566063837,0.0,0.0,0.0,0.23996329726706003,0.0,0.0,0.0,0.0,0.0,0.0399236407843547,0.0,0.1606299210555709,0.0,0.0,0.0,0.04752112947367515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-01,0.25727418535104396,0.0,0.0,0.03886222076349591,0.0,0.14268135111169933,0.06476079518912034,0.0,0.0,0.0,0.25432441911436143,0.0,0.0,0.0,0.0,0.0,0.03886222076349591,0.0,0.15682889023399427,0.0,0.0,0.0,0.046405917472788896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-08,0.25513272514034635,0.0,0.0,0.03838646750009143,0.0,0.13997177162827212,0.06452080412924939,0.0,0.0,0.0,0.26204338472510147,0.0,0.0,0.0,0.0,0.0,0.03838646750009143,0.0,0.1504955258691082,0.0,0.0,0.0,0.05106285350773973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-15,0.27697458302494665,0.0,0.03370718734826258,0.03816931937700785,0.0,0.13168241344672327,0.0,0.0,0.0,0.0,0.13703610034463992,0.0,0.0,0.0,0.0,0.0,0.03971855360253152,0.0,0.1314824224861373,0.0,0.0,0.0,0.05312885140783849,0.0,0.01653018221343971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14157038674847272,0.0,0.0
2005-07-22,0.2646879216633417,0.0,0.04195563877845883,0.05564089297993474,0.0,0.13705329813582093,0.0,0.0,0.0,0.0,0.12548580369980564,0.0,0.0,0.0,0.0,0.0,0.06810271935642384,0.0,0.13181553484197728,0.0,0.0,0.0,0.07120535115453722,0.0,0.025204269776889752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07884856961281006,0.0,0.0
2005-07-29,0.2593394553430373,0.0,0.047951301441600216,0.07500323419219389,0.0,0.07563744023381992,0.0,0.0,0.0,0.0,0.11994206988332017,0.0,0.0,0.0,0.0,0.0,0.08543325074127878,0.0,0.14685520313831552,0.0,0.0,0.0,0.09013061749579739,0.0,0.029547450092568234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07015997743806868,0.0,0.0
2005-08-05,0.2596928033963957,0.0,0.039766417863766876,0.05954973374998274,0.0,0.10046603375061461,0.0,0.0,0.0,0.0,0.16038131400726352,0.0,0.0,0.0,0.0,0.0,0.05954973374998274,0.0,0.13768793066982032,0.0,0.0,0.0,0.08002667775626449,0.0,0.031098896639979372,0.0,0.0,0.0,0.0,0.0,0.01862054427546472,0.0,0.05315991414046488,0.0,0.0
2005-08-12,0.3010388817817201,0.0,0.03092563826029106,0.05495756553954709,0.0,0.11137964487391656,0.0,0.0,0.0,0.0,0.1794467226895815,0.0,0.0,0.0,0.0,0.0,0.06285199136840326,0.0,0.1248554156209292,0.0,0.0,0.0,0.07424874172664865,0.0,0.017013669070744298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0432817290682183,0.0,0.0
2005-08-19,0.25007750626007624,0.0,0.0,0.054320457544615376,0.0,0.14954166666666666,0.019893065838612185,0.0,0.0,0.0,0.1945628652175713,0.0,0.0,0.0,0.0,0.0,0.054320457544615376,0.0,0.18358852338322754,0.0,0.0,0.0,0.09369545754461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-26,0.2444656018612994,0.0,0.0,0.03812370548352977,0.0,0.18766537215019644,0.018333466285561408,0.0,0.0,0.0,0.19183356599973245,0.0,0.0,0.0,0.0,0.0,0.03812370548352977,0.0,0.16583217176909118,0.0,0.0,0.0,0.07749870548352977,0.0,0.0,0.03812370548352977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-02,0.22768162055877708,0.0,0.0,0.04353461724912627,0.0,0.19307628391579293,0.014151735807946262,0.0,0.0,0.0,0.18451553766390594,0.0,0.0,0.0,0.0,0.0,0.04353461724912627,0.0,0.16706135305707254,0.0,0.0,0.0,0.08290961724912627,0.0,0.0,0.04353461724912627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-09,0.21471842302870167,0.0,0.0,0.047697618887122706,0.0,0.19723928555378936,0.010947785861838762,0.0,0.0,0.0,0.17890862525821782,0.0,0.0,0.0,0.0,0.0,0.047697618887122706,0.0,0.16802040474896146,0.0,0.0,0.0,0.0870726188871227,0.0,0.0,0.047697618887122706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-09-16,0.24874191926112754,0.0,0.009375746476800697,0.05449249021135896,0.0,0.17662269064383418,0.0,0.0,0.0,0.0,0.1693575816752396,0.0,0.0,0.003669925869662715,0.0,0.0,0.05449249021135896,0.0,0.12870266506182998,0.0,0.0,0.0,0.08074249021135896,0.0,0.0,0.06223425256085072,0.0,0.0,0.0,0.0,0.0,0.0,0.011567747816577476,0.0,0.0
2005-09-23,0.24559627447207294,0.0,0.011286985503467985,0.05759064808674017,0.0,0.17297372900497918,0.0,0.0,0.0,0.0,0.1774599114503749,0.0,0.0,0.0,0.0,0.0,0.05759064808674017,0.0,0.11773376111061504,0.0,0.0,0.0,0.07440668159069203,0.0,0.0,0.06665507306743317,0.0,0.0,0.0,0.0,0.005263664414928588,0.0,0.013442623211955747,0.0,0.0
2005-09-30,0.22255698666889676,0.0,0.0,0.04651842055682162,0.0,0.19606008722348828,0.010744219552935114,0.0,0.0,0.0,0.17855238421763642,0.0,0.0,0.0,0.0,0.0,0.04651842055682162,0.0,0.16663764010975674,0.0,0.0,0.0,0.08589342055682161,0.0,0.0,0.04651842055682162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-07,0.22950757589509818,0.0,0.0,0.04364499917415096,0.0,0.19318666584081762,0.013488203304887807,0.0,0.0,0.0,0.18335435578355364,0.0,0.0,0.0,0.0,0.0,0.04364499917415096,0.0,0.16650820247903875,0.0,0.0,0.0,0.08301999917415095,0.0,0.0,0.04364499917415096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-14,0.30618829634022,0.0,0.0,0.037995136220863125,0.0,0.16778690421699416,0.018139556141079715,0.0,0.0,0.0,0.20745185987464027,0.0,0.0,0.0,0.0,0.0,0.037995136220863125,0.0,0.12679376545277807,0.0,0.0,0.0,0.05965420931169835,0.0,0.0,0.037995136220863125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-21,0.2908484473110911,0.0,0.0,0.03573335401520052,0.0,0.1780235549184405,0.01693329767016628,0.0,0.0,0.0,0.2220690064119699,0.0,0.0,0.0,0.0,0.0,0.03573335401520052,0.0,0.12909190658509398,0.0,0.0,0.0,0.05583372505763664,0.0,0.0,0.03573335401520052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-10-28,0.28532960848843136,0.0,0.025299402175249643,0.04835294200038187,0.0,0.18160551704951883,0.0,0.0,0.0,0.0,0.19182859129395793,0.0,0.0,0.006971525457644234,0.0,0.0,0.0,0.0,0.12611290226566285,0.0,0.0,0.0,0.06334470405366203,0.0,0.0,0.0705316941009753,0.0,0.0,0.0006231131145158671,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-04,0.26419853114828734,0.0,0.059948938915924864,0.0497552862116198,0.0,0.15925240234531757,0.0,0.0,0.0,0.0,0.17784700578360269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12034530334991854,0.0,0.0,0.0,0.06070290487668595,0.0,0.0,0.10794962736864328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-11-11,0.2582653221586153,0.0,0.06961750965182728,0.04621787706251155,0.0,0.14613279337169294,0.0,0.0,0.0,0.0,0.16927929141829473,0.0,0.0,0.02196118342869319,0.0,0.0,0.0,0.0,0.11957418872559411,0.0,0.0,0.0,0.0594929446127007,0.0,0.0062166089312596555,0.10324228063881058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
