Date,gross_return,net_return,turnover,cost,wealth,drawdown
2005-01-07,0.0,0.0,,0.0,1.0,0.0
2005-01-14,0.0,0.0,0.0,0.0,1.0,0.0
2005-01-21,0.0,0.0,0.0,0.0,1.0,0.0
2005-01-28,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-08,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-15,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-22,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-29,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-06,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-13,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-20,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-27,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-03,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-10,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-17,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-24,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-08,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-15,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-22,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-29,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-05,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-12,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-19,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-26,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-02,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-09,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-16,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-23,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-30,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-07,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-14,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-21,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-28,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-02,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-09,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-16,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-23,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-30,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-06,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-13,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-20,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-27,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-03,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-10,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-17,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-24,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-03,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-10,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-17,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-24,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-31,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-07,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-14,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-21,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-28,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-05,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-12,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-19,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-26,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-02,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-09,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-16,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-23,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-30,0.005633810761298228,0.0048338107612982285,0.7999999999999998,0.0007999999999999998,1.0048338107612982,0.0
2006-07-07,0.0035521884185307005,0.0035521884185307005,0.0,0.0,1.0084031697864326,0.0
2006-07-14,-0.012358580857899442,-0.01244358690344199,0.08500604554254705,8.500604554254705e-05,0.9958550173094889,-0.012443586903441939
2006-07-21,0.022989160592696258,0.02290415454715371,0.08500604554254705,8.500604554254705e-05,1.0186642345325039,0.0
2006-07-28,0.00876659967696968,0.008438899960484988,0.3276997164846921,0.0003276997164846921,1.0272606401010478,0.0
2006-08-04,-0.01638270202704399,-0.016485267136858363,0.10256510981437193,0.00010256510981437193,1.0103259740298018,-0.016485267136858384
2006-08-11,0.005585042745105892,0.005581692864333232,0.0033498807726599494,3.3498807726599497e-06,1.0159653033096945,-0.010995589970469677
2006-08-18,0.002389982013748691,0.002277940537193356,0.11204147655533497,0.00011204147655533498,1.0182796118584856,-0.008742696733400335
2006-08-25,0.009042772745236521,0.00891041392902964,0.13235881620688056,0.00013235881620688055,1.0273529046956364,0.0
2006-09-01,-0.009802792701722539,-0.009908649493692748,0.10585679197021006,0.00010585679197021006,1.0171732248566803,-0.009908649493692745
2006-09-08,-0.010473894574139234,-0.010615126653146434,0.14123207900719933,0.00014123207900719933,1.0063758022466371,-0.02041859457750206
2006-09-15,0.0033287367463669193,0.003230474489548507,0.09826225681841261,9.826225681841261e-05,1.0096268736026939,-0.01725408183684851
2006-09-22,0.009091392574413694,0.009023078013041004,0.06831456137269004,6.831456137269004e-05,1.0187368156472736,-0.008386688750264937
2006-09-29,-0.0032739633668193236,-0.003427800921725394,0.15383755490607032,0.00015383755490607032,1.0152447886516023,-0.011785741772561864
2006-10-06,0.011414977343561757,0.011363563354697837,0.05141398886391976,5.141398886391976e-05,1.0267815871279715,-0.0005561064411787608
2006-10-13,0.0022613979077872044,0.00223682304718153,0.024574860605674223,2.4574860605674224e-05,1.029078315846481,0.0
2006-10-20,0.006019712348326837,0.005949863727079606,0.06984862124723074,6.984862124723074e-05,1.0352011915902601,0.0
2006-10-27,0.001611596740301529,0.0014736448102713488,0.13795193003018003,0.00013795193003018002,1.036726710453834,0.0
2006-11-03,0.007798167540571679,0.007780922627245488,0.01724491332619075,1.724491332619075e-05,1.044793400773474,0.0
2006-11-10,0.005285664496785793,0.005126095677334257,0.15956881945153562,0.0001595688194515356,1.0501491117088864,0.0
2006-11-17,0.023895920297251932,0.023840432297035686,0.05548800021624721,5.5488000216247215e-05,1.0751851205083742,0.0
2006-11-24,0.0034408263489548005,0.0031596519429042385,0.2811744060505622,0.00028117440605056223,1.0785823312633702,0.0
2006-12-01,0.0021467328985591136,0.002117394284742347,0.029338613816766484,2.9338613816766484e-05,1.0808661153272114,0.0
2006-12-08,0.001262125196066926,0.0010553106184069201,0.2068145776600057,0.0002068145776600057,1.0820067648157925,0.0
2006-12-15,-0.004649094862187624,-0.004833902324330533,0.1848074621429094,0.0001848074621429094,1.076776449800408,-0.0048339023243305634
2006-12-22,0.00998013374390568,0.009919053220325812,0.06108052357986891,6.10805235798689e-05,1.0874570527123717,0.0
2006-12-29,-0.019410395360636358,-0.01962486267975936,0.21446731912300065,0.00021446731912300065,1.0661158573827556,-0.01962486267975927
2007-01-05,0.018466773120989013,0.018398315521633683,0.06845759935533186,6.845759935533186e-05,1.0857305933095005,-0.001587611573776626
2007-01-12,0.009569181711255125,0.009503378487696475,0.0658032235586503,6.58032235586503e-05,1.096048702073392,0.0
2007-01-19,0.004668978354667772,0.004622966823208459,0.046011531459313394,4.60115314593134e-05,1.101115698859698,0.0
2007-01-26,0.013401408129326869,0.013208055428586253,0.1933527007406165,0.0001933527007406165,1.1156592960435234,0.0
2007-02-02,0.0028886627308465514,0.0028765739282596557,0.012088802586895556,1.2088802586895555e-05,1.1188685724873428,0.0
2007-02-09,0.010312145012751498,0.010255324423522292,0.05682058922920555,5.682058922920555e-05,1.130342932685484,0.0
2007-02-16,-0.0007646222378500241,-0.000824664086708395,0.06004184885837088,6.0041848858370886e-05,1.1294107794632335,-0.0008246640867084487
2007-02-23,-0.028786785911260965,-0.02895310544055731,0.16631952929634325,0.00016631952929634325,1.0967108300797326,-0.029753892941010163
2007-03-02,0.008341135936046842,0.008310757835465962,0.030378100580879683,3.0378100580879684e-05,1.1058253282040582,-0.02169041250443926
2007-03-09,-0.009595255870314954,-0.009801620287368121,0.2063644170531666,0.0002063644170531666,1.0949864482328477,-0.03127943160456248
2007-03-16,0.027705675168246194,0.02763579524246716,0.06987992577903453,6.987992577903453e-05,1.125247269509487,-0.004508068329219794
2007-03-23,-0.005174188646302948,-0.005212184273936321,0.037995627633372366,3.799562763337237e-05,1.11938227338706,-0.009696755720304706
2007-03-30,0.012229641554730003,0.012087598909819317,0.1420426449106859,0.0001420426449106859,1.1329129173345245,0.0
2007-04-06,0.002595176343881424,0.0024602297046116186,0.1349466392698053,0.0001349466392698053,1.135700143346489,0.0
2007-04-13,0.012747978059263606,0.012635779129103462,0.11219893016014401,0.00011219893016014402,1.1500505995147063,0.0
2007-04-20,-0.0028340665752424883,-0.0029208539010118968,0.08678732576940862,8.678732576940862e-05,1.1466914697347528,-0.0029208539010118217
2007-04-27,0.0035973832880313713,0.0034385031696258592,0.1588801184055119,0.0001588801184055119,1.1506343719880185,0.0
2007-05-04,-0.0011562141199287523,-0.0012781513481730739,0.12193722824432149,0.0001219372282443215,1.1491636871142077,-0.0012781513481731066
2007-05-11,-0.012404503216025011,-0.012455601994341158,0.051098778316146384,5.109877831614639e-05,1.1348501616011635,-0.013717833198032992
2007-05-18,0.0005830650610193948,0.0005411191351463689,0.04194592587302602,4.194592587302602e-05,1.1354642507391297,-0.013184137044922939
2007-05-25,0.01388712804328849,0.013783822562808483,0.10330548048000611,0.00010330548048000611,1.15111528849773,0.0
2007-06-01,-0.017161446070875462,-0.017202517407130587,0.04107133625512428,4.1071336255124283e-05,1.1313132077097336,-0.017202517407130635
2007-06-08,0.006863522804478359,0.006856159140804422,0.007363663673937759,7.36366367393776e-06,1.1390696710998856,-0.010464301463291914
2007-06-15,-0.006518487886801094,-0.00652606488367512,0.007576996874025726,7.576996874025726e-06,1.1316360285192613,-0.016922075636655265
2007-06-22,0.005438550629817265,0.00541932199629608,0.019228633521184826,1.922863352118483e-05,1.137768728540417,-0.011594459817079739
2007-06-29,0.0095965561763863,0.00940878491184789,0.18777126453840998,0.00018777126453841,1.1484737497866804,-0.0022947646838198388
2007-07-06,0.00977019963610429,0.009755356337290548,0.014843298813740875,1.4843298813740875e-05,1.1596775204598737,0.0
