date,market_state,ggg_net_return,fg_net_return,ggg_fwd8,fg_fwd8,fg_sh8_annualized,bil_fwd8,frontier_beats_ggg_label,deploy_quality_label,triple_barrier_label,conservative_override_label,rerisk_quality_label,phase1_r2a,phase2_avg_trend_quality,phase4_raw_leadership_quality,phase4_inverted_fragility,phase5_master_deployment_quality,fragility_guard_active_flag,trailing_8w_portfolio_vol,trailing_8w_spy_return,trailing_8w_ggg_return,trailing_8w_phase5_return
2005-01-07,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,,,,
2005-01-14,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,,,,
2005-01-21,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,,,,
2005-01-28,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,0.0,0.0
2005-02-04,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,0.0,0.0
2005-02-11,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,0.0,0.0
2005-02-18,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,0.0,0.0
2005-02-25,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,0.0,0.0
2005-03-04,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0362209891681724,0.0,0.0
2005-03-11,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.018182988744304796,0.0,0.0
2005-03-18,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.019057829886965694,0.0,0.0
2005-03-25,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0014482394143351396,0.0,0.0
2005-04-01,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.019452075379242317,0.0,0.0
2005-04-08,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.019098121339809926,0.0,0.0
2005-04-15,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.04810723712516629,0.0,0.0
2005-04-22,neutral_mixed,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.044519866024328225,0.0,0.0
