param_count_gate,param_mult_partial,param_mult_full,param_dd_context,n_fire,full_sharpe_delta,holdout_sharpe_delta,maxdd_delta,is_primary
2,1.1,1.2,-0.08,36,0.0010340600345400963,0.0,0.0,False
2,1.1,1.2,-0.1,29,0.0008926257607182464,0.0,-1.1102230246251565e-16,False
2,1.1,1.2,-0.15,18,0.0005212542532063713,0.0,0.0,False
3,1.1,1.2,-0.08,3,0.00024137281965541657,0.0,1.1102230246251565e-16,False
3,1.1,1.2,-0.1,3,0.00024137281965541657,0.0,1.1102230246251565e-16,False
3,1.1,1.2,-0.15,1,9.00094406456331e-05,0.0,0.0,False
2,1.15,1.3,-0.08,36,0.0014967583548931573,0.0,0.0,False
2,1.15,1.3,-0.1,29,0.0012944147004745332,0.0,0.0,True
2,1.15,1.3,-0.15,18,0.0007491808302287906,0.0,1.1102230246251565e-16,False
3,1.15,1.3,-0.08,3,0.00036023705129040184,0.0,0.0,False
3,1.15,1.3,-0.1,3,0.00036023705129040184,0.0,0.0,False
3,1.15,1.3,-0.15,1,0.0001349551554898909,0.0,0.0,False
2,1.25,1.5,-0.08,36,0.0023911401397391785,0.0,1.1102230246251565e-16,False
2,1.25,1.5,-0.1,29,0.0020673596285646356,0.0,1.1102230246251565e-16,False
2,1.25,1.5,-0.15,18,0.0011883457359402883,0.0,1.1102230246251565e-16,False
3,1.25,1.5,-0.08,3,0.0005860125928571769,0.0,0.0,False
3,1.25,1.5,-0.1,3,0.0005860125928571769,0.0,0.0,False
3,1.25,1.5,-0.15,1,0.00021811807482674528,0.0,0.0,False
