date,sleeve,ticker,weight
2005-01-07,Top5_Smooth_Momentum,BIL,1.0
2005-01-14,Top5_Smooth_Momentum,BIL,1.0
2005-01-21,Top5_Smooth_Momentum,BIL,1.0
2005-01-28,Top5_Smooth_Momentum,BIL,1.0
2005-02-04,Top5_Smooth_Momentum,BIL,1.0
2005-02-11,Top5_Smooth_Momentum,BIL,1.0
2005-02-18,Top5_Smooth_Momentum,BIL,1.0
2005-02-25,Top5_Smooth_Momentum,BIL,1.0
2005-03-04,Top5_Smooth_Momentum,BIL,1.0
2005-03-11,Top5_Smooth_Momentum,BIL,1.0
2005-03-18,Top5_Smooth_Momentum,BIL,1.0
2005-03-25,Top5_Smooth_Momentum,BIL,1.0
2005-04-01,Top5_Smooth_Momentum,BIL,1.0
2005-04-08,Top5_Smooth_Momentum,BIL,1.0
2005-04-15,Top5_Smooth_Momentum,BIL,1.0
2005-04-22,Top5_Smooth_Momentum,BIL,1.0
2005-04-29,Top5_Smooth_Momentum,BIL,1.0
2005-05-06,Top5_Smooth_Momentum,BIL,1.0
2005-05-13,Top5_Smooth_Momentum,BIL,1.0
2005-05-20,Top5_Smooth_Momentum,BIL,1.0
2005-05-27,Top5_Smooth_Momentum,BIL,1.0
2005-06-03,Top5_Smooth_Momentum,BIL,1.0
2005-06-10,Top5_Smooth_Momentum,BIL,1.0
2005-06-17,Top5_Smooth_Momentum,BIL,1.0
2005-06-24,Top5_Smooth_Momentum,BIL,1.0
2005-07-01,Top5_Smooth_Momentum,BIL,1.0
2005-07-08,Top5_Smooth_Momentum,VNQ,0.2
2005-07-08,Top5_Smooth_Momentum,XLE,0.2
2005-07-08,Top5_Smooth_Momentum,XLF,0.2
2005-07-08,Top5_Smooth_Momentum,XLU,0.2
2005-07-08,Top5_Smooth_Momentum,XLV,0.2
2005-07-15,Top5_Smooth_Momentum,VNQ,0.2
2005-07-15,Top5_Smooth_Momentum,XLE,0.2
2005-07-15,Top5_Smooth_Momentum,XLF,0.2
2005-07-15,Top5_Smooth_Momentum,XLK,0.2
