feature_name,base_signal,feature_group,lag_rule,causal_ok,missingness
leadlag_EFA_minus_SPY_13w_signal__raw,leadlag_EFA_minus_SPY_13w_signal,signal_strength,OOO2 signal already lagged 1 week,True,0.005405405405405406
leadlag_EFA_minus_SPY_13w_signal__percentile,leadlag_EFA_minus_SPY_13w_signal,signal_strength,expanding trailing percentile using current known lagged value,True,0.051351351351351354
leadlag_EFA_minus_SPY_13w_signal__zscore,leadlag_EFA_minus_SPY_13w_signal,signal_strength,trailing 104-week z-score using current known lagged value,True,0.051351351351351354
leadlag_EFA_minus_SPY_13w_signal__strength_scaled_score,leadlag_EFA_minus_SPY_13w_signal,signal_strength,direction percentile divided by trailing GGG1 vol percentile,True,0.05315315315315315
market_trend_positive_signal__raw,market_trend_positive_signal,signal_strength,OOO2 signal already lagged 1 week,True,0.0009009009009009009
market_trend_positive_signal__percentile,market_trend_positive_signal,signal_strength,expanding trailing percentile using current known lagged value,True,0.04684684684684685
market_trend_positive_signal__zscore,market_trend_positive_signal,signal_strength,trailing 104-week z-score using current known lagged value,True,0.07747747747747748
market_trend_positive_signal__strength_scaled_score,market_trend_positive_signal,signal_strength,direction percentile divided by trailing GGG1 vol percentile,True,0.05315315315315315
market_drawdown_signal__raw,market_drawdown_signal,signal_strength,OOO2 signal already lagged 1 week,True,0.0009009009009009009
market_drawdown_signal__percentile,market_drawdown_signal,signal_strength,expanding trailing percentile using current known lagged value,True,0.04684684684684685
market_drawdown_signal__zscore,market_drawdown_signal,signal_strength,trailing 104-week z-score using current known lagged value,True,0.04684684684684685
market_drawdown_signal__strength_scaled_score,market_drawdown_signal,signal_strength,direction percentile divided by trailing GGG1 vol percentile,True,0.05315315315315315
leadlag_GLD_minus_SPY_13w_signal__raw,leadlag_GLD_minus_SPY_13w_signal,signal_strength,OOO2 signal already lagged 1 week,True,0.005405405405405406
leadlag_GLD_minus_SPY_13w_signal__percentile,leadlag_GLD_minus_SPY_13w_signal,signal_strength,expanding trailing percentile using current known lagged value,True,0.051351351351351354
leadlag_GLD_minus_SPY_13w_signal__zscore,leadlag_GLD_minus_SPY_13w_signal,signal_strength,trailing 104-week z-score using current known lagged value,True,0.051351351351351354
leadlag_GLD_minus_SPY_13w_signal__strength_scaled_score,leadlag_GLD_minus_SPY_13w_signal,signal_strength,direction percentile divided by trailing GGG1 vol percentile,True,0.05315315315315315
leadlag_DBA_minus_SPY_13w_signal__raw,leadlag_DBA_minus_SPY_13w_signal,signal_strength,OOO2 signal already lagged 1 week,True,0.005405405405405406
leadlag_DBA_minus_SPY_13w_signal__percentile,leadlag_DBA_minus_SPY_13w_signal,signal_strength,expanding trailing percentile using current known lagged value,True,0.051351351351351354
leadlag_DBA_minus_SPY_13w_signal__zscore,leadlag_DBA_minus_SPY_13w_signal,signal_strength,trailing 104-week z-score using current known lagged value,True,0.051351351351351354
leadlag_DBA_minus_SPY_13w_signal__strength_scaled_score,leadlag_DBA_minus_SPY_13w_signal,signal_strength,direction percentile divided by trailing GGG1 vol percentile,True,0.05315315315315315
breadth_ret13_positive_x_recovery_confirmed_signal__raw,breadth_ret13_positive_x_recovery_confirmed_signal,signal_strength,OOO2 signal already lagged 1 week,True,0.0009009009009009009
breadth_ret13_positive_x_recovery_confirmed_signal__percentile,breadth_ret13_positive_x_recovery_confirmed_signal,signal_strength,expanding trailing percentile using current known lagged value,True,0.04684684684684685
breadth_ret13_positive_x_recovery_confirmed_signal__zscore,breadth_ret13_positive_x_recovery_confirmed_signal,signal_strength,trailing 104-week z-score using current known lagged value,True,0.4036036036036036
breadth_ret13_positive_x_recovery_confirmed_signal__strength_scaled_score,breadth_ret13_positive_x_recovery_confirmed_signal,signal_strength,direction percentile divided by trailing GGG1 vol percentile,True,0.05315315315315315
ggg1_trailing_vol_13w,portfolio_context,volatility_drawdown_context,shifted trailing GGG1 return statistic,True,0.007207207207207207
ggg1_trailing_vol_26w,portfolio_context,volatility_drawdown_context,shifted trailing GGG1 return statistic,True,0.011711711711711712
ggg1_vol_percentile,portfolio_context,volatility_drawdown_context,shifted trailing GGG1 return statistic,True,0.05315315315315315
ggg1_trailing_drawdown,portfolio_context,volatility_drawdown_context,shifted trailing GGG1 return statistic,True,0.0009009009009009009
