candidate,generated_at,source_file,parameters,parent_candidate,artifact_class,promotion_status,annual_return,annual_vol,sharpe,max_drawdown,cvar_5,avg_turnover,holdout_ann_return,holdout_sharpe,validation_verdict,trial_count_used,dsr_proxy,pbo_proxy,multiple_testing_adjusted_support
baseline_hrp_default,2026-06-13T20:06:10.025683+00:00,data/05_layer3_portfolio_construction/portfolio_version_returns_baseline_hrp_default.csv,unknown_from_saved_artifact,unknown_from_saved_artifact,diagnostic-only,not_promoted,0.0505799560417832,0.0636599924766644,0.7945328623832953,-0.1222088537311896,-0.0223336633997955,0.0563771114593506,,,overfit_risk,3869.0,0.4730697777168201,0.6666666666666666,0.0
baseline_max_div_default,2026-06-13T20:06:10.025683+00:00,data/05_layer3_portfolio_construction/portfolio_version_returns_baseline_max_div_default.csv,unknown_from_saved_artifact,unknown_from_saved_artifact,diagnostic-only,not_promoted,0.0504051766609046,0.063735431620623,0.790850165743521,-0.127180423620318,-0.0221490253456791,0.0562852952461779,,,overfit_risk,3869.0,0.4643040153900435,0.6666666666666666,0.0
improved_frontier_phase5_fragility_guard,2026-06-13T20:06:10.025683+00:00,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_frontier_phase5_fragility_guard.csv,unknown_from_saved_artifact,unknown_from_saved_artifact,production,current_production,0.0713416943193356,0.0752346635453412,0.9482556438408292,-0.1160345788576096,-0.0249479288573999,0.0673878026565274,0.1790929966410082,2.1785851785849784,not_scanned,,,,
improved_herc_recovery_tilt,2026-06-13T20:06:10.025683+00:00,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_herc_recovery_tilt.csv,unknown_from_saved_artifact,unknown_from_saved_artifact,rejected,not_promoted,0.0649157321302329,0.0786068069436516,0.8258283812083478,-0.1558287469150604,-0.0259543010252944,0.0565153759773694,,,overfit_risk,3869.0,0.5321857121561496,0.6666666666666666,0.0
improved_herc_selective,2026-06-13T20:06:10.025683+00:00,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_herc_selective.csv,unknown_from_saved_artifact,unknown_from_saved_artifact,rejected,not_promoted,0.0616477074650363,0.0746166048019806,0.8261928779611261,-0.152083582897532,-0.0248341687606606,0.0540110784986826,,,overfit_risk,3869.0,0.524790096018265,0.6666666666666666,0.0
improved_hrp_beta_participation,2026-06-13T20:06:10.025683+00:00,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_hrp_beta_participation.csv,unknown_from_saved_artifact,unknown_from_saved_artifact,rejected,not_promoted,0.0682409412560207,0.0772814965074993,0.8830178547254023,-0.1495493659570838,-0.0259188647080459,0.0591139061493838,,,overfit_risk,3869.0,0.622051683511287,0.6666666666666666,0.0
improved_hrp_calm_confirmed_fragile_leadership,2026-06-13T20:06:10.025683+00:00,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_hrp_calm_confirmed_fragile_leadership.csv,unknown_from_saved_artifact,unknown_from_saved_artifact,rejected,not_promoted,0.0686476063590497,0.0780705158390809,0.8793025846088465,-0.1456644700154657,-0.0262533751231305,0.055627737910887,,,overfit_risk,3869.0,0.6212432198393923,0.6666666666666666,0.0
improved_hrp_calm_confirmed_leadership,2026-06-13T20:06:10.025683+00:00,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_hrp_calm_confirmed_leadership.csv,unknown_from_saved_artifact,unknown_from_saved_artifact,rejected,not_promoted,0.0685572397086775,0.0780233348226753,0.8786761020211261,-0.1456644700154655,-0.0262415222215726,0.055509907328551,,,overfit_risk,3869.0,0.6202109802616806,0.6666666666666666,0.0
improved_hrp_confirmed_leadership,2026-06-13T20:06:10.025683+00:00,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_hrp_confirmed_leadership.csv,unknown_from_saved_artifact,unknown_from_saved_artifact,rejected,not_promoted,0.0685242798675784,0.0780978046518468,0.8774162112885715,-0.1428344425733756,-0.0262943927968932,0.0564556005459321,,,overfit_risk,3869.0,0.6193698163519912,0.6666666666666666,0.0
improved_hrp_continuous_overlay_careful,2026-06-13T20:06:10.025683+00:00,data/05_layer3_portfolio_construction/portfolio_version_returns_improved_hrp_continuous_overlay_careful.csv,unknown_from_saved_artifact,unknown_from_saved_artifact,rejected,not_promoted,0.0690652754592529,0.0789637383669128,0.8746454624315558,-0.151364906901841,-0.0264641965727956,0.0564621488625983,,,overfit_risk,3869.0,0.6128004636142924,0.6666666666666666,0.0
