Date,bear market,bear market_zscore,fear_composite,fear_composite_zscore
2005-01-07,7.0,,7.0,
2005-01-14,7.0,,7.0,
2005-01-21,7.0,,7.0,
2005-01-28,,,,
2005-02-04,10.0,,10.0,
2005-02-11,10.0,,10.0,
2005-02-18,10.0,,10.0,
2005-02-25,,,,
2005-03-04,11.0,,11.0,
2005-03-11,11.0,,11.0,
2005-03-18,11.0,,11.0,
2005-03-25,,,,
2005-04-01,12.0,,12.0,
2005-04-08,12.0,,12.0,
2005-04-15,12.0,,12.0,
2005-04-22,,,,
2005-04-29,,,,
2005-05-06,8.0,,8.0,
2005-05-13,8.0,,8.0,
2005-05-20,8.0,,8.0,
2005-05-27,,,,
2005-06-03,8.0,,8.0,
2005-06-10,8.0,,8.0,
2005-06-17,8.0,,8.0,
2005-06-24,,,,
2005-07-01,7.0,,7.0,
2005-07-08,7.0,,7.0,
2005-07-15,7.0,,7.0,
2005-07-22,,,,
2005-07-29,,,,
2005-08-05,6.0,,6.0,
2005-08-12,6.0,,6.0,
2005-08-19,6.0,,6.0,
2005-08-26,,,,
2005-09-02,6.0,,6.0,
2005-09-09,6.0,,6.0,
2005-09-16,6.0,,6.0,
2005-09-23,,,,
2005-09-30,,,,
2005-10-07,6.0,,6.0,
2005-10-14,6.0,,6.0,
2005-10-21,6.0,,6.0,
2005-10-28,,,,
2005-11-04,6.0,,6.0,
2005-11-11,6.0,,6.0,
2005-11-18,6.0,,6.0,
2005-11-25,,,,
2005-12-02,7.0,,7.0,
2005-12-09,7.0,,7.0,
2005-12-16,7.0,,7.0,
2005-12-23,,,,
2005-12-30,,,,
2006-01-06,7.0,,7.0,
2006-01-13,7.0,,7.0,
2006-01-20,7.0,,7.0,
2006-01-27,,,,
2006-02-03,6.0,,6.0,
2006-02-10,6.0,,6.0,
2006-02-17,6.0,,6.0,
2006-02-24,,,,
2006-03-03,8.0,,8.0,
2006-03-10,8.0,,8.0,
2006-03-17,8.0,,8.0,
2006-03-24,,,,
2006-03-31,,,,
2006-04-07,7.0,,7.0,
2006-04-14,7.0,,7.0,
2006-04-21,7.0,,7.0,
2006-04-28,,,,
2006-05-05,10.0,,10.0,
2006-05-12,10.0,,10.0,
2006-05-19,10.0,,10.0,
2006-05-26,,,,
2006-06-02,12.0,2.159085746020158,12.0,2.159085746020158
2006-06-09,12.0,2.0491058686270245,12.0,2.0491058686270245
2006-06-16,12.0,1.9544359243760976,12.0,1.9544359243760976
2006-06-23,,,,
2006-06-30,,,,
2006-07-07,9.0,0.4831625024265891,9.0,0.4831625024265891
2006-07-14,9.0,0.4778948172798107,9.0,0.4778948172798107
2006-07-21,9.0,0.4727963269540542,9.0,0.4727963269540542
2006-07-28,,,,
2006-08-04,7.0,-0.5196043007379534,7.0,-0.5196043007379534
2006-08-11,7.0,-0.5140632041176529,7.0,-0.5140632041176529
2006-08-18,7.0,-0.5086963015315078,7.0,-0.5086963015315078
2006-08-25,,,,
2006-09-01,5.0,-1.4851808614385549,5.0,-1.4851808614385549
2006-09-08,5.0,-1.4474091904783186,5.0,-1.4474091904783186
2006-09-15,5.0,-1.4123922879743425,5.0,-1.4123922879743425
2006-09-22,,,,
2006-09-29,,,,
2006-10-06,6.0,-0.9049346215028139,6.0,-0.9049346215028139
2006-10-13,6.0,-0.8923639146445406,6.0,-0.8923639146445406
2006-10-20,6.0,-0.8803054455610388,6.0,-0.8803054455610388
2006-10-27,,,,
2006-11-03,6.0,-0.8687252687838581,6.0,-0.8687252687838581
2006-11-10,6.0,-0.8575925099584765,6.0,-0.8575925099584765
2006-11-17,6.0,-0.8468790174653723,6.0,-0.8468790174653723
2006-11-24,,,,
2006-12-01,6.0,-0.836559061161662,6.0,-0.836559061161662
2006-12-08,6.0,-0.8266090708916748,6.0,-0.8266090708916748
2006-12-15,6.0,-0.817007408707246,6.0,-0.817007408707246
2006-12-22,,,,
2006-12-29,,,,
2007-01-05,7.0,-0.31423361873355615,7.0,-0.31423361873355615
2007-01-12,7.0,-0.31423361873355615,7.0,-0.31423361873355615
2007-01-19,7.0,-0.31423361873355615,7.0,-0.31423361873355615
2007-01-26,,,,
2007-02-02,9.0,0.7030232789302308,9.0,0.7030232789302308
2007-02-09,9.0,0.7149617119827697,9.0,0.7149617119827697
2007-02-16,9.0,0.7271390403614629,9.0,0.7271390403614629
2007-02-23,,,,
2007-03-02,10.0,1.2613004442810363,10.0,1.2613004442810363
2007-03-09,10.0,1.2828816871942483,10.0,1.2828816871942483
2007-03-16,10.0,1.3052010372188843,10.0,1.3052010372188843
2007-03-23,,,,
2007-03-30,,,,
2007-04-06,7.0,-0.23517332217765682,7.0,-0.23517332217765682
2007-04-13,7.0,-0.20523618031022614,7.0,-0.20523618031022614
2007-04-20,7.0,-0.20376571676469604,7.0,-0.20376571676469604
2007-04-27,,,,
2007-05-04,8.0,0.40753143352939264,8.0,0.40753143352939264
2007-05-11,8.0,0.40753143352939264,8.0,0.40753143352939264
2007-05-18,8.0,0.40753143352939264,8.0,0.40753143352939264
2007-05-25,,,,
2007-06-01,9.0,1.0042273353009066,9.0,1.0042273353009066
2007-06-08,9.0,0.9899080739897991,9.0,0.9899080739897991
2007-06-15,9.0,0.9758594037380052,9.0,0.9758594037380052
2007-06-22,,,,
2007-06-29,,,,
2007-07-06,9.0,0.9435688211507782,9.0,0.9435688211507782
2007-07-13,9.0,0.9215397461542113,9.0,0.9215397461542113
2007-07-20,9.0,0.90978268511618,9.0,0.90978268511618
2007-07-27,,,,
2007-08-03,13.0,3.0133310399228197,13.0,3.0133310399228197
2007-08-10,13.0,2.8033598959773016,13.0,2.8033598959773016
2007-08-17,13.0,2.6273137819242596,13.0,2.6273137819242596
2007-08-24,,,,
2007-08-31,,,,
2007-09-07,9.0,0.5930127497375645,9.0,0.5930127497375645
2007-09-14,9.0,0.5739264425632368,9.0,0.5739264425632368
2007-09-21,9.0,0.5686655990407437,9.0,0.5686655990407437
2007-09-28,,,,
2007-10-05,9.0,0.5499592066801192,9.0,0.5499592066801192
2007-10-12,9.0,0.5313443473525645,9.0,0.5313443473525645
