decision_at,adsh,cik10,company_name_as_filed,sic,sector,form,afs,filing_date,available_at,period,fy,fp,source_quarter,filing_age_days,current_tickers,current_exchanges,identity_status
2012-04-01 00:00:00+00:00,0001193125-12-081827,0000004447,HESS CORP,2911,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-086217,0000006769,APACHE CORP,1311,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000007039-12-000003,0000007039,ARABIAN AMERICAN DEVELOPMENT CO,2911,energy,10-K,2-ACC,2012-03-09,2012-03-10 00:00:00+00:00,20111231,2011,FY,2012Q1,22.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000007332-12-000003,0000007332,SOUTHWESTERN ENERGY CO,1311,energy,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-041045,0000008411,ATWOOD OCEANICS INC,1381,energy,10-Q,1-LAF,2012-02-06,2012-02-07 00:00:00+00:00,20111231,2012,Q1,2012Q1,54.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-081407,0000023194,COMSTOCK RESOURCES INC,1311,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,CRK,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-103167,0000029834,DOUBLE EAGLE PETROLEUM CO,1311,energy,10-K,2-ACC,2012-03-08,2012-03-09 00:00:00+00:00,20111231,2011,FY,2012Q1,23.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-078102,0000034088,EXXON MOBIL CORP,2911,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000038079-12-000013,0000038079,FOREST OIL CORP,1311,energy,10-K,1-LAF,2012-02-22,2012-02-23 00:00:00+00:00,20111231,2011,FY,2012Q1,38.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-112276,0000041023,GEORESOURCES INC,1311,energy,10-K,2-ACC,2012-03-13,2012-03-14 00:00:00+00:00,20111231,2011,FY,2012Q1,18.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000045012-12-000075,0000045012,HALLIBURTON CO,1389,energy,10-K,1-LAF,2012-02-16,2012-02-17 00:00:00+00:00,20111231,2011,FY,2012Q1,44.0,HAL,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001104659-12-007195,0000046765,HELMERICH & PAYNE INC,1381,energy,10-Q,1-LAF,2012-02-07,2012-02-08 00:00:00+00:00,20111231,2012,Q1,2012Q1,53.0,HP,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-086106,0000048039,HOLLYFRONTIER CORP,2911,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-081083,0000049938,IMPERIAL OIL LTD,2911,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,IMO,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0000050104-12-000020,0000050104,TESORO CORP /NEW/,2911,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-052465,0000061398,MAGELLAN PETROLEUM CORP /DE/,1311,energy,10-Q,2-ACC,2012-02-10,2012-02-11 00:00:00+00:00,20111231,2012,Q2,2012Q1,50.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0000064279-12-000012,0000064279,MCMORAN EXPLORATION CO /DE/,1311,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped
