ticker,exchange,assetType,priceCurrency,startDate,endDate
-P-HIZ,NASDAQ,Stock,USD,2023-08-30,2025-09-29
000001,SHE,Stock,CNY,2007-01-04,2026-08-13
000002,SHE,Stock,CNY,2007-01-04,2026-08-13
000004,SHE,Stock,CNY,2007-08-31,2026-07-13
000005,SHE,Stock,CNY,2007-08-31,2024-03-05
000006,SHE,Stock,CNY,2007-01-04,2026-08-13
000007,SHE,Stock,CNY,2007-08-31,2026-08-13
000008,SHE,Stock,CNY,2007-01-04,2026-08-13
000009,SHE,Stock,CNY,2007-01-05,2026-08-13
000010,SHE,Stock,CNY,2007-08-31,2026-08-13
000011,SHE,Stock,CNY,2007-01-04,2026-08-13
000012,SHE,Stock,CNY,2007-01-04,2026-08-13
000014,SHE,Stock,CNY,2007-01-04,2026-08-13
000016,SHE,Stock,CNY,2007-01-04,2026-08-13
000017,SHE,Stock,CNY,2010-03-18,2026-08-13
000018,SHE,Stock,CNY,2007-08-31,2020-01-06
000019,SHE,Stock,CNY,2007-10-12,2026-08-13
000020,SHE,Stock,CNY,2007-08-31,2026-08-13
000021,SHE,Stock,CNY,2007-01-04,2026-08-13
000022,SHE,Stock,CNY,2018-07-10,2018-12-20
000023,SHE,Stock,CNY,2007-01-04,2024-07-24
000025,SHE,Stock,CNY,2007-01-04,2026-08-13
000026,SHE,Stock,CNY,2007-01-04,2026-08-13
000027,SHE,Stock,CNY,2007-01-04,2026-08-13
000028,SHE,Stock,CNY,2007-01-04,2026-08-13
000029,SHE,Stock,CNY,2007-08-31,2026-08-13
000030,SHE,Stock,CNY,2007-01-04,2026-08-13
000031,SHE,Stock,CNY,2007-08-31,2026-08-13
000032,SHE,Stock,CNY,2007-01-04,2026-08-13
000033,SHE,Stock,CNY,2007-08-31,2017-07-06
000034,SHE,Stock,CNY,2007-08-31,2026-08-13
000035,SHE,Stock,CNY,2007-09-28,2026-08-13
000036,SHE,Stock,CNY,2007-01-04,2026-08-13
000037,SHE,Stock,CNY,2007-01-04,2026-08-13
000038,SHE,Stock,CNY,2013-02-08,2023-11-14
000039,SHE,Stock,CNY,2007-01-04,2026-08-13
000040,SHE,Stock,CNY,2007-08-31,2025-03-31
000042,SHE,Stock,CNY,2007-01-04,2026-08-13
000043,SHE,Stock,CNY,2018-01-01,2019-12-13
000045,SHE,Stock,CNY,2007-08-31,2026-08-13
000046,SHE,Stock,CNY,2007-01-04,2023-12-27
000048,SHE,Stock,CNY,2007-01-04,2026-08-13
000049,SHE,Stock,CNY,2007-01-04,2026-08-13
000050,SHE,Stock,CNY,2007-01-04,2026-08-13
000055,SHE,Stock,CNY,2007-01-04,2026-08-13
000056,SHE,Stock,CNY,2007-08-31,2026-08-13
000058,SHE,Stock,CNY,2007-01-04,2026-08-13
000059,SHE,Stock,CNY,2007-01-04,2026-08-13
000060,SHE,Stock,CNY,2007-01-04,2026-08-13
000061,SHE,Stock,CNY,2007-10-12,2026-08-13
000062,SHE,Stock,CNY,2007-01-04,2026-08-13
000063,SHE,Stock,CNY,2007-01-04,2026-08-13
000065,SHE,Stock,CNY,2007-01-04,2026-08-13
000066,SHE,Stock,CNY,2007-08-30,2026-08-13
000068,SHE,Stock,CNY,2007-08-30,2026-08-13
000069,SHE,Stock,CNY,2007-01-04,2026-08-13
000070,SHE,Stock,CNY,2007-01-04,2026-08-13
000078,SHE,Stock,CNY,2007-08-30,2026-08-13
000088,SHE,Stock,CNY,2007-01-04,2026-08-13
000089,SHE,Stock,CNY,2007-01-04,2026-08-13
000090,SHE,Stock,CNY,2007-01-04,2026-08-13
000096,SHE,Stock,CNY,2007-01-04,2026-08-13
000099,SHE,Stock,CNY,2007-01-04,2026-08-13
000100,SHE,Stock,CNY,2007-01-04,2026-08-13
000150,SHE,Stock,CNY,2007-11-02,2023-06-09
000151,SHE,Stock,CNY,2007-01-04,2026-08-13
000153,SHE,Stock,CNY,2007-08-30,2026-08-13
000155,SHE,Stock,CNY,2007-08-30,2026-08-13
000156,SHE,Stock,CNY,2012-10-19,2026-08-13
000157,SHE,Stock,CNY,2007-01-04,2026-08-13
000158,SHE,Stock,CNY,2007-08-30,2026-08-13
000159,SHE,Stock,CNY,2007-01-05,2026-08-13
000166,SHE,Stock,CNY,2015-01-26,2026-08-13
000301,SHE,Stock,CNY,2007-09-03,2026-08-13
000333,SHE,Stock,CNY,2013-09-18,2026-08-13
000338,SHE,Stock,CNY,2007-04-30,2026-08-13
000400,SHE,Stock,CNY,2007-08-30,2026-08-13
000401,SHE,Stock,CNY,2007-01-04,2026-08-13
000402,SHE,Stock,CNY,2007-01-04,2026-08-13
000403,SHE,Stock,CNY,2013-02-08,2026-08-13
000404,SHE,Stock,CNY,2007-08-30,2026-08-13
000407,SHE,Stock,CNY,2007-01-04,2026-08-13
000408,SHE,Stock,CNY,2007-08-30,2026-08-13
000409,SHE,Stock,CNY,2007-08-30,2026-08-13
000410,SHE,Stock,CNY,2007-01-04,2026-08-13
000411,SHE,Stock,CNY,2007-01-04,2026-08-13
000413,SHE,Stock,CNY,2007-08-30,2024-08-14
000415,SHE,Stock,CNY,2007-08-30,2026-08-13
000416,SHE,Stock,CNY,2007-01-04,2024-04-24
000417,SHE,Stock,CNY,2007-01-04,2026-08-13
000418,SHE,Stock,CNY,2007-08-31,2019-05-07
000419,SHE,Stock,CNY,2007-08-30,2026-08-13
000420,SHE,Stock,CNY,2007-08-30,2026-08-13
000421,SHE,Stock,CNY,2007-08-30,2026-08-13
000422,SHE,Stock,CNY,2007-08-30,2026-08-13
000423,SHE,Stock,CNY,2007-05-10,2026-08-13
000425,SHE,Stock,CNY,2007-01-04,2026-08-13
000426,SHE,Stock,CNY,2007-08-30,2026-08-13
000428,SHE,Stock,CNY,2007-08-30,2026-08-13
000429,SHE,Stock,CNY,2007-01-04,2026-08-13
000430,SHE,Stock,CNY,2007-08-30,2026-08-13
000488,SHE,Stock,CNY,2007-01-04,2026-08-13
000498,SHE,Stock,CNY,2007-01-04,2026-08-13
000501,SHE,Stock,CNY,2007-01-04,2026-08-13
000502,SHE,Stock,CNY,2007-08-30,2022-06-27
000503,SHE,Stock,CNY,2007-08-30,2026-08-13
000504,SHE,Stock,CNY,2007-08-30,2026-08-13
000505,SHE,Stock,CNY,2007-08-30,2026-08-13
000506,SHE,Stock,CNY,2009-06-05,2026-08-13
000507,SHE,Stock,CNY,2007-01-04,2026-08-13
000509,SHE,Stock,CNY,2007-08-30,2026-08-13
000510,SHE,Stock,CNY,2007-08-30,2026-08-13
000511,SHE,Stock,CNY,2007-08-30,2018-07-17
000513,SHE,Stock,CNY,2007-01-04,2026-08-13
000514,SHE,Stock,CNY,2007-01-04,2026-08-13
000516,SHE,Stock,CNY,2007-08-30,2026-08-13
000517,SHE,Stock,CNY,2009-09-11,2026-08-13
000518,SHE,Stock,CNY,2007-08-30,2026-08-13
000519,SHE,Stock,CNY,2007-08-30,2026-08-13
000520,SHE,Stock,CNY,2015-08-18,2026-08-13
000521,SHE,Stock,CNY,2007-08-30,2026-08-13
000523,SHE,Stock,CNY,2007-01-04,2026-08-13
000524,SHE,Stock,CNY,2007-01-04,2026-08-13
000525,SHE,Stock,CNY,2007-08-30,2026-08-13
000526,SHE,Stock,CNY,2007-08-30,2026-08-13
000528,SHE,Stock,CNY,2007-01-04,2026-08-13
000529,SHE,Stock,CNY,2009-09-11,2026-08-13
000530,SHE,Stock,CNY,2007-01-04,2026-08-13
000531,SHE,Stock,CNY,2007-01-04,2026-08-13
000532,SHE,Stock,CNY,2007-08-30,2026-08-13
000533,SHE,Stock,CNY,2007-08-30,2026-08-13
000534,SHE,Stock,CNY,2007-01-04,2026-08-13
000536,SHE,Stock,CNY,2009-02-04,2026-08-13
000537,SHE,Stock,CNY,2007-01-04,2026-08-13
