security_id,ticker,universe,effective_from,effective_to,knowledge_at_utc,source_revision,point_in_time_membership
yahoo-ticker:BIL,BIL,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:01.811045+00:00,yfinance-1.5.2:2026-09-04T21:05:01.811045+00:00,false
yahoo-ticker:DBA,DBA,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:02.357689+00:00,yfinance-1.5.2:2026-09-04T21:05:02.357689+00:00,false
yahoo-ticker:EEM,EEM,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:02.873335+00:00,yfinance-1.5.2:2026-09-04T21:05:02.873335+00:00,false
yahoo-ticker:EFA,EFA,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:03.578540+00:00,yfinance-1.5.2:2026-09-04T21:05:03.578540+00:00,false
yahoo-ticker:EWJ,EWJ,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:04.116012+00:00,yfinance-1.5.2:2026-09-04T21:05:04.116012+00:00,false
yahoo-ticker:GLD,GLD,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:04.679509+00:00,yfinance-1.5.2:2026-09-04T21:05:04.679509+00:00,false
yahoo-ticker:HYG,HYG,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:05.210038+00:00,yfinance-1.5.2:2026-09-04T21:05:05.210038+00:00,false
yahoo-ticker:IAU,IAU,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:05.858582+00:00,yfinance-1.5.2:2026-09-04T21:05:05.858582+00:00,false
yahoo-ticker:IEF,IEF,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:06.519529+00:00,yfinance-1.5.2:2026-09-04T21:05:06.519529+00:00,false
yahoo-ticker:IWM,IWM,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:07.072904+00:00,yfinance-1.5.2:2026-09-04T21:05:07.072904+00:00,false
yahoo-ticker:LQD,LQD,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:07.808968+00:00,yfinance-1.5.2:2026-09-04T21:05:07.808968+00:00,false
yahoo-ticker:MBB,MBB,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:08.396614+00:00,yfinance-1.5.2:2026-09-04T21:05:08.396614+00:00,false
yahoo-ticker:PDBC,PDBC,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:08.885542+00:00,yfinance-1.5.2:2026-09-04T21:05:08.885542+00:00,false
yahoo-ticker:QQQ,QQQ,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:09.346638+00:00,yfinance-1.5.2:2026-09-04T21:05:09.346638+00:00,false
yahoo-ticker:SHY,SHY,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:09.989121+00:00,yfinance-1.5.2:2026-09-04T21:05:09.989121+00:00,false
yahoo-ticker:SLV,SLV,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:10.361251+00:00,yfinance-1.5.2:2026-09-04T21:05:10.361251+00:00,false
yahoo-ticker:SPY,SPY,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:10.956687+00:00,yfinance-1.5.2:2026-09-04T21:05:10.956687+00:00,false
yahoo-ticker:TIP,TIP,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:11.544624+00:00,yfinance-1.5.2:2026-09-04T21:05:11.544624+00:00,false
yahoo-ticker:TLT,TLT,portfolio_optimizer_free_current_etfs,,,2026-09-04T21:05:12.072456+00:00,yfinance-1.5.2:2026-09-04T21:05:12.072456+00:00,false
