decision_at,price_source,covered_members
2023-01-01 00:00:00+00:00,tiingo_identity_validated,56
2023-01-01 00:00:00+00:00,yahoo_current_sec,376
2023-01-01 00:00:00+00:00,yahoo_recovered_former,3
2023-04-01 00:00:00+00:00,tiingo_identity_validated,75
2023-04-01 00:00:00+00:00,yahoo_current_sec,421
2023-04-01 00:00:00+00:00,yahoo_recovered_former,4
2023-07-01 00:00:00+00:00,tiingo_identity_validated,70
2023-07-01 00:00:00+00:00,yahoo_current_sec,432
2023-07-01 00:00:00+00:00,yahoo_recovered_former,4
2023-10-01 00:00:00+00:00,tiingo_identity_validated,69
2023-10-01 00:00:00+00:00,yahoo_current_sec,438
2023-10-01 00:00:00+00:00,yahoo_recovered_former,4
2024-01-01 00:00:00+00:00,tiingo_identity_validated,59
2024-01-01 00:00:00+00:00,yahoo_current_sec,437
2024-01-01 00:00:00+00:00,yahoo_recovered_former,4
2024-04-01 00:00:00+00:00,tiingo_identity_validated,56
2024-04-01 00:00:00+00:00,yahoo_current_sec,443
2024-04-01 00:00:00+00:00,yahoo_recovered_former,3
2024-07-01 00:00:00+00:00,tiingo_identity_validated,51
2024-07-01 00:00:00+00:00,yahoo_current_sec,444
2024-07-01 00:00:00+00:00,yahoo_recovered_former,3
2024-10-01 00:00:00+00:00,tiingo_identity_validated,50
2024-10-01 00:00:00+00:00,yahoo_current_sec,443
2024-10-01 00:00:00+00:00,yahoo_recovered_former,4
2025-01-01 00:00:00+00:00,tiingo_identity_validated,40
2025-01-01 00:00:00+00:00,yahoo_current_sec,440
2025-01-01 00:00:00+00:00,yahoo_recovered_former,4
2025-04-01 00:00:00+00:00,tiingo_identity_validated,29
2025-04-01 00:00:00+00:00,yahoo_current_sec,451
2025-04-01 00:00:00+00:00,yahoo_recovered_former,4
2025-07-01 00:00:00+00:00,tiingo_identity_validated,25
2025-07-01 00:00:00+00:00,yahoo_current_sec,452
2025-07-01 00:00:00+00:00,yahoo_recovered_former,3
2025-10-01 00:00:00+00:00,tiingo_identity_validated,19
2025-10-01 00:00:00+00:00,yahoo_current_sec,452
2025-10-01 00:00:00+00:00,yahoo_recovered_former,3
2026-01-01 00:00:00+00:00,tiingo_identity_validated,12
2026-01-01 00:00:00+00:00,yahoo_current_sec,452
2026-01-01 00:00:00+00:00,yahoo_recovered_former,2
2026-04-01 00:00:00+00:00,tiingo_identity_validated,6
2026-04-01 00:00:00+00:00,yahoo_current_sec,460
2026-04-01 00:00:00+00:00,yahoo_recovered_former,2
