decision_at,adsh,cik10,company_name_as_filed,sic,sector,form,afs,filing_date,available_at,period,fy,fp,source_quarter,filing_age_days,current_tickers,current_exchanges,identity_status,candidate_symbols,symbol_source,symbol_count,collision_flag,single_symbol_usable_for_price_probe,tiingo_symbol,tiingo_inventory_covers_execution,tradable_member,execution_price_available,panel_status,price_source,ticker_used
2023-01-01 00:00:00+00:00,0000077159-22-000028,0000077159,RANGER OIL CORP,1311,energy,10-Q,2-ACC,2022-11-03,2022-11-04 00:00:00+00:00,20220930,2022,Q3,2022Q4,58.0,,,former_or_unmapped,ROCC,last_filing_inline_xbrl,1,False,True,ROCC,True,True,False,missing_validated_execution_price,,
2023-01-01 00:00:00+00:00,0000351817-22-000062,0000351817,"SILVERBOW RESOURCES, INC.",1311,energy,10-Q,2-ACC,2022-11-03,2022-11-04 00:00:00+00:00,20220930,2022,Q3,2022Q4,58.0,,,former_or_unmapped,SBOW,last_filing_inline_xbrl,1,False,True,SBOW,True,True,False,missing_validated_execution_price,,
2023-01-01 00:00:00+00:00,0000732834-22-000035,0000732834,"CONTINENTAL RESOURCES, INC",1311,energy,10-Q,1-LAF,2022-11-02,2022-11-03 00:00:00+00:00,20220930,2022,Q3,2022Q4,59.0,,,former_or_unmapped,CLR,last_filing_inline_xbrl,1,False,True,CLR,False,True,False,missing_validated_execution_price,,
2023-01-01 00:00:00+00:00,0001628280-22-028702,0000890447,VERTEX ENERGY INC.,2911,energy,10-Q,2-ACC,2022-11-08,2022-11-09 00:00:00+00:00,20220930,2022,Q3,2022Q4,53.0,,,former_or_unmapped,VTNR,last_filing_inline_xbrl,1,False,True,VTNR,False,True,False,missing_validated_execution_price,,
2023-01-01 00:00:00+00:00,0001558370-22-015484,0001037676,"ARCH RESOURCES, INC.",1221,energy,10-Q,1-LAF,2022-10-27,2022-10-28 00:00:00+00:00,20220930,2022,Q3,2022Q4,65.0,,,former_or_unmapped,ARCH,last_filing_inline_xbrl,1,False,True,ARCH,True,True,False,missing_validated_execution_price,,
2023-01-01 00:00:00+00:00,0001558370-22-016388,0001323468,GLOBAL PARTNERS LP,5171,energy,10-Q,1-LAF,2022-11-04,2022-11-05 00:00:00+00:00,20220930,2022,Q3,2022Q4,57.0,GLP,NYSE,current_ticker_available,GLP,current_sec_mapping,1,False,True,GLP,True,True,False,missing_validated_execution_price,,
2023-01-01 00:00:00+00:00,0000028823-22-000146,0000028823,"DIEBOLD NIXDORF, INC",3578,technology,10-Q,1-LAF,2022-11-09,2022-11-10 00:00:00+00:00,20220930,2022,Q3,2022Q4,52.0,DBD,NYSE,current_ticker_available,DBD,current_sec_mapping,1,False,True,DBD,False,True,False,missing_validated_execution_price,yahoo_current_sec,DBD
2023-01-01 00:00:00+00:00,0001564590-22-039540,0000730255,CALAMP CORP.,3663,technology,10-Q,2-ACC,2022-12-20,2022-12-21 00:00:00+00:00,20221130,2023,Q3,2022Q4,11.0,,,former_or_unmapped,CAMP,last_filing_inline_xbrl,1,False,True,CAMP,False,True,False,missing_validated_execution_price,yahoo_recovered_former,CAMP
2023-01-01 00:00:00+00:00,0001628280-22-029134,0000814549,EBIX INC,7373,technology,10-Q,2-ACC,2022-11-09,2022-11-10 00:00:00+00:00,20220930,2022,Q3,2022Q4,52.0,,,former_or_unmapped,EBIX,last_filing_inline_xbrl,1,False,True,EBIX,False,True,False,missing_validated_execution_price,,
2023-01-01 00:00:00+00:00,0000895419-22-000109,0000895419,"WOLFSPEED, INC.",3674,technology,10-Q,1-LAF,2022-10-27,2022-10-28 00:00:00+00:00,20220930,2023,Q1,2022Q4,65.0,WOLF,NYSE,current_ticker_available,WOLF,current_sec_mapping,1,False,True,WOLF,True,True,False,missing_validated_execution_price,yahoo_current_sec,WOLF
