input,lookback,horizon,observations,mean_ic,t_stat,p_value
plain_returns,4,4,203,-0.005714031763577367,-0.7811324990918193,0.43563906878755687
fractional_0.3,4,4,173,0.001771658948481422,0.18029170382167367,0.8571358125489374
plain_returns,4,13,61,-0.013969364383361287,-1.2155017996795063,0.2289359018419425
fractional_0.3,4,13,52,-0.0020330187441206828,-0.1314828264190835,0.8959106974298898
plain_returns,13,4,200,0.0017761291852319344,0.19692618727100217,0.8440862795086301
fractional_0.3,13,4,171,0.0035140523990573767,0.3548947302440558,0.7231083472384161
plain_returns,13,13,61,0.014492484752333128,1.2327351061698237,0.2224830074562698
fractional_0.3,13,13,51,-0.003670985930609169,-0.22085090882399036,0.8261079119807863
plain_returns,26,4,197,0.008008587840172238,0.8127866314481694,0.41732655793147216
fractional_0.3,26,4,167,0.0028277405317044435,0.28811832424934347,0.7736155840835478
plain_returns,26,13,60,0.009060025240359017,0.7744546725409673,0.44175454968291317
fractional_0.3,26,13,50,-0.006827945669318467,-0.390521588822579,0.6978435753172151
plain_returns,52,4,191,0.01427909105969928,1.3362929703059059,0.1830516774570614
fractional_0.3,52,4,161,0.0023809427019624643,0.24248151529990244,0.8087176248383492
plain_returns,52,13,58,0.017686381282170212,1.1774220023684816,0.24392010397334285
fractional_0.3,52,13,48,-0.009190998602613763,-0.5219146404950021,0.6041809056631222
