decision_date,separation,agreement,member_std,family_std,disagreement,raw_confidence,prior_confidence_observations,threshold_p60,threshold_p80,threshold_p95,desired_weight,guarded_weight,extreme_only_weight,trailing_annualized_volatility,trailing_drawdown,volatility_cap_active,drawdown_stop_active,future_rank_ic_evaluation_only
2012-01-06,0.0265197466,1,0.0146820806,0.0146820806,0.0293641612,0.903133125,0,,,,0,0,0,,,False,False,0.695145773
2012-02-03,0.0415605288,0.933333333,0.0234133468,0.0234133468,0.0468266937,0.828369971,1,,,,0,0,0,,0,False,False,-0.14094472
2012-03-02,0.0215869746,0.933333333,0.0254164799,0.0254164799,0.0508329598,0.396353921,2,,,,0,0,0,,-0.00134225297,False,False,0.557739612
2012-04-06,0.0394920195,1,0.0159144724,0.0159144724,0.0318289448,1.24075805,3,,,,0,0,0,0.0813603089,-0.00707674424,False,False,-0.282234833
2012-05-04,0.0283029191,1,0.0340584302,0.0340584302,0.0681168604,0.415505337,4,,,,0,0,0,0.0789184426,-0.0183716547,False,False,0.00753176233
2012-06-01,0.0275922888,1,0.0166987062,0.0166987062,0.0333974124,0.826180438,5,,,,0,0,0,0.0991015787,-0.0511557919,False,False,-0.503101561
2012-07-06,0.0349653721,1,0.0113218187,0.0113218187,0.0226436374,1.54415881,6,,,,0,0,0,0.0784693992,-0.0622773643,False,False,0.0623901421
2012-08-03,0.0500899207,1,0.0130134346,0.0130134346,0.0260268691,1.92454653,7,,,,0,0,0,0.0819171879,-0.0622773643,False,False,-0.0509173146
2012-09-07,0.0195790528,1,0.0238612824,0.0238612824,0.0477225647,0.410268244,8,,,,0,0,0,0.0624566308,-0.0622773643,False,False,0.118403361
2012-10-05,0.0277987208,1,0.0298400225,0.0298400225,0.059680045,0.465795909,9,,,,0,0,0,0.0966033249,-0.0622773643,False,False,-0.707695985
2012-11-02,0.0274867155,1,0.0121290134,0.0121290134,0.0242580268,1.13309774,10,,,,0,0,0,0.0956020166,-0.0690596999,False,False,0.172385984
2012-12-07,0.0437038708,0.933333333,0.0368295144,0.0368295144,0.0736590288,0.553771615,11,,,,0,0,0,0.136619271,-0.107020983,False,False,0.321539531
2013-01-04,0.016530002,1,0.0312965418,0.0312965418,0.0625930835,0.264086717,12,,,,0,0,0,0.121293465,-0.107020983,False,False,0.132836807
2013-02-01,0.030970368,1,0.0210754573,0.0210754573,0.0421509146,0.73474961,13,,,,0,0,0,0.113850267,-0.107020983,False,False,0.0393239083
2013-03-01,0.0213966487,0.866666667,0.0259266251,0.0259266251,0.0518532502,0.357620055,14,,,,0,0,0,0.052057945,-0.107020983,False,False,0.205341003
2013-04-05,0.0168712722,1,0.0358720878,0.0358720878,0.0717441756,0.235158771,15,,,,0,0,0,0.0326222429,-0.0797617445,False,False,0.384831929
2013-05-03,0.033244661,1,0.0435043632,0.0435043632,0.0870087264,0.382084215,16,,,,0,0,0,0.083452167,-0.0407773555,False,False,-0.356642002
2013-06-07,0.011941334,0.866666667,0.0366832685,0.0366832685,0.073366537,0.141060988,17,,,,0,0,0,0.100165148,-0.0372502702,False,False,-0.037285982
2013-07-05,0.0455502476,0.866666667,0.0421679055,0.0421679055,0.084335811,0.468091559,18,,,,0,0,0,0.129577928,-0.0763831153,False,False,0.160934805
2013-08-02,0.0380366742,1,0.0147477116,0.0147477116,0.0294954232,1.28957886,19,,,,0,0,0,0.123258564,-0.0763831153,False,False,0.186044608
2013-09-06,0.0396939228,1,0.0214999823,0.0214999823,0.0429999647,0.923115242,20,,,,0,0,0,0.139972242,-0.0763831153,False,False,-0.0739860404
2013-10-04,0.02866022,1,0.0200685913,0.0200685913,0.0401371825,0.714056598,21,,,,0,0,0,0.107959151,-0.0763831153,False,False,0.304327687
2013-11-01,0.0375264484,1,0.0331098272,0.0331098272,0.0662196544,0.566696531,22,,,,0,0,0,0.118124487,-0.0763831153,False,False,-0.185258906
2013-12-06,0.0219315692,0.866666667,0.0337376214,0.0337376214,0.0674752428,0.281693836,23,,,,0,0,0,0.101176708,-0.0457276328,False,False,0.335891276
2014-01-03,0.0291811246,1,0.0307268289,0.0307268289,0.0614536578,0.474847643,24,0.730611008,1.00710824,1.50597181,0,0,0,0.111446093,-0.0587113717,False,False,-0.33761641
2014-02-07,0.0161483226,1,0.0321574576,0.0321574576,0.0643149151,0.251082079,25,0.722333803,0.965111743,1.49324282,0,0,0,0.090186884,-0.0587113717,False,False,0.540292913
