outer_year,test_start,maximum_training_decision_date,maximum_training_label_end_date,embargo_pass,train_rows,test_rows,test_months,real_mean_rank_ic,real_positive_month_share,family_weights,selected_configs
2012,2012-01-01,2011-12-02,2011-12-30,True,849,156,12,0.009157509157509158,0.4166666666666667,"{""elastic_net"": 0.3012466286054595, ""hist_gradient_boosting"": 0.41447649297343786, ""ridge"": 0.28427687842110255}","{""elastic_net"": ""elastic_net-dd2ae2029359"", ""hist_gradient_boosting"": ""hist_gradient_boosting-45604b4d380a"", ""ridge"": ""ridge-d3ccf501b007""}"
2013,2013-01-01,2012-11-02,2012-11-30,True,992,156,12,-0.00045787545787547473,0.6666666666666666,"{""elastic_net"": 0.3292286808840784, ""hist_gradient_boosting"": 0.3489167114076764, ""ridge"": 0.3218546077082452}","{""elastic_net"": ""elastic_net-dd2ae2029359"", ""hist_gradient_boosting"": ""hist_gradient_boosting-45604b4d380a"", ""ridge"": ""ridge-d3ccf501b007""}"
2014,2014-01-01,2013-11-01,2013-11-29,True,1148,156,12,0.06593406593406592,0.5833333333333334,"{""elastic_net"": 0.2999023311607298, ""hist_gradient_boosting"": 0.3909761567129665, ""ridge"": 0.3091215121263038}","{""elastic_net"": ""elastic_net-dd2ae2029359"", ""hist_gradient_boosting"": ""hist_gradient_boosting-0c4d84f610a9"", ""ridge"": ""ridge-48bf3ac658e3""}"
2015,2015-01-01,2014-11-07,2014-12-05,True,1304,157,12,0.023168498168498152,0.4166666666666667,"{""elastic_net"": 0.4231175625898532, ""hist_gradient_boosting"": 0.12813977358465223, ""ridge"": 0.4487426638254946}","{""elastic_net"": ""elastic_net-99d0c7de1040"", ""hist_gradient_boosting"": ""hist_gradient_boosting-0c4d84f610a9"", ""ridge"": ""ridge-48bf3ac658e3""}"
2016,2016-01-01,2015-11-06,2015-12-04,True,1460,168,12,-0.11941391941391939,0.25,"{""elastic_net"": 0.48648182476164686, ""hist_gradient_boosting"": 0.06498539420037804, ""ridge"": 0.4485327810379751}","{""elastic_net"": ""elastic_net-6da92d318c10"", ""hist_gradient_boosting"": ""hist_gradient_boosting-bde3027f9824"", ""ridge"": ""ridge-a63fede2878d""}"
2017,2017-01-01,2016-12-02,2016-12-30,True,1642,168,12,0.15604395604395604,0.75,"{""elastic_net"": 0.3333333333333333, ""hist_gradient_boosting"": 0.3333333333333333, ""ridge"": 0.3333333333333333}","{""elastic_net"": ""elastic_net-99d0c7de1040"", ""hist_gradient_boosting"": ""hist_gradient_boosting-bde3027f9824"", ""ridge"": ""ridge-a63fede2878d""}"
2018,2018-01-01,2017-12-01,2017-12-29,True,1810,168,12,0.009890109890109867,0.6666666666666666,"{""elastic_net"": 0.22278592837987177, ""hist_gradient_boosting"": 0.6, ""ridge"": 0.17721407162012837}","{""elastic_net"": ""elastic_net-99d0c7de1040"", ""hist_gradient_boosting"": ""hist_gradient_boosting-1a7aec188f7b"", ""ridge"": ""ridge-4979b3f4e21b""}"
2019,2019-01-01,2018-11-02,2018-11-30,True,1964,168,12,0.004029304029304012,0.4166666666666667,"{""elastic_net"": 0.04998780115888976, ""hist_gradient_boosting"": 0.6, ""ridge"": 0.3500121988411103}","{""elastic_net"": ""elastic_net-99d0c7de1040"", ""hist_gradient_boosting"": ""hist_gradient_boosting-b421266de6bd"", ""ridge"": ""ridge-a63fede2878d""}"
2020,2020-01-01,2019-11-01,2019-11-29,True,2132,168,12,0.07985347985347989,0.5833333333333334,"{""elastic_net"": 0.31286437600784855, ""hist_gradient_boosting"": 0.29063626488044897, ""ridge"": 0.3964993591117025}","{""elastic_net"": ""elastic_net-ed48097726dd"", ""hist_gradient_boosting"": ""hist_gradient_boosting-eaf6eaa896f1"", ""ridge"": ""ridge-a63fede2878d""}"
2021,2021-01-01,2020-11-06,2020-12-04,True,2300,168,12,0.11172161172161167,0.75,"{""elastic_net"": 0.40685975242139893, ""hist_gradient_boosting"": 0.1803543981184737, ""ridge"": 0.41278584946012736}","{""elastic_net"": ""elastic_net-0f02840a632a"", ""hist_gradient_boosting"": ""hist_gradient_boosting-70a06d145a5c"", ""ridge"": ""ridge-48bf3ac658e3""}"
