strategy,anomaly,months,correlation
return_first_60_40_blend,EBM,240,0.0018282563102890055
return_first_60_40_blend,MomSeason11YrPlus,240,0.0025157767998676703
return_first_60_40_blend,ChForecastAccrual,240,0.002866468184198531
return_first_60_40_blend,IO_ShortInterest,240,0.003254260165996259
return_first_60_40_blend,MomSeason16YrPlus,240,-0.003350874333942154
return_first_60_40_blend,Tax,240,-0.003448977855338131
return_first_60_40_blend,HerfBE,240,0.006216210069926759
return_first_60_40_blend,ChNWC,240,-0.009881171240168995
return_first_60_40_blend,MRreversal,240,0.011433220023911641
return_first_60_40_blend,AssetGrowth,240,-0.01724425057997271
return_first_60_40_blend,AccrualsBM,240,-0.017707214088046583
return_first_60_40_blend,TrendFactor,240,0.018048066345453043
return_first_60_40_blend,RIO_Disp,240,0.019319156171183773
return_first_60_40_blend,MomOffSeason06YrPlus,240,0.020536704454183683
return_first_60_40_blend,Frontier,240,0.020673659903214712
return_first_60_40_blend,ChTax,240,0.020973792890976402
return_first_60_40_blend,DelDRC,240,0.02125173947025669
return_first_60_40_blend,PayoutYield,240,0.02324333544469075
return_first_60_40_blend,MomSeason,240,0.028307663116364692
return_first_60_40_blend,realestate,240,0.028390965526056237
return_first_60_40_blend,grcapx3y,240,-0.03071756648431959
return_first_60_40_blend,SP,240,0.03161530673639006
return_first_60_40_blend,EarningsForecastDisparity,240,-0.031673785885623466
return_first_60_40_blend,Herf,240,0.03329048954840507
return_first_60_40_blend,ChAssetTurnover,240,0.03333086625778232
return_first_60_40_blend,OScore,240,-0.03689745978734081
return_first_60_40_blend,OrgCap,240,-0.038321290414577526
return_first_60_40_blend,IntanBM,240,0.04154161569041815
return_first_60_40_blend,MomOffSeason16YrPlus,240,-0.04382225022101537
return_first_60_40_blend,EarnSupBig,240,0.044039860457943954
return_first_60_40_blend,GrSaleToGrInv,240,-0.04417614306598043
return_first_60_40_blend,betaVIX,240,-0.04437746045971678
return_first_60_40_blend,HerfAsset,240,0.04506580924031451
return_first_60_40_blend,RDIPO,240,-0.04716362178182035
return_first_60_40_blend,iomom_cust,240,-0.04800190458005714
return_first_60_40_blend,MeanRankRevGrowth,240,0.04971023837664004
return_first_60_40_blend,BM,240,0.05260339946904179
return_first_60_40_blend,EarningsStreak,240,0.0529496905882215
return_first_60_40_blend,GrSaleToGrOverhead,240,0.0530011111723038
return_first_60_40_blend,Investment,240,0.053422929281148154
return_first_60_40_blend,RIO_Volatility,240,-0.054135300468322066
return_first_60_40_blend,DelEqu,240,0.05666788481585156
return_first_60_40_blend,MomSeason06YrPlus,240,-0.057603748953088826
return_first_60_40_blend,EarningsSurprise,240,-0.05781103565742369
return_first_60_40_blend,DebtIssuance,240,-0.05855314125584857
return_first_60_40_blend,RIO_MB,240,0.06020862315450557
return_first_60_40_blend,PctTotAcc,240,-0.06133639605328158
return_first_60_40_blend,dCPVolSpread,217,-0.06175838402534782
return_first_60_40_blend,ConsRecomm,240,-0.062149522032271066
return_first_60_40_blend,DivSeason,240,-0.06401459188098226
return_first_60_40_blend,IndIPO,240,0.06636505555743628
return_first_60_40_blend,DelBreadth,240,-0.0664103878357942
return_first_60_40_blend,DivOmit,239,0.06643902107796884
return_first_60_40_blend,CitationsRD,240,0.06702222490024368
return_first_60_40_blend,CustomerMomentum,240,-0.06823861284932717
return_first_60_40_blend,MomOffSeason11YrPlus,240,-0.06994447585443364
return_first_60_40_blend,ChangeInRecommendation,240,-0.07029753009171706
return_first_60_40_blend,BrandInvest,240,0.07211897267147047
return_first_60_40_blend,ChEQ,240,0.072640027731238
return_first_60_40_blend,SurpriseRD,240,0.07650571602423999
return_first_60_40_blend,AnalystRevision,240,-0.0803201924380078
return_first_60_40_blend,Size,240,-0.08038390788471572
return_first_60_40_blend,CashProd,240,-0.08128234191355996
return_first_60_40_blend,MomOffSeason,240,0.08207869429002293
return_first_60_40_blend,InvGrowth,240,-0.08310498396263619
return_first_60_40_blend,NOA,240,-0.08537536461646889
return_first_60_40_blend,IntanEP,240,-0.08777191978357271
return_first_60_40_blend,CF,240,-0.08778369616512323
return_first_60_40_blend,OrderBacklog,240,0.08920976258522699
return_first_60_40_blend,RDAbility,240,0.08968926629782123
return_first_60_40_blend,GP,240,0.09019928284229874
return_first_60_40_blend,AnalystValue,240,-0.09135879498657412
return_first_60_40_blend,skew1,217,0.09379804677087526
return_first_60_40_blend,ChNNCOA,240,-0.09836040721692454
return_first_60_40_blend,IntanCFP,240,0.09940187859029845
return_first_60_40_blend,DownRecomm,240,-0.09976128306940159
return_first_60_40_blend,MS,240,-0.10176109832090263
return_first_60_40_blend,UpRecomm,240,-0.10337222380853754
return_first_60_40_blend,IntMom,240,-0.10383108993488194
return_first_60_40_blend,dNoa,240,-0.10416897686545387
return_first_60_40_blend,MomRev,240,-0.10479589290653878
return_first_60_40_blend,OrderBacklogChg,240,0.11155471284549673
return_first_60_40_blend,RDS,240,0.11624932438063007
return_first_60_40_blend,PS,240,-0.11746823517399765
return_first_60_40_blend,grcapx,240,-0.12209370116341493
return_first_60_40_blend,GrLTNOA,240,0.12553315105046886
return_first_60_40_blend,hire,240,-0.12710840364384954
return_first_60_40_blend,REV6,240,-0.12776422497422005
return_first_60_40_blend,iomom_supp,240,-0.12815514378952889
return_first_60_40_blend,DelFINL,240,-0.13123842470284072
return_first_60_40_blend,RIVolSpread,217,-0.13352693612195798
return_first_60_40_blend,CompEquIss,240,0.1340231141223808
return_first_60_40_blend,IndRetBig,240,-0.134051503456828
return_first_60_40_blend,cfp,240,-0.13430678316531522
return_first_60_40_blend,RIO_Turnover,240,-0.13502691706885805
return_first_60_40_blend,EntMult,240,-0.1358837472877756
return_first_60_40_blend,DivInit,240,-0.13627832072356336
return_first_60_40_blend,MomSeasonShort,240,-0.1363170939263539
return_first_60_40_blend,Spinoff,240,0.13767641701506403
return_first_60_40_blend,tang,240,0.13805550615572637
return_first_60_40_blend,ResidualMomentum,240,-0.1396386791182442
return_first_60_40_blend,Coskewness,240,0.141174836561178
return_first_60_40_blend,RevenueSurprise,240,-0.14185087208622874
return_first_60_40_blend,PatentsRD,117,-0.14189202711816934
return_first_60_40_blend,TotalAccruals,240,0.14339044867656675
return_first_60_40_blend,NetDebtFinance,240,-0.14363571144054543
return_first_60_40_blend,Cash,240,0.1447049154933711
return_first_60_40_blend,ChInv,240,-0.14591627900319792
return_first_60_40_blend,NumEarnIncrease,240,-0.1467521594210524
return_first_60_40_blend,NetDebtPrice,240,-0.14688200940594098
return_first_60_40_blend,LRreversal,240,0.14785222798266076
return_first_60_40_blend,EP,240,0.15017377035084
return_first_60_40_blend,OptionVolume2,225,0.15285889213535045
return_first_60_40_blend,FirmAgeMom,240,-0.1539668650512121
return_first_60_40_blend,Mom6m,240,-0.15514433432862804
return_first_60_40_blend,BMdec,240,-0.1551725541114338
return_first_60_40_blend,Accruals,240,0.15871660797335127
return_first_60_40_blend,InvestPPEInv,240,-0.15977397857672504
return_first_60_40_blend,AdExp,240,0.16007796874972186
return_first_60_40_blend,CBOperProf,240,-0.16465278492427848
return_first_60_40_blend,sfe,240,-0.16479925221927977
