candidate_id,experiment_id,neighborhood_pass,cost_stress_pass,regime_pass,robustness_pass
candidate-3a187e9134eefe61,exp-3a187e9134eefe61,True,True,True,True
candidate-539eaf900f7b2b57,exp-539eaf900f7b2b57,True,True,True,True
candidate-4c75085a1dd85949,exp-4c75085a1dd85949,True,True,True,True
candidate-8ca3faf38ba934cb,exp-8ca3faf38ba934cb,True,True,True,True
candidate-23e3beb2c30dbeb8,exp-23e3beb2c30dbeb8,True,True,True,True
candidate-052f66f29b9fafbe,exp-052f66f29b9fafbe,True,True,True,True
candidate-36a0f3d51675c16f,exp-36a0f3d51675c16f,True,True,True,True
candidate-0788c02844e389fa,exp-0788c02844e389fa,True,True,True,True
candidate-c1a595f584a5d469,exp-c1a595f584a5d469,True,True,True,True
candidate-fc7248702f02b421,exp-fc7248702f02b421,True,True,True,True
