cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,first_recent_decision,last_recent_decision,recent_decision_rows,symbol_count
0000277638,DAVEY TREE EXPERT CO,agriculture_forestry_fishing,0000277638-22-000016,2022-05-12 00:00:00+00:00,,no_explicit_symbol_tag,davey-20220402.htm,359ec8e42bc22d3eebeaaff58693feacc6090fc6116bf8207b3cff0e5b71621a,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,3,0
0001776738,CANNABIST CO HOLDINGS INC.,agriculture_forestry_fishing,0001776738-25-000052,2025-11-11 00:00:00+00:00,,no_explicit_symbol_tag,cbstf-20250930.htm,b58b8078b8bd67fed735ccee6954092389c861261d5e5d8cb98798dadc4843b4,2024-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,9,0
0000773141,"M.D.C. HOLDINGS, INC.",construction,0000773141-24-000025,2024-05-07 00:00:00+00:00,,no_explicit_symbol_tag,mdc-20240331.htm,fbc979c86d889bc83f58bf073cadc415af88e26ddd4343ff197417f68efa0d8e,2023-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,11,0
0000006769,APACHE CORP,energy,0001784031-22-000029,2022-11-04 00:00:00+00:00,,no_explicit_symbol_tag,apa-20220930.htm,d84ddce5b7859afe9ecb8eece74a86beb4a7ffbe3bc362c5a3684d3376da3486,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,0
0000945764,DENBURY INC,energy,0000945764-23-000167,2023-11-22 00:00:00+00:00,,no_explicit_symbol_tag,den-20230930.htm,b2b6345abf7ad4b420bb53f9cc2d8001c70b4586f459d0642e460443bc8de04c,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,0
0000310522,FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,finance_insurance_real_estate,0000310522-26-000015,2026-02-12 00:00:00+00:00,,no_explicit_symbol_tag,fnm-20251231.htm,a5d2701b143988a86997f5185daad1c02c8dcaeccd01f5ddae8611e298c51522,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,0
0000831001,CITIGROUP INC,finance_insurance_real_estate,0000831001-26-000011,2026-02-21 00:00:00+00:00,,no_explicit_symbol_tag,c-20251231.htm,12f5818d577a8b8022e25851849e8d6d453f05ab4f89d906f185593547fb67fe,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,0
0001133470,CALAVO GROWERS INC,agriculture_forestry_fishing,0001104659-26-027142,2026-03-13 00:00:00+00:00,CVGW,xbrl_symbol_recovered,cvgw-20260131x10q.htm,9c1d5f7bfbc91604b98ed078d80c9e06803041a3f48a045a054e1a33cef39d99,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1
0001807707,"APPHARVEST, INC.",agriculture_forestry_fishing,0001807707-22-000133,2022-11-08 00:00:00+00:00,APPH|APPHW,xbrl_symbol_recovered,apph-20220930.htm,1c7d1be4a85161084bc01c97a562c9ea651997f1b26b7bae7f5cc43d9f467f4b,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,2
0000357294,HOVNANIAN ENTERPRISES INC,construction,0001753926-26-000412,2026-03-03 00:00:00+00:00,HOV|HOVNP,xbrl_symbol_recovered,hov-20260131.htm,2fe4f710572c819624f0f47c8f83b74712c6f0d53f7afe625b464f67e239004a,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2
