cik10,covers_first_eligible_decision,first_eligible_decision,first_price_date,issuer_name_match,issuer_name_score,last_eligible_decision,last_price_date,price_file,price_rows,provider_end_date,provider_exchange,provider_name,provider_start_date,sec_company_name,status,terminal,tiingo_symbol,cache_source,strict_issuer_name_score,strict_issuer_name_match,covers_last_eligible_decision,audit_status
0000002178,True,2013-04-01 00:00:00+00:00,2013-04-01,True,1.0,2026-01-01 00:00:00+00:00,2025-02-04,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/AE/prices.csv.gz,2982,2025-02-04,NYSE MKT,Adams Resources & Energy Inc,1984-09-07,"ADAMS RESOURCES & ENERGY, INC.",identity_and_start_validated,True,AE,legacy_authenticated_v1,1.0,True,False,validated_sec_confirmed_early_delisting
0000004447,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2026-04-01 00:00:00+00:00,2025-07-18,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/HES/prices.csv.gz,3343,2025-07-18,NYSE,Hess Corporation,1983-04-06,HESS CORP,validated_candidate,True,HES,legacy_authenticated_v1,1.0,True,False,validated_sec_confirmed_early_delisting
0000007332,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2025-10-01 00:00:00+00:00,2024-10-01,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/SWN/prices.csv.gz,3145,2024-10-01,NYSE,Southwestern Energy Company,1987-12-30,SOUTHWESTERN ENERGY CO,identity_and_start_validated,True,SWN,legacy_authenticated_v1,1.0,True,False,validated_sec_confirmed_early_delisting
0000010254,True,2016-04-01 00:00:00+00:00,2016-04-01,True,1.0,2025-01-01 00:00:00+00:00,2023-11-01,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/ESTE/prices.csv.gz,1911,2023-11-01,NYSE,Earthstone Energy Inc - Class A,1997-01-06,EARTHSTONE ENERGY INC,identity_and_start_validated,True,ESTE,legacy_authenticated_v1,1.0,True,False,validated_sec_confirmed_early_delisting
0000018349,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-01-01 00:00:00+00:00,2025-12-31,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/SNV/prices.csv.gz,752,2025-12-31,NYSE,Synovus Financial Corp,1990-01-12,SYNOVUS FINANCIAL CORP,identity_and_start_validated,True,SNV,broad_v2,1.0,True,True,validated_history_through_last_decision
0000020520,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-01-01 00:00:00+00:00,2026-01-09,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/FYBR/prices.csv.gz,758,2026-01-20,NASDAQ,Frontier Communications Parent Inc,2021-05-04,"FRONTIER COMMUNICATIONS PARENT, INC.",identity_and_start_validated,True,FYBR,broad_v2,1.0,True,True,validated_history_through_last_decision
0000023111,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2025-01-01 00:00:00+00:00,2023-12-13,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/CTG/prices.csv.gz,2945,2023-12-13,NASDAQ,Computer Task Group Inc,1988-01-05,COMPUTER TASK GROUP INC,identity_and_start_validated,True,CTG,legacy_authenticated_v1,1.0,True,False,validated_sec_confirmed_early_delisting
0000025475,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-04-01 00:00:00+00:00,2026-04-10,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/CRD-A/prices.csv.gz,820,2026-08-21,NYSE,Crawford & Co. - Class A,1992-03-19,CRAWFORD & CO,identity_and_start_validated,True,CRD-A,broad_v2,1.0,True,True,validated_history_through_last_decision
0000028412,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-01-01 00:00:00+00:00,2026-01-09,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/CMA/prices.csv.gz,758,2026-01-30,NYSE,Comerica Inc,1990-03-26,COMERICA INC,identity_and_start_validated,True,CMA,broad_v2,1.0,True,True,validated_history_through_last_decision
0000034563,True,2023-01-01 00:00:00+00:00,2023-01-03,True,0.8461538461538461,2025-07-01 00:00:00+00:00,2025-07-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/FARM/prices.csv.gz,632,2026-05-05,NASDAQ,Farmer Bros. Company,1990-03-26,FARMER BROTHERS CO,identity_and_start_validated,True,FARM,broad_v2,0.8461538461538461,True,True,validated_history_through_last_decision
0000039899,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-01-01 00:00:00+00:00,2026-01-09,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/TGNA/prices.csv.gz,758,2026-03-20,NYSE,TEGNA Inc,1985-07-01,TEGNA INC,identity_and_start_validated,True,TGNA,broad_v2,1.0,True,True,validated_history_through_last_decision
0000040888,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2023-07-01 00:00:00+00:00,2023-07-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/AJRD/prices.csv.gz,130,2023-07-27,NYSE,Aerojet Rocketdyne Holdings Inc,1981-02-02,"AEROJET ROCKETDYNE HOLDINGS, INC.",identity_and_start_validated,True,AJRD,broad_v2,1.0,True,True,validated_history_through_last_decision
0000051644,True,2023-01-01 00:00:00+00:00,2023-01-03,True,0.8888888888888888,2025-10-01 00:00:00+00:00,2025-10-10,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/IPG/prices.csv.gz,696,2025-11-26,NYSE,Interpublic Group Of Cos. Inc,1987-11-05,"INTERPUBLIC GROUP OF COMPANIES, INC.",identity_and_start_validated,True,IPG,broad_v2,0.8888888888888888,True,True,validated_history_through_last_decision
