sector,decision_rows,unique_ciks,validated_price_rows,companyfacts_rows,single_ticker_rows,validated_price_coverage,companyfacts_coverage,single_ticker_coverage
agriculture_forestry_fishing,193,17,176,193,162,0.9119170984455959,1.0,0.8393782383419689
construction,677,50,663,677,541,0.9793205317577548,1.0,0.7991137370753324
energy,1529,128,1473,1529,1210,0.9633747547416612,1.0,0.7913669064748201
finance_insurance_real_estate,10334,822,10042,10329,6854,0.9717437584671956,0.9995161602477259,0.6632475324172634
manufacturing,12324,1008,12032,12320,10369,0.976306394027913,0.9996754300551769,0.8413664394677053
materials_and_mining,335,27,335,335,267,1.0,1.0,0.7970149253731343
retail_trade,2554,196,2412,2554,2182,0.9444009397024276,1.0,0.8543461237274863
services,4373,361,4175,4373,3581,0.9547221587011205,1.0,0.818888634804482
technology,6494,523,6359,6492,5438,0.9792115799199261,0.9996920234062211,0.8373883584847551
transport_communications_utilities,3261,259,3162,3260,2405,0.9696412143514259,0.9996933455995094,0.7375038331800061
wholesale_trade,935,72,917,935,752,0.9807486631016042,1.0,0.8042780748663102
