cik10,source,rows,dividend_events,split_events,first_date,last_date
0000004127,yahoo_current_sec,927,14,0,2022-12-01,2026-08-13
0000004447,tiingo_identity_validated,3343,53,0,2012-04-02,2025-07-18
0000023194,yahoo_current_sec,927,4,0,2022-12-01,2026-08-13
0000033213,yahoo_current_sec,927,15,0,2022-12-01,2026-08-13
0000045012,yahoo_current_sec,927,15,0,2022-12-01,2026-08-13
0000056978,yahoo_current_sec,927,15,0,2022-12-01,2026-08-13
0000320193,yahoo_current_sec,927,15,0,2022-12-01,2026-08-13
0000351817,missing,0,0,0,,
0000723125,yahoo_current_sec,927,15,0,2022-12-01,2026-08-13
0000732834,missing,0,0,0,,
0000751978,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0000769397,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0000785786,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0000788965,yahoo_repair_v1,2163,9,0,2018-01-02,2026-08-11
0000797721,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0000807863,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0000851310,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0000858470,tiingo_identity_validated,3526,57,1,2012-04-02,2026-04-10
0000874499,yahoo_current_sec,926,0,0,2022-12-01,2026-08-13
0000889900,yahoo_current_sec,927,14,0,2022-12-01,2026-08-13
0000896429,tiingo_identity_validated,2330,0,0,2017-01-03,2026-04-10
0000909494,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0000912093,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0000917273,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0000927003,yahoo_repair_v1,2163,22,0,2018-01-02,2026-08-11
0000936395,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0000945983,yahoo_repair_v1,2163,32,1,2018-01-02,2026-08-11
0001006655,yahoo_current_sec,927,15,0,2022-12-01,2026-08-13
0001013462,tiingo_identity_validated,3383,0,0,2012-04-02,2026-04-10
0001013857,yahoo_current_sec,927,15,1,2022-12-01,2026-08-13
0001031308,yahoo_current_sec,926,14,0,2022-12-01,2026-08-13
0001035002,yahoo_current_sec,927,15,0,2022-12-01,2026-08-13
0001039399,yahoo_repair_v1,2163,0,0,2018-01-02,2026-08-11
0001044777,yahoo_current_sec,927,6,0,2022-12-01,2026-08-13
0001045810,yahoo_current_sec,927,14,1,2022-12-01,2026-08-13
0001070235,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001070412,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001104485,yahoo_current_sec,927,15,0,2022-12-01,2026-08-13
0001107843,yahoo_current_sec,926,0,0,2022-12-01,2026-08-13
0001108524,yahoo_current_sec,927,10,0,2022-12-01,2026-08-13
0001114995,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001124610,tiingo_identity_validated,2931,2,0,2012-04-02,2023-11-22
0001124804,yahoo_repair_v1,2163,0,0,2018-01-02,2026-08-11
0001162194,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001171486,yahoo_current_sec,927,18,0,2022-12-01,2026-08-13
0001173489,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001273441,yahoo_current_sec,927,0,1,2022-12-01,2026-08-13
0001280263,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001280452,yahoo_current_sec,927,15,0,2022-12-01,2026-08-13
0001288469,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001314727,yahoo_current_sec,926,0,0,2022-12-01,2026-08-13
0001321655,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001327567,yahoo_current_sec,927,0,1,2022-12-01,2026-08-13
0001349436,yahoo_current_sec,926,14,0,2022-12-01,2026-08-13
0001353283,tiingo_identity_validated,2474,0,0,2014-07-01,2024-09-04
0001361113,yahoo_repair_v1,2163,0,1,2018-01-02,2026-08-11
0001373715,yahoo_current_sec,927,0,1,2022-12-01,2026-08-13
0001393052,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001431959,missing,0,0,0,,
0001442145,yahoo_current_sec,927,15,0,2022-12-01,2026-08-13
0001451505,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001451809,yahoo_current_sec,926,0,0,2022-12-01,2026-08-13
0001459417,missing,0,0,0,,
0001463101,yahoo_repair_v1,2163,0,0,2018-01-02,2026-08-11
0001475115,tiingo_identity_validated,1492,0,0,2020-04-01,2026-03-10
0001493761,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001506293,yahoo_current_sec,926,0,0,2022-12-01,2026-08-13
0001507605,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001509991,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001511737,yahoo_current_sec,927,14,0,2022-12-01,2026-08-13
0001520006,yahoo_repair_v1,2163,23,0,2018-01-02,2026-08-11
0001528129,tiingo_identity_validated,3198,0,1,2013-04-01,2025-12-12
0001561550,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001562088,yahoo_current_sec,926,0,0,2022-12-01,2026-08-13
0001585521,yahoo_current_sec,926,0,0,2022-12-01,2026-08-13
0001609253,yahoo_current_sec,926,14,0,2022-12-01,2026-08-13
0001615165,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001621434,yahoo_current_sec,926,15,0,2022-12-01,2026-08-13
0001628945,missing,0,0,0,,
0001640147,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001640428,yahoo_current_sec,926,0,0,2022-12-01,2026-08-13
0001650372,yahoo_repair_v1,2163,0,0,2018-01-02,2026-08-11
0001653482,yahoo_repair_v1,1210,0,0,2021-10-14,2026-08-11
0001657788,yahoo_current_sec,927,14,0,2022-12-01,2026-08-13
0001658566,yahoo_current_sec,926,14,0,2022-12-01,2026-08-13
0001671933,yahoo_current_sec,927,0,0,2022-12-01,2026-08-13
0001679268,yahoo_repair_v1,2163,4,0,2018-01-02,2026-08-11
