candidate,cagr_full_recent,cagr_trailing_1y,cagr_ytd,sharpe_zero_rf_full_recent,sharpe_zero_rf_trailing_1y,sharpe_zero_rf_ytd,max_drawdown_full_recent,max_drawdown_trailing_1y,max_drawdown_ytd,trailing_1y_200bps_cagr
uncapped__13w__50,0.3917737974966429,1.0753269915239274,1.1363445654211493,1.5601687597772858,2.7088730394231972,2.5559102613087323,-0.23256296706298563,-0.10669251571766492,-0.10669251571766492,0.9548443284536201
cap_2.00x__13w__50,0.3917737974966429,1.0753269915239274,1.1363445654211493,1.5601687597772858,2.7088730394231972,2.5559102613087323,-0.23256296706298563,-0.10669251571766492,-0.10669251571766492,0.9548443284536201
cap_1.50x__13w__50,0.3913324975367021,1.0729937571787493,1.1323679942907212,1.5592284758385817,2.7064910027023172,2.5519496260826235,-0.23256296706298563,-0.1068108507887442,-0.10681085078874408,0.9526923679611894
cap_1.25x__13w__50,0.3898905526682095,1.0659593053086858,1.1203968327592877,1.5567979985008893,2.7023588373042466,2.543819549050341,-0.23278101391006922,-0.10582565992877813,-0.10582565992877802,0.9458998471906452
cap_2.00x__11w__50,0.38164172238577887,1.0626350033675274,1.114748863338428,1.5305596813275824,2.686619261977624,2.52269462878124,-0.24682933026556553,-0.11226041065513526,-0.11226041065513515,0.9430575406810116
uncapped__11w__50,0.38164172238577887,1.0626350033675274,1.114748863338428,1.5305596813275824,2.686619261977624,2.52269462878124,-0.24682933026556553,-0.11226041065513526,-0.11226041065513515,0.9430575406810116
cap_1.50x__11w__50,0.3813357337180592,1.061015090082464,1.111998803559453,1.5300552229235833,2.6856165905549685,2.5207493600881103,-0.24682933026556553,-0.11207105117744498,-0.11207105117744498,0.9414123947857309
cap_1.00x__13w__50,0.39187303967835296,1.0584442655651198,1.1076373323840172,1.5662586761608315,2.7088143524860797,2.5488030925344387,-0.22795031674286925,-0.10106282310488035,-0.10106282310488024,0.9391198559041536
cap_1.25x__11w__50,0.38017721172422103,1.0546483769263904,1.101204041248005,1.5285637949997202,2.682769289673858,2.514455380640042,-0.24688768600694133,-0.11081505983327133,-0.11081505983327111,0.934785943112153
cap_1.00x__11w__50,0.3777150753767089,1.0470267330472538,1.08831038447043,1.5281173719674521,2.68881628299499,2.5187503722656324,-0.24338258230761967,-0.10614455568540626,-0.10614455568540626,0.9275929216875927
uncapped__13w__40,0.3908177742057981,1.0444986799418357,1.084040584127171,1.5606669614387365,2.662932055372263,2.4853049672407197,-0.22825097884779566,-0.11212741309429386,-0.11212741309429375,0.9278741044096308
cap_2.00x__13w__40,0.3908177742057981,1.0444986799418357,1.084040584127171,1.5606669614387365,2.662932055372263,2.4853049672407197,-0.22825097884779566,-0.11212741309429386,-0.11212741309429375,0.9278741044096308
cap_1.50x__13w__40,0.39046124235000534,1.0426402117646405,1.080903899982797,1.5598291838648668,2.6606742134458425,2.4816754564459376,-0.22825097884779566,-0.11222711586351997,-0.11222711586351997,0.9261618370864508
cap_1.25x__13w__40,0.3892969240379043,1.0370351709864543,1.0714551689837473,1.5576239442493103,2.6562661524660927,2.4736990857573256,-0.22842683192118163,-0.11145632028770835,-0.11145632028770813,0.9207540241182761
cap_2.00x__11w__40,0.3827068328805847,1.0344910467136783,1.0671720199599881,1.5372067421669986,2.645731187806063,2.459487317953775,-0.23975335138687515,-0.11655683700070996,-0.11655683700070985,0.9185564614103012
uncapped__11w__40,0.3827068328805847,1.0344910467136783,1.0671720199599881,1.5372067421669986,2.645731187806063,2.459487317953775,-0.23975335138687515,-0.11655683700070996,-0.11655683700070985,0.9185564614103012
cap_1.50x__11w__40,0.38245807013852695,1.0331929905712278,1.0649880368954476,1.5367159979793978,2.644558631884538,2.4574478542608453,-0.23975335138687515,-0.11641184415602235,-0.11641184415602235,0.9172429362649142
cap_1.00x__13w__40,0.39084856289086245,1.031037351478556,1.0613631893230746,1.5646728656398157,2.6598751091672157,2.475502630018184,-0.22457364362116272,-0.10768368610530699,-0.10768368610530699,0.9153541864777626
cap_1.25x__11w__40,0.3815191177671051,1.0281087579663128,1.056442612315578,1.5352674491382021,2.6411588293591044,2.450923627132194,-0.23980059650851338,-0.11542468365846792,-0.11542468365846792,0.9119605135691955
cap_1.00x__11w__40,0.37953131057338463,1.022020540722266,1.0462282032643206,1.5345512667101175,2.6444788994456547,2.4522512271461534,-0.2369726061269397,-0.11172114242905984,-0.11172114242905984,0.906227724703289
uncapped__13w__30,0.38975659670982266,1.0138591830229409,1.0325672506902643,1.5587752989607964,2.6121190261683713,2.408521073535214,-0.22396710033516387,-0.11761824819225775,-0.11761824819225775,0.9011323317346989
cap_2.00x__13w__30,0.38975659670982266,1.0138591830229409,1.0325672506902643,1.5587752989607964,2.6121190261683713,2.408521073535214,-0.22396710033516387,-0.11761824819225775,-0.11761824819225775,0.9011323317346989
cap_1.50x__13w__30,0.38948658431213357,1.0124716332347568,1.0302482969377542,1.5580825623485604,2.6101683152501205,2.4054692013990415,-0.22396710033516387,-0.11769676803338613,-0.11769676803338602,0.899855189648878
cap_1.25x__13w__30,0.38860528985929443,1.0082853440524904,1.0232582852573016,1.5562304457508203,2.606048175033067,2.3984171656371682,-0.22410005086967522,-0.11713164845249557,-0.11713164845249546,0.8958192156994622
cap_2.00x__11w__30,0.38366990315469773,1.0064623428367017,1.020217334624082,1.5413727952633092,2.599672384479656,2.3897297949388276,-0.232660894908171,-0.12092141741383011,-0.12092141741383011,0.8942274948998585
