candidate,trailing_1y_cagr,trailing_1y_sharpe,trailing_1y_drawdown,ytd_cagr,full_cagr,full_drawdown,trailing_1y_200bps_cagr,recent_return,ytd_return,recent_sharpe,recent_drawdown,full_return_gate,full_drawdown_gate,severe_cost,all_screen_gates,joint_improvement
cash_rel_13w_00_50,1.0753269915239274,2.7088730394231972,-0.1066925157176648,1.136344565421151,0.3917737974966433,-0.23256296706298496,0.9548443284536205,True,True,True,True,True,True,True,True,True
cash_rel_11w_00_50,1.062635003367527,2.686619261977623,-0.11226041065513503,1.1147488633384275,0.3816417223857784,-0.24682933026556608,0.9430575406810116,True,True,True,True,True,True,True,True,False
cash_rel_13w_05_50,1.0482859612090123,2.7485054640346473,-0.10057087308875934,1.119008434435358,0.3826757652515316,-0.23369851873458614,0.931244184190519,True,True,True,True,True,True,True,True,False
cash_rel_13w_00_40,1.0444986799418357,2.662932055372262,-0.11212741309429386,1.0840405841271705,0.3908177742057979,-0.2282509788477961,0.9278741044096306,True,True,True,True,True,True,True,True,True
cash_rel_11w_05_50,1.037088104273952,2.7278926005200437,-0.10558229455314894,1.0998560584555173,0.3739107874506664,-0.24654135872860894,0.9210774341396741,True,True,True,True,True,True,True,True,False
cash_rel_11w_00_40,1.0344910467136783,2.645731187806063,-0.11655683700070996,1.0671720199599881,0.3827068328805847,-0.23975335138687526,0.9185564614103023,True,True,True,True,True,True,True,True,False
cash_rel_13w_10_50,1.0211654944349062,2.7845093090835906,-0.09536447455627584,1.1013064985535626,0.37352336105690953,-0.23485797861983526,0.9077671805098015,True,True,True,True,True,True,True,True,False
cash_rel_13w_05_40,1.0178590897993933,2.701557043135797,-0.10604312553437989,1.0671284757856512,0.38172512453836327,-0.22939407589679284,0.9045958043720774,True,True,True,True,True,True,True,True,False
cash_rel_13w_00_30,1.0138591830229409,2.6121190261683713,-0.11761824819225775,1.0325672506902643,0.38975659670982243,-0.2239671003351642,0.9011323317346989,True,True,True,True,True,True,True,True,True
cash_rel_11w_10_50,1.0114190849118678,2.7656927927097086,-0.09981046756710332,1.084550513029113,0.3661087004834347,-0.24627756722478922,0.8991483627309544,True,True,True,True,True,True,True,True,False
cash_rel_11w_05_40,1.0092924590943348,2.6861345782431414,-0.10991116192187567,1.0526138156393245,0.3749688809229317,-0.2394636349096365,0.896849419085848,True,True,True,True,True,True,True,True,False
cash_rel_11w_00_30,1.0064623428367017,2.599672384479656,-0.12092141741383011,1.020217334624082,0.3836699031546975,-0.23266089490817166,0.8942274948998585,True,True,True,True,True,True,True,True,False
cash_rel_8w_00_50,0.9998135429723671,2.6001397000648088,-0.08708758375337311,1.0739584297939846,0.35056221047205627,-0.2134303498738067,0.8333537564229505,True,True,True,True,False,True,True,False,False
cash_rel_15w_00_50,0.9923132195590163,2.5110688349261436,-0.14309808380500244,0.9966768378688133,0.3757036505891811,-0.21900731633359327,0.8769187826304052,True,True,True,True,True,True,True,True,False
cash_rel_20w_00_50,0.9923132195590154,2.5110688349261436,-0.14309808380500255,0.9966768378688133,0.3612300507333437,-0.2634483911240285,0.8769187826304057,True,True,True,True,True,True,True,True,False
cash_rel_26w_00_50,0.992313219559015,2.5110688349261427,-0.14309808380500255,0.9966768378688116,0.36666998916505666,-0.2367440682331019,0.8769187826304039,True,True,True,True,True,True,True,True,False
cash_rel_14w_00_50,0.992313219559015,2.5110688349261423,-0.14309808380500255,0.996676837868812,0.3722033728481784,-0.22384612351375033,0.8769187826304035,True,True,True,True,True,True,True,True,False
cash_rel_13w_10_40,0.9911412495227072,2.7366152354196744,-0.10086851507818884,1.0498595251774838,0.3725781526816283,-0.23056121078262315,0.8814390402443548,True,True,True,True,True,True,True,True,False
cash_rel_13w_05_30,0.9876185804449138,2.6492883832093734,-0.11157169754843788,1.0160724453949879,0.38067002117993987,-0.2251177111199003,0.8781732370703854,True,True,True,True,True,True,True,True,False
cash_rel_8w_00_40,0.9854551424808793,2.5879779787681745,-0.08708758375337322,1.036302290583114,0.3579277787153212,-0.21258014323040741,0.8321343551825056,True,True,True,True,True,True,True,True,False
cash_rel_11w_10_40,0.9839734265935265,2.72311485238376,-0.10416739022924193,1.037652167069008,0.3671597354842351,-0.23919832510423378,0.8751929052100174,True,True,True,True,True,True,True,True,False
cash_rel_13w_00_20,0.9834116041272369,2.556666418204467,-0.12316427265011909,0.9819229190843375,0.3885904389917565,-0.2197117185919416,0.874618944000108,True,True,True,True,True,True,True,True,True
cash_rel_11w_05_30,0.9816106468504955,2.638729675698104,-0.11430869474155958,1.005989370399945,0.3759255062895228,-0.2323694428969666,0.8727916899579884,True,True,True,True,True,True,True,True,False
cash_rel_8w_05_50,0.9809384140991211,2.641971658213002,-0.08177141236638452,1.0628874829917594,0.3450563924887884,-0.2191438884398248,0.8233933310874995,True,True,True,True,False,True,True,False,False
cash_rel_20w_00_40,0.9785735512451752,2.501186553171655,-0.1412984057876323,0.9739223187742365,0.36628471980445876,-0.25320161806414976,0.8660161423149313,True,True,True,True,True,True,True,True,False
cash_rel_14w_00_40,0.9785735512451752,2.501186553171653,-0.14129840578763242,0.9739223187742356,0.37508053025514476,-0.22156379515372704,0.8660161423149311,True,True,True,True,True,True,True,True,False
cash_rel_15w_00_40,0.9785735512451745,2.5011865531716517,-0.14129840578763253,0.9739223187742347,0.37789105374392173,-0.2176737433964523,0.8660161423149302,True,True,True,True,True,True,True,True,False
cash_rel_26w_00_40,0.9785735512451745,2.5011865531716535,-0.1412984057876323,0.973922318774237,0.37062942059292814,-0.23168250327008255,0.8660161423149306,True,True,True,True,True,True,True,True,False
cash_rel_11w_00_20,0.9785525700538666,2.5486676041996685,-0.12535363486853357,0.9738876504873231,0.3845306345689803,-0.2255522919113624,0.8700710166122501,True,True,True,True,True,True,True,True,False
cash_rel_14w_05_50,0.9746096316985351,2.563688986138236,-0.13353372924099394,0.9942648995455072,0.36507265591728566,-0.22849816622152852,0.8621877247663559,True,True,True,True,True,True,True,True,False
cash_rel_15w_05_50,0.9746096316985347,2.563688986138238,-0.1335337292409936,0.9942648995455077,0.3687533184046179,-0.2241780054279644,0.8621877247663547,True,True,True,True,True,True,True,True,False
cash_rel_26w_05_50,0.9746096316985333,2.5636889861382346,-0.13353372924099416,0.9942648995455043,0.3609217669909226,-0.23747294500786642,0.8621877247663576,True,True,True,True,True,True,True,True,False
cash_rel_20w_05_50,0.9746096316985329,2.563688986138233,-0.13353372924099383,0.9942648995455048,0.3564377216872192,-0.2615001687138818,0.8621877247663552,True,True,True,True,True,True,True,True,False
