candidate,bundle_size,banned_ciks,recent_cagr
cash_first_overlap0,1,0001770787,1.1115611497956737
cash_first_overlap0,2,0001770787|0001107843,0.989286874038628
cash_first_overlap0,3,0001770787|0001107843|0001327567,0.9277562195872355
cash_first_overlap0,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.9101045297411949
cash_first_overlap2,1,0001770787,1.1239394576883468
cash_first_overlap2,2,0001770787|0001107843,0.9998282547538189
cash_first_overlap2,3,0001770787|0001107843|0001327567,0.9690636804847041
cash_first_overlap2,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.9332455264373547
cash_first_overlap4,1,0001770787,1.097291523479425
cash_first_overlap4,2,0001770787|0001107843,1.1111463166434388
cash_first_overlap4,3,0001770787|0001107843|0001327567,0.9899089663331635
cash_first_overlap4,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.9747246217423708
cash_first_overlap6,1,0001770787,1.1281849049317536
cash_first_overlap6,2,0001770787|0001107843,1.0943848704672998
cash_first_overlap6,3,0001770787|0001107843|0001327567,1.1047961380935951
cash_first_overlap6,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.9734190004742198
cash_first_overlap8,1,0001770787,1.1487827848358751
cash_first_overlap8,2,0001770787|0001107843,1.1028141492251065
cash_first_overlap8,3,0001770787|0001107843|0001327567,1.1157615843784825
cash_first_overlap8,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.9724340537989975
cash_first_overlap10,1,0001770787,1.1332563886221823
cash_first_overlap10,2,0001770787|0001107843,1.1122284109204275
cash_first_overlap10,3,0001770787|0001107843|0001327567,1.0899546260079056
cash_first_overlap10,5,0001770787|0001107843|0001327567|0001653482|0001314727,1.0818885292442517
cash_first_overlap12,1,0001770787,1.2176115886946892
cash_first_overlap12,2,0001770787|0001107843,1.1126298193057145
cash_first_overlap12,3,0001770787|0001107843|0001327567,1.0936840897720508
cash_first_overlap12,5,0001770787|0001107843|0001327567|0001653482|0001314727,1.0681741822076098
cash_first_overlap20,1,0001770787,1.2223088992343705
cash_first_overlap20,2,0001770787|0001107843,1.1143926795045758
cash_first_overlap20,3,0001770787|0001107843|0001327567,1.0998029045487927
cash_first_overlap20,5,0001770787|0001107843|0001327567|0001653482|0001314727,1.0931712975015522
balance_first_overlap0,1,0001770787,1.0637028368880324
balance_first_overlap0,2,0001770787|0001107843,1.039198367758034
balance_first_overlap0,3,0001770787|0001107843|0001327567,1.0318393858913941
balance_first_overlap0,5,0001770787|0001107843|0001327567|0001653482|0001314727,0.9176740959764877
balance_first_overlap2,1,0001770787,1.0828231274019822
balance_first_overlap2,2,0001770787|0001107843,1.0590845310122647
balance_first_overlap2,3,0001770787|0001107843|0001327567,1.0505462957736214
balance_first_overlap2,5,0001770787|0001107843|0001327567|0001653482|0001314727,1.0271323734442221
balance_first_overlap4,1,0001770787,1.0825685878974873
balance_first_overlap4,2,0001770787|0001107843,1.056854957909191
balance_first_overlap4,3,0001770787|0001107843|0001327567,1.062848299856785
balance_first_overlap4,5,0001770787|0001107843|0001327567|0001653482|0001314727,1.0226548902402142
balance_first_overlap6,1,0001770787,1.0958871537884574
balance_first_overlap6,2,0001770787|0001107843,1.072642795594176
balance_first_overlap6,3,0001770787|0001107843|0001327567,1.0496769143947002
balance_first_overlap6,5,0001770787|0001107843|0001327567|0001653482|0001314727,1.0658213791584052
balance_first_overlap8,1,0001770787,1.1336795902988386
balance_first_overlap8,2,0001770787|0001107843,1.0934389763609071
balance_first_overlap8,3,0001770787|0001107843|0001327567,1.0707177077822858
balance_first_overlap8,5,0001770787|0001107843|0001327567|0001653482|0001314727,1.0405993028367608
balance_first_overlap10,1,0001770787,1.2000144225985494
balance_first_overlap10,2,0001770787|0001107843,1.0956330047288558
balance_first_overlap10,3,0001770787|0001107843|0001327567,1.0783680802599203
balance_first_overlap10,5,0001770787|0001107843|0001327567|0001653482|0001314727,1.0587216179654253
balance_first_overlap12,1,0001770787,1.145079038377805
balance_first_overlap12,2,0001770787|0001107843,1.1189744482309627
balance_first_overlap12,3,0001770787|0001107843|0001327567,1.0936840897720508
balance_first_overlap12,5,0001770787|0001107843|0001327567|0001653482|0001314727,1.0920689784255342
