candidate,sleeve,family,holding_weeks,price_confirmation,breadth,market_cap_floor,sector_cap,allocation,cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown,sleeve_recent_cagr,sleeve_full_cagr,beats_control_both
balanced_filing_momentum__hold4__positive_8w__top30__floor50m__sector70__w0.20__50bps,balanced_filing_momentum__hold4__positive_8w__top30__floor50m__sector70,balanced_filing_momentum,4,positive_8w,30,50000000,0.7,0.2,50,1.053827653734778,2.9292417837000304,-0.10764495929000406,0.38585011397630886,1.6210777052016339,-0.23083997781140153,1.0027312628628757,0.2763123294799663,False
balanced_filing_momentum__hold4__positive_8w__top30__floor50m__sector70__w0.10__50bps,balanced_filing_momentum__hold4__positive_8w__top30__floor50m__sector70,balanced_filing_momentum,4,positive_8w,30,50000000,0.7,0.1,50,1.0531924566169462,2.817920561824255,-0.10401955675024543,0.3978348348158589,1.6293973720349475,-0.22240323141308738,1.0027312628628757,0.2763123294799663,False
balanced_filing_momentum__hold4__positive_8w__top30__floor50m__sector70__w0.30__50bps,balanced_filing_momentum__hold4__positive_8w__top30__floor50m__sector70,balanced_filing_momentum,4,positive_8w,30,50000000,0.7,0.3,50,1.0529054173483563,3.0166640427336033,-0.11361886819882572,0.37340598920318535,1.598084479158088,-0.24097811046486073,1.0027312628628757,0.2763123294799663,False
quality_momentum__hold13__positive_8w__top10__floor50m__sector70__w0.10__50bps,quality_momentum__hold13__positive_8w__top10__floor50m__sector70,quality_momentum,13,positive_8w,10,50000000,0.7,0.1,50,1.0506737653705467,2.8439167186321974,-0.09449019760033506,0.38995204814787865,1.5916018312587477,-0.22925142107385965,0.9827093114927725,0.19755693046565126,False
balanced_filing_momentum__hold4__positive_8w__top30__floor50m__sector70__w0.40__50bps,balanced_filing_momentum__hold4__positive_8w__top30__floor50m__sector70,balanced_filing_momentum,4,positive_8w,30,50000000,0.7,0.4,50,1.050420176097981,3.0712254528026444,-0.11961015661036845,0.3605152562335485,1.5598458249022142,-0.2555568041149462,1.0027312628628757,0.2763123294799663,False
quality_momentum__hold13__positive_8w__top10__floor50m__sector70__w0.20__50bps,quality_momentum__hold13__positive_8w__top10__floor50m__sector70,quality_momentum,13,positive_8w,10,50000000,0.7,0.2,50,1.0488901265537054,2.9928088285330383,-0.08917763906373855,0.3700377543044653,1.5388441244812379,-0.25848039252397825,0.9827093114927725,0.19755693046565126,False
fundamental_acceleration__hold4__positive_4w__top10__floor50m__sector70__w0.10__50bps,fundamental_acceleration__hold4__positive_4w__top10__floor50m__sector70,fundamental_acceleration,4,positive_4w,10,50000000,0.7,0.1,50,1.0466521311399513,2.8162744974529743,-0.1072021312152368,0.40014323774857363,1.621035276275408,-0.22011206659968274,0.931462929084806,0.28111380637888406,False
quality_momentum__hold13__positive_8w__top10__floor100m__sector70__w0.10__50bps,quality_momentum__hold13__positive_8w__top10__floor100m__sector70,quality_momentum,13,positive_8w,10,100000000,0.7,0.1,50,1.0457472937698085,2.8382931792136605,-0.09449019760033506,0.38293606931176494,1.5695685653968587,-0.22925142107385954,0.9362185464497017,0.13970082762720448,False
quality_momentum__hold13__positive_8w__top10__floor50m__sector70__w0.30__50bps,quality_momentum__hold13__positive_8w__top10__floor50m__sector70,quality_momentum,13,positive_8w,10,50000000,0.7,0.3,50,1.0456547574059756,3.1295305513158556,-0.08391425584266032,0.34963708894220114,1.4671995446051291,-0.28818458769443056,0.9827093114927725,0.19755693046565126,False
balanced_filing_momentum__hold13__positive_8w__top30__floor50m__sector70__w0.10__50bps,balanced_filing_momentum__hold13__positive_8w__top30__floor50m__sector70,balanced_filing_momentum,13,positive_8w,30,50000000,0.7,0.1,50,1.0451965548307864,2.805751001905678,-0.10734600462223065,0.3921603191364711,1.610532318722446,-0.21920430216766262,0.9292561638170616,0.22659615647540243,False
