path,date,cik10,ticker
base__confidence_10_40__cap_1.00x__50bps,2023-02-03,0001561550,DDOG
base__confidence_10_40__cap_1.00x__50bps,2023-02-03,0001743725,GDYN
base__confidence_10_40__cap_1.00x__50bps,2023-03-03,0000858470,prices
base__confidence_10_40__cap_1.00x__50bps,2023-03-03,0001561550,DDOG
base__confidence_10_40__cap_1.00x__50bps,2023-05-05,0000858470,prices
base__confidence_10_40__cap_1.00x__50bps,2023-05-05,0001561550,DDOG
base__confidence_10_40__cap_1.00x__50bps,2023-06-02,0001561550,DDOG
base__confidence_10_40__cap_1.00x__50bps,2023-08-04,0001035002,VLO
base__confidence_10_40__cap_1.00x__50bps,2023-08-04,0001280452,MPWR
base__confidence_10_40__cap_1.00x__50bps,2023-09-01,0000896429,prices
base__confidence_10_40__cap_1.00x__50bps,2023-09-01,0001035002,VLO
base__confidence_10_40__cap_1.00x__50bps,2023-09-01,0001280452,MPWR
base__confidence_10_40__cap_1.00x__50bps,2023-09-01,0001863105,prices
base__confidence_10_40__cap_1.00x__50bps,2023-11-03,0001694028,LBRT
base__confidence_10_40__cap_1.00x__50bps,2023-12-01,0000807863,MITK
base__confidence_10_40__cap_1.00x__50bps,2023-12-01,0001045810,NVDA
base__confidence_10_40__cap_1.00x__50bps,2023-12-01,0001694028,LBRT
base__confidence_10_40__cap_1.00x__50bps,2024-02-02,0000936395,CIEN
base__confidence_10_40__cap_1.00x__50bps,2024-02-02,0001045810,NVDA
base__confidence_10_40__cap_1.00x__50bps,2024-03-01,0000936395,CIEN
base__confidence_10_40__cap_1.00x__50bps,2024-03-01,0001045810,NVDA
base__confidence_10_40__cap_1.00x__50bps,2024-05-03,0000788965,HNRG
base__confidence_10_40__cap_1.00x__50bps,2024-05-03,0000909494,TCX
base__confidence_10_40__cap_1.00x__50bps,2024-05-03,0001045810,NVDA
base__confidence_10_40__cap_1.00x__50bps,2024-05-03,0001680247,PUMP
base__confidence_10_40__cap_1.00x__50bps,2024-06-07,0000788965,HNRG
base__confidence_10_40__cap_1.00x__50bps,2024-06-07,0001045810,NVDA
base__confidence_10_40__cap_1.00x__50bps,2024-08-02,0000004447,prices
base__confidence_10_40__cap_1.00x__50bps,2024-08-02,0000045012,HAL
base__confidence_10_40__cap_1.00x__50bps,2024-09-06,0001162194,LAB
base__confidence_10_40__cap_1.00x__50bps,2024-11-01,0001045810,NVDA
base__confidence_10_40__cap_1.00x__50bps,2024-11-01,0001162194,LAB
base__confidence_10_40__cap_1.00x__50bps,2024-11-01,0001562088,DUOL
base__confidence_10_40__cap_1.00x__50bps,2024-12-06,0001507605,MARA
base__confidence_10_40__cap_1.00x__50bps,2024-12-06,0001562088,DUOL
base__confidence_10_40__cap_1.00x__50bps,2025-02-07,0000889900,PTEN
base__confidence_10_40__cap_1.00x__50bps,2025-02-07,0001562088,DUOL
base__confidence_10_40__cap_1.00x__50bps,2025-03-07,0000889900,PTEN
base__confidence_10_40__cap_1.00x__50bps,2025-03-07,0001658566,PR
base__confidence_10_40__cap_1.00x__50bps,2025-05-02,0001562088,DUOL
base__confidence_10_40__cap_1.00x__50bps,2025-06-06,0001045810,NVDA
base__confidence_10_40__cap_1.00x__50bps,2025-06-06,0001562088,DUOL
base__confidence_10_40__cap_1.00x__50bps,2025-08-01,0001511737,UI
base__confidence_10_40__cap_1.00x__50bps,2025-08-01,0001751008,APP
base__confidence_10_40__cap_1.00x__50bps,2025-09-05,0001511737,UI
base__confidence_10_40__cap_1.00x__50bps,2025-09-05,0001751008,APP
base__confidence_10_40__cap_1.00x__50bps,2025-11-07,0000033213,EQT
base__confidence_10_40__cap_1.00x__50bps,2025-11-07,0000723125,MU
base__confidence_10_40__cap_1.00x__50bps,2025-11-07,0001321655,PLTR
base__confidence_10_40__cap_1.00x__50bps,2025-12-05,0000033213,EQT
base__confidence_10_40__cap_1.00x__50bps,2025-12-05,0000723125,MU
base__confidence_10_40__cap_1.00x__50bps,2025-12-05,0001321655,PLTR
base__confidence_10_40__cap_1.00x__50bps,2026-02-06,0000723125,MU
base__confidence_10_40__cap_1.00x__50bps,2026-02-06,0000751978,VICR
base__confidence_10_40__cap_1.00x__50bps,2026-02-06,0000912093,VIAV
base__confidence_10_40__cap_1.00x__50bps,2026-03-06,0000723125,MU
base__confidence_10_40__cap_1.00x__50bps,2026-03-06,0000751978,VICR
base__confidence_10_40__cap_1.00x__50bps,2026-03-06,0000912093,VIAV
base__confidence_10_40__cap_1.00x__50bps,2026-05-01,0000723125,MU
base__confidence_10_40__cap_1.00x__50bps,2026-05-01,0000751978,VICR
base__confidence_10_40__cap_1.00x__50bps,2026-06-05,0000723125,MU
base__confidence_10_40__cap_1.00x__50bps,2026-06-05,0000751978,VICR
base__confidence_10_40__cap_1.00x__50bps,2026-07-03,0000723125,MU
base__confidence_10_40__cap_1.00x__50bps,2026-07-03,0000751978,VICR
base__confidence_10_40__cap_1.00x__50bps,2026-07-03,0001713445,RDDT
base__confidence_10_40__cap_1.00x__50bps,2026-08-07,0000723125,MU
base__confidence_10_40__cap_1.00x__50bps,2026-08-07,0001321655,PLTR
base__confidence_10_40__cap_1.50x__50bps,2024-03-01,0001045810,NVDA
base__confidence_10_40__cap_1.50x__50bps,2026-06-05,0000723125,MU
base__confidence_10_40__cap_1.50x__50bps,2026-07-03,0000723125,MU
base__confidence_10_40__cap_1.50x__50bps,2026-08-07,0000723125,MU
base__fixed_20__cap_1.00x__50bps,2023-02-03,0001561550,DDOG
base__fixed_20__cap_1.00x__50bps,2023-02-03,0001743725,GDYN
base__fixed_20__cap_1.00x__50bps,2023-03-03,0000858470,prices
base__fixed_20__cap_1.00x__50bps,2023-03-03,0001561550,DDOG
base__fixed_20__cap_1.00x__50bps,2023-05-05,0000858470,prices
base__fixed_20__cap_1.00x__50bps,2023-05-05,0001561550,DDOG
base__fixed_20__cap_1.00x__50bps,2023-06-02,0001561550,DDOG
base__fixed_20__cap_1.00x__50bps,2023-08-04,0001035002,VLO
base__fixed_20__cap_1.00x__50bps,2023-08-04,0001280452,MPWR
base__fixed_20__cap_1.00x__50bps,2023-09-01,0000896429,prices
base__fixed_20__cap_1.00x__50bps,2023-09-01,0001035002,VLO
base__fixed_20__cap_1.00x__50bps,2023-09-01,0001280452,MPWR
base__fixed_20__cap_1.00x__50bps,2023-09-01,0001863105,prices
base__fixed_20__cap_1.00x__50bps,2023-11-03,0001694028,LBRT
base__fixed_20__cap_1.00x__50bps,2023-12-01,0000807863,MITK
base__fixed_20__cap_1.00x__50bps,2023-12-01,0001045810,NVDA
base__fixed_20__cap_1.00x__50bps,2023-12-01,0001694028,LBRT
base__fixed_20__cap_1.00x__50bps,2024-02-02,0000936395,CIEN
base__fixed_20__cap_1.00x__50bps,2024-02-02,0001045810,NVDA
base__fixed_20__cap_1.00x__50bps,2024-03-01,0000936395,CIEN
base__fixed_20__cap_1.00x__50bps,2024-03-01,0001045810,NVDA
base__fixed_20__cap_1.00x__50bps,2024-05-03,0000788965,HNRG
base__fixed_20__cap_1.00x__50bps,2024-05-03,0000909494,TCX
base__fixed_20__cap_1.00x__50bps,2024-05-03,0001045810,NVDA
base__fixed_20__cap_1.00x__50bps,2024-05-03,0001680247,PUMP
base__fixed_20__cap_1.00x__50bps,2024-06-07,0000788965,HNRG
base__fixed_20__cap_1.00x__50bps,2024-06-07,0001045810,NVDA
base__fixed_20__cap_1.00x__50bps,2024-08-02,0000004447,prices
base__fixed_20__cap_1.00x__50bps,2024-08-02,0000045012,HAL
base__fixed_20__cap_1.00x__50bps,2024-09-06,0001162194,LAB
base__fixed_20__cap_1.00x__50bps,2024-11-01,0001045810,NVDA
base__fixed_20__cap_1.00x__50bps,2024-11-01,0001162194,LAB
base__fixed_20__cap_1.00x__50bps,2024-11-01,0001562088,DUOL
base__fixed_20__cap_1.00x__50bps,2024-12-06,0001507605,MARA
base__fixed_20__cap_1.00x__50bps,2024-12-06,0001562088,DUOL
base__fixed_20__cap_1.00x__50bps,2025-02-07,0000889900,PTEN
base__fixed_20__cap_1.00x__50bps,2025-02-07,0001562088,DUOL
base__fixed_20__cap_1.00x__50bps,2025-03-07,0000889900,PTEN
base__fixed_20__cap_1.00x__50bps,2025-03-07,0001658566,PR
base__fixed_20__cap_1.00x__50bps,2025-05-02,0001562088,DUOL
base__fixed_20__cap_1.00x__50bps,2025-06-06,0001045810,NVDA
base__fixed_20__cap_1.00x__50bps,2025-06-06,0001562088,DUOL
base__fixed_20__cap_1.00x__50bps,2025-08-01,0001511737,UI
base__fixed_20__cap_1.00x__50bps,2025-08-01,0001751008,APP
base__fixed_20__cap_1.00x__50bps,2025-09-05,0001511737,UI
base__fixed_20__cap_1.00x__50bps,2025-09-05,0001751008,APP
base__fixed_20__cap_1.00x__50bps,2025-11-07,0000033213,EQT
base__fixed_20__cap_1.00x__50bps,2025-11-07,0000723125,MU
base__fixed_20__cap_1.00x__50bps,2025-11-07,0001321655,PLTR
base__fixed_20__cap_1.00x__50bps,2025-12-05,0000033213,EQT
base__fixed_20__cap_1.00x__50bps,2025-12-05,0000723125,MU
base__fixed_20__cap_1.00x__50bps,2025-12-05,0001321655,PLTR
base__fixed_20__cap_1.00x__50bps,2026-02-06,0000723125,MU
base__fixed_20__cap_1.00x__50bps,2026-02-06,0000751978,VICR
base__fixed_20__cap_1.00x__50bps,2026-02-06,0000912093,VIAV
base__fixed_20__cap_1.00x__50bps,2026-03-06,0000723125,MU
base__fixed_20__cap_1.00x__50bps,2026-03-06,0000751978,VICR
base__fixed_20__cap_1.00x__50bps,2026-03-06,0000912093,VIAV
base__fixed_20__cap_1.00x__50bps,2026-05-01,0000723125,MU
base__fixed_20__cap_1.00x__50bps,2026-05-01,0000751978,VICR
base__fixed_20__cap_1.00x__50bps,2026-06-05,0000723125,MU
base__fixed_20__cap_1.00x__50bps,2026-06-05,0000751978,VICR
base__fixed_20__cap_1.00x__50bps,2026-07-03,0000723125,MU
base__fixed_20__cap_1.00x__50bps,2026-07-03,0000751978,VICR
base__fixed_20__cap_1.00x__50bps,2026-07-03,0001713445,RDDT
base__fixed_20__cap_1.00x__50bps,2026-08-07,0000723125,MU
base__fixed_20__cap_1.00x__50bps,2026-08-07,0001321655,PLTR
adverse__confidence_10_40__cap_1.00x__50bps,2023-01-06,0000858470,prices
adverse__confidence_10_40__cap_1.00x__50bps,2023-01-06,0001463101,ENPH
adverse__confidence_10_40__cap_1.00x__50bps,2023-01-06,0001561550,DDOG
adverse__confidence_10_40__cap_1.00x__50bps,2023-01-06,0001743725,GDYN
adverse__confidence_10_40__cap_1.00x__50bps,2023-02-03,0000858470,prices
adverse__confidence_10_40__cap_1.00x__50bps,2023-02-03,0001463101,ENPH
adverse__confidence_10_40__cap_1.00x__50bps,2023-02-03,0001561550,DDOG
adverse__confidence_10_40__cap_1.00x__50bps,2023-02-03,0001743725,GDYN
adverse__confidence_10_40__cap_1.00x__50bps,2023-03-03,0000858470,prices
adverse__confidence_10_40__cap_1.00x__50bps,2023-03-03,0001463101,ENPH
adverse__confidence_10_40__cap_1.00x__50bps,2023-03-03,0001561550,DDOG
adverse__confidence_10_40__cap_1.00x__50bps,2023-03-03,0001743725,GDYN
adverse__confidence_10_40__cap_1.00x__50bps,2023-04-07,0000858470,prices
adverse__confidence_10_40__cap_1.00x__50bps,2023-04-07,0001463101,ENPH
adverse__confidence_10_40__cap_1.00x__50bps,2023-04-07,0001561550,DDOG
adverse__confidence_10_40__cap_1.00x__50bps,2023-04-07,0001743725,GDYN
adverse__confidence_10_40__cap_1.00x__50bps,2023-05-05,0000858470,prices
adverse__confidence_10_40__cap_1.00x__50bps,2023-05-05,0001463101,ENPH
adverse__confidence_10_40__cap_1.00x__50bps,2023-05-05,0001561550,DDOG
adverse__confidence_10_40__cap_1.00x__50bps,2023-05-05,0001743725,GDYN
adverse__confidence_10_40__cap_1.00x__50bps,2023-06-02,0000858470,prices
adverse__confidence_10_40__cap_1.00x__50bps,2023-06-02,0001463101,ENPH
adverse__confidence_10_40__cap_1.00x__50bps,2023-06-02,0001561550,DDOG
adverse__confidence_10_40__cap_1.00x__50bps,2023-06-02,0001743725,GDYN
adverse__confidence_10_40__cap_1.00x__50bps,2023-08-04,0001035002,VLO
adverse__confidence_10_40__cap_1.00x__50bps,2023-08-04,0001280452,MPWR
adverse__confidence_10_40__cap_1.00x__50bps,2023-09-01,0000896429,prices
adverse__confidence_10_40__cap_1.00x__50bps,2023-09-01,0001035002,VLO
adverse__confidence_10_40__cap_1.00x__50bps,2023-09-01,0001280452,MPWR
adverse__confidence_10_40__cap_1.00x__50bps,2023-09-01,0001863105,prices
adverse__confidence_10_40__cap_1.00x__50bps,2023-11-03,0001694028,LBRT
adverse__confidence_10_40__cap_1.00x__50bps,2023-12-01,0000807863,MITK
adverse__confidence_10_40__cap_1.00x__50bps,2023-12-01,0001045810,NVDA
adverse__confidence_10_40__cap_1.00x__50bps,2023-12-01,0001694028,LBRT
adverse__confidence_10_40__cap_1.00x__50bps,2024-02-02,0000936395,CIEN
adverse__confidence_10_40__cap_1.00x__50bps,2024-02-02,0001045810,NVDA
adverse__confidence_10_40__cap_1.00x__50bps,2024-03-01,0000936395,CIEN
adverse__confidence_10_40__cap_1.00x__50bps,2024-03-01,0001045810,NVDA
adverse__confidence_10_40__cap_1.00x__50bps,2024-05-03,0000788965,HNRG
adverse__confidence_10_40__cap_1.00x__50bps,2024-05-03,0000909494,TCX
adverse__confidence_10_40__cap_1.00x__50bps,2024-05-03,0001045810,NVDA
adverse__confidence_10_40__cap_1.00x__50bps,2024-05-03,0001680247,PUMP
adverse__confidence_10_40__cap_1.00x__50bps,2024-06-07,0000788965,HNRG
adverse__confidence_10_40__cap_1.00x__50bps,2024-06-07,0001045810,NVDA
adverse__confidence_10_40__cap_1.00x__50bps,2024-08-02,0000004447,prices
adverse__confidence_10_40__cap_1.00x__50bps,2024-08-02,0000045012,HAL
adverse__confidence_10_40__cap_1.00x__50bps,2024-09-06,0001162194,LAB
adverse__confidence_10_40__cap_1.00x__50bps,2024-11-01,0001045810,NVDA
adverse__confidence_10_40__cap_1.00x__50bps,2024-11-01,0001162194,LAB
adverse__confidence_10_40__cap_1.00x__50bps,2024-11-01,0001562088,DUOL
adverse__confidence_10_40__cap_1.00x__50bps,2024-12-06,0001507605,MARA
adverse__confidence_10_40__cap_1.00x__50bps,2024-12-06,0001562088,DUOL
adverse__confidence_10_40__cap_1.00x__50bps,2025-02-07,0000889900,PTEN
adverse__confidence_10_40__cap_1.00x__50bps,2025-02-07,0001562088,DUOL
