cik10,company_name_as_filed,sector,current_tickers,current_exchanges,has_current_sec_ticker,identity_status,candidate_symbols,symbol_count,symbol_source,collision_flag,single_symbol_usable_for_price_probe
0000023194,COMSTOCK RESOURCES INC,energy,CRK,NYSE,True,current_ticker_available,CRK,1,current_sec_mapping,False,True
0000033213,EQT CORP,energy,EQT,NYSE,True,current_ticker_available,EQT,1,current_sec_mapping,False,True
0000045012,HALLIBURTON CO,energy,HAL,NYSE,True,current_ticker_available,HAL,1,current_sec_mapping,False,True
0000046765,"HELMERICH & PAYNE, INC.",energy,HP,NYSE,True,current_ticker_available,HP,1,current_sec_mapping,False,True
0000049938,IMPERIAL OIL LTD,energy,IMO,NYSE,True,current_ticker_available,IMO,1,current_sec_mapping,False,True
0000073756,OCEANEERING INTERNATIONAL INC,energy,OII,NYSE,True,current_ticker_available,OII,1,current_sec_mapping,False,True
0000087347,SLB LIMITED/NV,energy,SLB,NYSE,True,current_ticker_available,SLB,1,current_sec_mapping,False,True
0000093410,CHEVRON CORP,energy,CVX,NYSE,True,current_ticker_available,CVX,1,current_sec_mapping,False,True
0000101594,US ENERGY CORP,energy,BSIN,Nasdaq,True,current_ticker_available,BSIN,1,current_sec_mapping,False,True
0000314808,VALARIS LTD,energy,VAL|VAL-WT,NYSE,True,current_ticker_available,VAL|VAL-WT,2,current_sec_mapping,False,False
0000315852,RANGE RESOURCES CORP,energy,RRC,NYSE,True,current_ticker_available,RRC,1,current_sec_mapping,False,True
0000717423,MURPHY OIL CORP,energy,MUR,NYSE,True,current_ticker_available,MUR,1,current_sec_mapping,False,True
0000742278,RPC INC,energy,RES,NYSE,True,current_ticker_available,RES,1,current_sec_mapping,False,True
0000788965,HALLADOR ENERGY CO,energy,HNRG,Nasdaq,True,current_ticker_available,HNRG,1,current_sec_mapping,False,True
0000789460,WORLD KINECT CORP,energy,WKC,NYSE,True,current_ticker_available,WKC,1,current_sec_mapping,False,True
0000789933,NACCO INDUSTRIES INC,energy,NC,NYSE,True,current_ticker_available,NC,1,current_sec_mapping,False,True
0000797468,OCCIDENTAL PETROLEUM CORP /DE/,energy,OXY|OXY-WT,NYSE,True,current_ticker_available,OXY|OXY-WT,2,current_sec_mapping,False,False
0000799165,DAWSON GEOPHYSICAL CO,energy,DWSN,Nasdaq,True,current_ticker_available,DWSN,1,current_sec_mapping,True,False
0000813762,ICAHN ENTERPRISES L.P.,energy,IEP,Nasdaq,True,current_ticker_available,IEP,1,current_sec_mapping,False,True
0000821189,EOG RESOURCES INC,energy,EOG,NYSE,True,current_ticker_available,EOG,1,current_sec_mapping,False,True
