candidate,base_candidate,signal_family,breadth,construction,exposure_rule,full_cagr,full_sharpe,full_drawdown,recent_cagr,recent_sharpe,recent_drawdown,two_year_cagr,two_year_sharpe,two_year_drawdown,common_endpoint_recent_cagr,severe_200bps_recent_cagr,worst_delay_recent_cagr,adverse_missing_recent_cagr,worst_five_issuer_recent_cagr,worst_sector_removed_recent_cagr,maximum_positive_issuer_share,removed_issuers,worst_positive_sector,rolling_26w_outperformance_share,rolling_26w_windows,rolling_52w_outperformance_share,rolling_104w_outperformance_share,raw_bootstrap_probability,familywise_bootstrap_probability,deflated_sharpe_probability,average_gross_exposure,maximum_gross_exposure,annualized_turnover,probability_of_backtest_overfitting,passes_historical_gates
quality_momentum_interaction__n5__rank_inverse_volatility__fixed_1.50x,quality_momentum_interaction__n5__rank_inverse_volatility,quality_momentum_interaction,5,rank_inverse_volatility,fixed_1.50x,0.4178039074476163,0.8612075482143656,-0.44612784352336377,1.2333346913192766,1.5904687725124187,-0.43662930372823616,0.9509573477813718,1.2215921051479735,-0.44612784352336354,0.9207594324058523,0.6876719982478519,0.2399229564587282,-1.0,-0.10314720281127654,0.30593241441090235,0.34691732793266716,0000723125|0001836833|0001288403|0001418819|0001751008,technology,0.47058823529411764,170,0.4444444444444444,0.9021739130434783,0.7276,0.0,0.24437840091417048,1.5,1.5,9.723453106644772,0.35714285714285715,False
quality_momentum_interaction__n5__diagonal_shrinkage_signal_optimizer__fixed_1.50x,quality_momentum_interaction__n5__diagonal_shrinkage_signal_optimizer,quality_momentum_interaction,5,diagonal_shrinkage_signal_optimizer,fixed_1.50x,0.37337458369799337,0.8092730188310044,-0.45930726029161517,1.170236432765309,1.5237403220471013,-0.45930726029161517,0.8128839700425148,1.1287149493358941,-0.45930726029161517,0.8278946823995215,0.6204777972248976,0.10869847332912541,-1.0,-0.08482796333271592,0.3528175899517183,0.3618153251583977,0000723125|0001288403|0001836833|0001418819|0001783879,technology,0.4294117647058823,170,0.4097222222222222,0.8478260869565217,0.685,0.0,0.20771888835739855,1.5,1.5,10.074530053495433,0.35714285714285715,False
quality_momentum_interaction__n5__rank_inverse_volatility__fixed_1.25x,quality_momentum_interaction__n5__rank_inverse_volatility,quality_momentum_interaction,5,rank_inverse_volatility,fixed_1.25x,0.3855499412318164,0.8882076164349134,-0.3786308239716969,1.0323499704382728,1.6159428210313658,-0.37237139430336275,0.8338042965020225,1.242252314076063,-0.3786308239716971,0.7937606016942227,0.6111625990849887,0.24234559263341704,-1.0,-0.06795817364838053,0.2761869174819549,0.34691732793266716,0000723125|0001836833|0001288403|0001418819|0001751008,technology,0.45294117647058824,170,0.4097222222222222,0.9021739130434783,0.6558,0.0,0.2641116354987375,1.25,1.25,9.723453106644772,0.35714285714285715,False
quality_momentum_interaction__n5__diagonal_shrinkage_signal_optimizer__fixed_1.25x,quality_momentum_interaction__n5__diagonal_shrinkage_signal_optimizer,quality_momentum_interaction,5,diagonal_shrinkage_signal_optimizer,fixed_1.25x,0.34916143810410616,0.8363745883329685,-0.3932223813380554,0.9863901942791211,1.5486725380840913,-0.3932223813380554,0.7243616142918161,1.149493023454711,-0.39322238133805554,0.7235698597879243,0.5596064614627005,0.1326008765451856,-1.0,-0.051078995683713435,0.31485822483876347,0.36181532515839765,0000723125|0001288403|0001836833|0001418819|0001783879,technology,0.4235294117647059,170,0.3888888888888889,0.8695652173913043,0.6098,0.0,0.2256533894060806,1.25,1.25,10.074530053495433,0.35714285714285715,False
quality_momentum_interaction__n10__rank_inverse_volatility__fixed_1.50x,quality_momentum_interaction__n10__rank_inverse_volatility,quality_momentum_interaction,10,rank_inverse_volatility,fixed_1.50x,0.2726666028271205,0.7434967703843501,-0.40296412750217225,0.8556672697598144,1.519310937415891,-0.23938756651165138,0.6195232477188144,1.092806757100492,-0.4029641275021727,0.6210962356722909,0.4355679427245296,0.6257559272413176,-1.0,-0.05126646216175057,0.06528900683295435,0.1534990563192855,0000723125|0001836833|0001288403|0000936395|0000912093,technology,0.40588235294117647,170,0.3541666666666667,0.6195652173913043,0.4854,0.0,0.15740133300371792,1.5,1.5,9.409698205962847,0.35714285714285715,False
quality_momentum_interaction__n5__rank_inverse_volatility__fixed_1.00x,quality_momentum_interaction__n5__rank_inverse_volatility,quality_momentum_interaction,5,rank_inverse_volatility,fixed_1.00x,0.3426666414746862,0.9287078370758302,-0.30648297942736513,0.830419146410547,1.6541538938097855,-0.3029701426839243,0.6998552765383277,1.2732426274681972,-0.3064829794273656,0.6573789684031182,0.5213777169981426,0.23255865016769683,-0.9208747736236886,-0.03408800190763084,0.24311221242945513,0.3469173279326672,0000723125|0001836833|0001288403|0001418819|0001751008,technology,0.4470588235294118,170,0.3888888888888889,0.9130434782608695,0.5422,0.0,0.29528742933612656,1.0,1.0,9.723453106644772,0.35714285714285715,False
quality_momentum_interaction__n5__diagonal_shrinkage_signal_optimizer__fixed_1.00x,quality_momentum_interaction__n5__diagonal_shrinkage_signal_optimizer,quality_momentum_interaction,5,diagonal_shrinkage_signal_optimizer,fixed_1.00x,0.314278975353006,0.8770270574111687,-0.3213239666540142,0.7986980399093566,1.5860708621395758,-0.32132396665401397,0.617685171569853,1.1806601346329355,-0.32132396665401397,0.6070610395758489,0.48389453429886764,0.14525617043775974,-0.9999999937014533,-0.019248232566003387,0.27362211162091565,0.36181532515839765,0000723125|0001288403|0001836833|0001418819|0001783879,technology,0.40588235294117647,170,0.3958333333333333,0.8586956521739131,0.495,0.0,0.2542524427076024,1.0,1.0,10.074530053495433,0.35714285714285715,False
quality_momentum_interaction__n10__rank_inverse_volatility__fixed_1.25x,quality_momentum_interaction__n10__rank_inverse_volatility,quality_momentum_interaction,10,rank_inverse_volatility,fixed_1.25x,0.2563275819881392,0.7783944528290091,-0.3410725852674873,0.7242770287443572,1.5522886383626153,-0.20181506001301397,0.5499467326679879,1.1195124498657918,-0.3410725852674873,0.5415326715143554,0.39267041090593,0.543395962891762,-1.0,-0.019982538456819965,0.07311157068000051,0.15349905631928554,0000723125|0001836833|0001288403|0000936395|0000912093,technology,0.4,170,0.3611111111111111,0.5978260869565217,0.3852,0.0,0.1758464109067994,1.25,1.25,9.409698205962847,0.35714285714285715,False
quality_momentum_interaction__n10__diagonal_shrinkage_signal_optimizer__fixed_1.50x,quality_momentum_interaction__n10__diagonal_shrinkage_signal_optimizer,quality_momentum_interaction,10,diagonal_shrinkage_signal_optimizer,fixed_1.50x,0.23691924022286792,0.6570655191425163,-0.3966537530832043,0.6597373366488217,1.2335061109770151,-0.3046096655620384,0.5604878235329802,0.9841952918327376,-0.3966537530832044,0.39874301350597663,0.23577998498453567,0.5891430100186317,-1.0,-0.18333741140242354,0.09089230420106897,0.23635832457322853,0000723125|0001288403|0000936395|0000912093|0001418819,technology,0.4294117647058823,170,0.3541666666666667,0.532608695652174,0.4602,0.0,0.12667870598031858,1.5,1.5,10.332934045158783,0.35714285714285715,False
quality_momentum_interaction__n5__rank_inverse_volatility__vol30_drawdown_guard,quality_momentum_interaction__n5__rank_inverse_volatility,quality_momentum_interaction,5,rank_inverse_volatility,vol30_drawdown_guard,0.28706264994603825,0.8982985703584521,-0.25009702672705114,0.5989329945123423,1.6487966115017738,-0.23525034230352881,0.5645438691390117,1.2732862223582153,-0.23525034230352881,0.48476975235674935,0.3925910012704714,0.18538639165108384,-0.5469979900680948,-0.023435917253443184,0.1817000869182488,0.34478867569396016,0000723125|0001836833|0001288403|0001418819|0001751008,technology,0.4117647058823529,170,0.3958333333333333,0.8260869565217391,0.4044,0.0,0.27643323950693593,0.930613172789356,1.5,9.723453106644772,0.35714285714285715,False
quality_momentum_interaction__n10__rank_inverse_volatility__fixed_1.00x,quality_momentum_interaction__n10__rank_inverse_volatility,quality_momentum_interaction,10,rank_inverse_volatility,fixed_1.00x,0.233453659336045,0.8307411784103688,-0.275320431957607,0.5917992285355056,1.6017551897827016,-0.16302981529229998,0.4699435063194579,1.1595709890137418,-0.275320431957607,0.45600588855296986,0.3420572828667121,0.45602642909097457,-0.8538351264466528,0.00813429854466241,0.07904938828370112,0.15349905631928548,0000723125|0001836833|0001288403|0000936395|0000912093,technology,0.38823529411764707,170,0.3611111111111111,0.45652173913043476,0.2558,0.0,0.2060688007137621,1.0,1.0,9.409698205962847,0.35714285714285715,False
quality_momentum_interaction__n5__diagonal_shrinkage_signal_optimizer__vol30_drawdown_guard,quality_momentum_interaction__n5__diagonal_shrinkage_signal_optimizer,quality_momentum_interaction,5,diagonal_shrinkage_signal_optimizer,vol30_drawdown_guard,0.2658494866039609,0.8573976404534784,-0.24876101677865858,0.5785628283748845,1.5818142843008594,-0.24870521995662098,0.4990180885435054,1.185931620917929,-0.2487052199566212,0.45154680131365366,0.36822461058726685,0.11654716569681223,-0.6053592886408429,-0.009558874594246536,0.20530062144371164,0.3600428160675152,0000723125|0001288403|0001836833|0001418819|0001783879,technology,0.4,170,0.3888888888888889,0.6847826086956522,0.3568,0.0,0.2402987750821331,0.9251169884044076,1.5,10.074530053495433,0.35714285714285715,False
quality_momentum_interaction__n10__diagonal_shrinkage_signal_optimizer__fixed_1.25x,quality_momentum_interaction__n10__diagonal_shrinkage_signal_optimizer,quality_momentum_interaction,10,diagonal_shrinkage_signal_optimizer,fixed_1.25x,0.22881079349557654,0.6892322878763643,-0.33641556128989536,0.5736734412370486,1.2644294394334283,-0.2528272284573311,0.5066884043909752,1.0087230147425246,-0.3364155612898957,0.36570950257945434,0.2320235476594128,0.5177894355205213,-1.0,-0.1351628502521648,0.0948653220711071,0.2363583245732285,0000723125|0001288403|0000936395|0000912093|0001418819,technology,0.4294117647058823,170,0.3541666666666667,0.4782608695652174,0.3774,0.0,0.14230413619537002,1.25,1.25,10.332934045158783,0.35714285714285715,False
multi_horizon_residual_momentum__n10__diagonal_shrinkage_signal_optimizer__fixed_1.50x,multi_horizon_residual_momentum__n10__diagonal_shrinkage_signal_optimizer,multi_horizon_residual_momentum,10,diagonal_shrinkage_signal_optimizer,fixed_1.50x,-0.07550846200908212,0.18274452057934906,-0.7068236724673065,0.5181095500012851,0.8830770038725153,-0.49947555654436226,-0.06548247913825955,0.27362869576842364,-0.6205858567730453,0.6468364867249288,0.05506821761013447,0.27391725786752974,-0.7923726339147066,-0.5497870060627452,-0.30481004512601517,0.3879856062405581,0001051627|0001633978|0001851194|0001630805|0001030894,technology,0.2235294117647059,170,0.0763888888888889,0.0,0.2128,0.0,0.015397623482717995,1.5,1.5,11.634337953871276,0.35714285714285715,False
multi_horizon_residual_momentum__n10__diagonal_shrinkage_signal_optimizer__fixed_1.25x,multi_horizon_residual_momentum__n10__diagonal_shrinkage_signal_optimizer,multi_horizon_residual_momentum,10,diagonal_shrinkage_signal_optimizer,fixed_1.25x,-0.024961283885086227,0.20813403146111112,-0.6143339434265104,0.5080986721939014,0.9009537881755229,-0.4318371142228292,-0.0054233767762775775,0.2947273005677792,-0.5295605982330098,0.6132894711785974,0.11632343458526795,0.2990431129633293,-0.5681667378556841,-0.464327734543575,-0.22741895681300484,0.38798560624055806,0001051627|0001633978|0001851194|0001630805|0001030894,technology,0.2235294117647059,170,0.05555555555555555,0.0,0.1662,0.0,0.017444782203207543,1.25,1.25,11.634337953871276,0.35714285714285715,False
quality_momentum_interaction__n10__diagonal_shrinkage_signal_optimizer__fixed_1.00x,quality_momentum_interaction__n10__diagonal_shrinkage_signal_optimizer,quality_momentum_interaction,10,diagonal_shrinkage_signal_optimizer,fixed_1.00x,0.2134679229800125,0.7374825956175469,-0.272273588972925,0.48153494467361635,1.3108144321180473,-0.19937555152388553,0.44035588444388907,1.045514599107205,-0.2722735889729253,0.32357224361170855,0.21901732929146012,0.4393472314321951,-0.999999983093373,-0.08789058093791358,0.09676088787209647,0.23635832457322842,0000723125|0001288403|0000936395|0000912093|0001418819,technology,0.3941176470588235,170,0.3611111111111111,0.3804347826086957,0.27,0.0,0.1682849162976581,1.0,1.0,10.332934045158783,0.35714285714285715,False
multi_horizon_residual_momentum__n10__rank_inverse_volatility__fixed_1.50x,multi_horizon_residual_momentum__n10__rank_inverse_volatility,multi_horizon_residual_momentum,10,rank_inverse_volatility,fixed_1.50x,0.00047159030426335846,0.27230808659413325,-0.6042762197795106,0.47779756637101833,0.8838887879752335,-0.4585268447808756,0.0365076739335799,0.3809501234659472,-0.5318976321949866,0.7286037883303293,0.04435157973466408,0.49451950265637357,-0.7974962189432686,-0.49701839265745373,-0.28202793994920683,0.28537951427122693,0001051627|0001633978|0001630805|0001836833|0001851194,technology,0.22941176470588234,170,0.13194444444444445,0.0,0.2254,0.0,0.023487924948607734,1.5,1.5,10.57527410895624,0.35714285714285715,False
trend_breakout_quality__n10__rank_inverse_volatility__fixed_1.50x,trend_breakout_quality__n10__rank_inverse_volatility,trend_breakout_quality,10,rank_inverse_volatility,fixed_1.50x,0.18746288687169055,0.6148220254784802,-0.4264831398882738,0.472904181993655,1.0488988353606894,-0.30718621245374245,0.4167176350796393,0.9229600097671595,-0.4264831398882738,0.3080841348633816,-0.0083006070620395,0.05804656009186915,-0.8182494061602981,-0.1882004280710362,-0.2703400012273831,0.12621316187678644,0000106040|0000723125|0000936395|0000912093|0000707549,technology,0.3411764705882353,170,0.3333333333333333,0.391304347826087,0.3236,0.0,0.09814006758996015,1.5,1.5,12.844045363060928,0.35714285714285715,False
multi_horizon_residual_momentum__n10__diagonal_shrinkage_signal_optimizer__fixed_1.00x,multi_horizon_residual_momentum__n10__diagonal_shrinkage_signal_optimizer,multi_horizon_residual_momentum,10,diagonal_shrinkage_signal_optimizer,fixed_1.00x,0.017428760825188405,0.24621834808390503,-0.5029676406742402,0.46933863442363943,0.927768964630033,-0.3579274205456674,0.04269902905913625,0.32637520776681206,-0.428457423171013,0.5502834287903509,0.15705359494480842,0.3000491134764609,-0.36294561420234794,-0.3697974167029663,-0.15227754083878553,0.38798560624055806,0001051627|0001633978|0001851194|0001630805|0001030894,technology,0.22941176470588234,170,0.034722222222222224,0.0,0.1204,0.0,0.02096098151993857,1.0,1.0,11.634337953871276,0.35714285714285715,False
multi_horizon_residual_momentum__n10__rank_inverse_volatility__fixed_1.25x,multi_horizon_residual_momentum__n10__rank_inverse_volatility,multi_horizon_residual_momentum,10,rank_inverse_volatility,fixed_1.25x,0.0352503745673618,0.30153985831379165,-0.5031940024931318,0.458083490989869,0.905019147640461,-0.3933358235070262,0.07620964858387413,0.4050984878556437,-0.44345097213922313,0.6608804149497742,0.09506137689832284,0.46245827364512593,-0.5822253711668943,-0.41406817453988254,-0.21119799095556657,0.28537951427122693,0001051627|0001633978|0001630805|0001836833|0001851194,technology,0.2235294117647059,170,0.09722222222222222,0.0,0.1764,0.0,0.02684931580854221,1.25,1.25,10.57527410895624,0.35714285714285715,False
