variant,window,cagr,sharpe,max_drawdown,weeks
unlevered_1.00x,full,0.3983196728772882,1.8390506803731623,-0.18685460226496164,193
unlevered_1.00x,trailing_52w,1.1260390009306636,3.1600787090860667,-0.11116225097772747,52
unlevered_1.00x,trailing_104w,0.6396186406740141,2.27920443682637,-0.18685460226496164,104
fixed_1.25x_5pct_published_reference,full,0.4927724277121879,1.7872179138155015,-0.23350524551091945,193
fixed_1.25x_5pct_published_reference,trailing_52w,1.5085821122127712,3.120075863125595,-0.13868614262902035,52
fixed_1.25x_5pct_published_reference,trailing_104w,0.8165923161758832,2.2356090623296243,-0.23350524551091945,104
fixed_1.25x_realistic_financing,full,0.4816969060920129,1.7561182538809053,-0.235413600985377,193
fixed_1.25x_realistic_financing,trailing_52w,1.49014787440349,3.096074155549312,-0.13945010233556354,52
fixed_1.25x_realistic_financing,trailing_104w,0.8031617989676156,2.2094518376315766,-0.23541360098537656,104
adaptive_1.00x_to_1.25x,full,0.4517124344565635,1.7586524076406085,-0.21262302330592286,193
adaptive_1.00x_to_1.25x,trailing_52w,1.4766217090391716,3.0883625189674984,-0.13862817669558414,52
adaptive_1.00x_to_1.25x,trailing_104w,0.772147249252271,2.253056688481505,-0.2090672648110775,104
adaptive_with_residual_risk_contribution_limit,full,0.4657928541059879,1.7861502106644813,-0.2120587165623008,188
adaptive_with_residual_risk_contribution_limit,trailing_52w,1.4776400108015002,3.09036428229583,-0.13862817669558458,52
adaptive_with_residual_risk_contribution_limit,trailing_104w,0.773524724245175,2.25578110346821,-0.20908734406238816,104
