decision_date,realization_date,gross_return,net_return,turnover,cost,wealth,drawdown
2005-01-07,2005-01-14,0.0,0.0,0.0,0.0,1.0,0.0
2005-01-14,2005-01-21,0.0,0.0,0.0,0.0,1.0,0.0
2005-01-21,2005-01-28,0.0,0.0,0.0,0.0,1.0,0.0
2005-01-28,2005-02-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-04,2005-02-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-11,2005-02-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-18,2005-02-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-25,2005-03-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-04,2005-03-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-11,2005-03-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-18,2005-03-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-25,2005-04-01,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-01,2005-04-08,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-08,2005-04-15,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-15,2005-04-22,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-22,2005-04-29,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-29,2005-05-06,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-06,2005-05-13,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-13,2005-05-20,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-20,2005-05-27,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-27,2005-06-03,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-03,2005-06-10,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-10,2005-06-17,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-17,2005-06-24,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-24,2005-07-01,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-01,2005-07-08,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-08,2005-07-15,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-15,2005-07-22,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-22,2005-07-29,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-29,2005-08-05,-0.01563281798067334,-0.016382817980673342,0.75,0.00075,0.9836171820193267,-0.016382817980673314
2005-08-05,2005-08-12,0.0034533002357709786,0.0034533002357709786,0.0,0.0,0.9870139074659025,-0.012986092534097549
2005-08-12,2005-08-19,0.0006140806620812955,0.0006140806620812955,0.0,0.0,0.9876200136196827,-0.012379986380317343
2005-08-19,2005-08-26,0.0025937661421824854,0.0025937661421824854,0.0,0.0,0.9901816689723512,-0.009818331027648841
2005-08-26,2005-09-02,0.01795887419456882,0.01745887419456882,0.5,0.0005,1.0074691261607076,0.0
2005-09-02,2005-09-09,0.011489487383617686,0.011489487383617686,0.0,0.0,1.0190444299751156,0.0
2005-09-09,2005-09-16,-0.0103355381689485,-0.0103355381689485,0.0,0.0,1.0085120573732533,-0.01033553816894861
2005-09-16,2005-09-23,-0.016364524762415483,-0.016364524762415483,0.0,0.0,0.9920082368371742,-0.026530926761065388
2005-09-23,2005-09-30,0.015725918050082804,0.015725918050082804,0.0,0.0,1.0076084770746827,-0.011222231891019785
2005-09-30,2005-10-07,-0.03775318972224595,-0.03800318972224595,0.25,0.00025,0.9693161409546702,-0.048798941005604335
2005-10-07,2005-10-14,-0.014843028166324074,-0.014843028166324074,0.0,0.0,0.9549285541724075,-0.06291764511609543
2005-10-14,2005-10-21,-0.0010739717960236983,-0.0010739717960236983,0.0,0.0,0.9539029878380086,-0.0639240451357922
2005-10-21,2005-10-28,0.006642109283588299,0.006642109283588299,0.0,0.0,0.96023891572917,-0.057706526345844944
2005-10-28,2005-11-04,0.023194091828411534,0.022944091828411534,0.25,0.00025,0.9822707255888744,-0.036086458357011186
2005-11-04,2005-11-11,0.019962842061471753,0.019962842061471753,0.0,0.0,1.0018796409454123,-0.01684400456427837
2005-11-11,2005-11-18,0.01334080518964914,0.01334080518964914,0.0,0.0,1.0152455220587406,-0.003727911958134822
2005-11-18,2005-11-25,0.013216791856976079,0.013216791856976079,0.0,0.0,1.0286638108075181,0.0
2005-11-25,2005-12-02,0.011448626338564166,0.011198626338564166,0.25,0.00025,1.040183432452755,0.0
2005-12-02,2005-12-09,0.01488102867640484,0.01488102867640484,0.0,0.0,1.0556624319398056,0.0
2005-12-09,2005-12-16,-0.0016871065248165174,-0.0016871065248165174,0.0,0.0,1.0538814169628763,-0.0016871065248165174
2005-12-16,2005-12-23,0.016202514991820294,0.016202514991820294,0.0,0.0,1.0709569464208182,0.0
2005-12-23,2005-12-30,0.0016050674395493023,0.0016050674395493023,0.0,0.0,1.0726759045446774,0.0
2005-12-30,2006-01-06,0.05027365438050757,0.05027365438050757,0.0,0.0,1.1266032422320549,0.0
2006-01-06,2006-01-13,0.006669512665430116,0.006669512665430116,0.0,0.0,1.1341171368250362,0.0
2006-01-13,2006-01-20,-0.02257284105454893,-0.02257284105454893,0.0,0.0,1.1085168909582446,-0.02257284105454893
2006-01-20,2006-01-27,0.04312453777089159,0.04312453777089159,0.0,0.0,1.1563211694920446,0.0
2006-01-27,2006-02-03,-0.009834717482793298,-0.009834717482793298,0.0,0.0,1.1449490774707172,-0.009834717482793298
2006-02-03,2006-02-10,-0.013020351870797642,-0.013020351870797642,0.0,0.0,1.1300414376079033,-0.022727017871415067
2006-02-10,2006-02-17,0.007913314698435423,0.007913314698435423,0.0,0.0,1.138983811125967,-0.014993549217553248
2006-02-17,2006-02-24,0.01471409069276558,0.01471409069276558,0.0,0.0,1.1557429222204663,-0.000500074967781039
2006-02-24,2006-03-03,-0.004851567070830953,-0.004851567070830953,0.0,0.0,1.1501357579166755,-0.005349215891365389
2006-03-03,2006-03-10,-0.008331300656027274,-0.008331300656027274,0.0,0.0,1.140553631122224,-0.01363595062152767
2006-03-10,2006-03-17,0.029741361923456444,0.029741361923456444,0.0,0.0,1.1744752494585426,0.0
2006-03-17,2006-03-24,-0.004994225115469458,-0.004994225115469458,0.0,0.0,1.1686096556701995,-0.004994225115469542
2006-03-24,2006-03-31,0.02138576112598317,0.02138576112598317,0.0,0.0,1.1936012626158798,0.0
2006-03-31,2006-04-07,0.005163306836409004,0.005163306836409004,0.0,0.0,1.1997641921750908,0.0
2006-04-07,2006-04-14,-0.007162474622243592,-0.007162474622243592,0.0,0.0,1.1911709115959601,-0.00716247462224362
2006-04-14,2006-04-21,0.043079482843310035,0.043079482843310035,0.0,0.0,1.2424859384455083,0.0
2006-04-21,2006-04-28,0.005924333319262065,0.005924333319262065,0.0,0.0,1.2498468392893556,0.0
2006-04-28,2006-05-05,0.03362466732493724,0.03362466732493724,0.0,0.0,1.2918725234675843,0.0
2006-05-05,2006-05-12,-0.01672897911180396,-0.01672897911180396,0.0,0.0,1.2702608150073817,-0.01672897911180382
2006-05-12,2006-05-19,-0.04437373785373011,-0.04437373785373011,0.0,0.0,1.2138945945963786,-0.060360389631866296
2006-05-19,2006-05-26,-0.005368544798115965,-0.005368544798115965,0.0,0.0,1.207377747085097,-0.06540488697421187
2006-05-26,2006-06-02,-0.006012492502205258,-0.006262492502205258,0.25,0.00025,1.1998165529966471,-0.0712577818621336
2006-06-02,2006-06-09,-0.07908397777559242,-0.07908397777559242,0.0,0.0,1.1049302873846725,-0.14470641080060298
2006-06-09,2006-06-16,-0.0069110213236067974,-0.0069110213236067974,0.0,0.0,1.097294090607458,-0.15061736303350426
2006-06-16,2006-06-23,0.00357399938020031,0.00357399938020031,0.0,0.0,1.1012158190071863,-0.1475816700154332
2006-06-23,2006-06-30,0.05660313320880306,0.05660313320880306,0.0,0.0,1.1635480847020914,-0.09933212173369121
2006-06-30,2006-07-07,-0.00017613781739164724,-0.00017613781739164724,0.0,0.0,1.1633431398820218,-0.09949076340796381
2006-07-07,2006-07-14,-0.018320236256904238,-0.018320236256904238,0.0,0.0,1.1420304187115342,-0.1159883053738544
2006-07-14,2006-07-21,-0.015781713148044163,-0.015781713148044163,0.0,0.0,1.124007222237088,-0.12993952435796063
2006-07-21,2006-07-28,0.05412422395010624,0.05412422395010624,0.0,0.0,1.1848432408549852,-0.08284817632417485
2006-07-28,2006-08-04,0.0013340091797321985,0.0013340091797321985,0.0,0.0,1.1864238326148295,-0.08162468737218309
2006-08-04,2006-08-11,-0.011689685892681823,-0.011689685892681823,0.0,0.0,1.1725549106759705,-0.0923602063083957
2006-08-11,2006-08-18,0.020046599378226837,0.020046599378226837,0.0,0.0,1.1960606492192642,-0.0741651149845236
2006-08-18,2006-08-25,-0.011631066494052517,-0.011631066494052517,0.0,0.0,1.1821491882772754,-0.08493356209465197
2006-08-25,2006-09-01,0.012616982567680013,0.012366982567680013,0.25,0.00025,1.1967688066810975,-0.07361695140880753
2006-09-01,2006-09-08,-0.012527048658210554,-0.012527048658210554,0.0,0.0,1.1817768256071748,-0.08522179693465093
2006-09-08,2006-09-15,-0.01184043451790634,-0.01184043451790634,0.0,0.0,1.1677840744887937,-0.09605316834645428
2006-09-15,2006-09-22,-0.0011987841677867095,-0.0011987841677867095,0.0,0.0,1.166384153428903,-0.09713680549676162
2006-09-22,2006-09-29,0.015202528646811708,0.015202528646811708,0.0,0.0,1.184116141934593,-0.0834110019181743
2006-09-29,2006-10-06,-0.000554856789451802,-0.000804856789451802,0.25,0.00025,1.1831630980182575,-0.08414872479641722
2006-10-06,2006-10-13,0.022271443616016573,0.022271443616016573,0.0,0.0,1.2095138482443226,-0.06375139476006375
2006-10-13,2006-10-20,0.0028565714288087962,0.0028565714288087962,0.0,0.0,1.2129689109459658,-0.0610769337440733
2006-10-20,2006-10-27,0.007660622736992806,0.007660622736992806,0.0,0.0,1.2222610081644238,-0.05388419835442626
2006-10-27,2006-11-03,0.009425497770762431,0.009425497770762431,0.0,0.0,1.2337814265721674,-0.04496658597513281
2006-11-03,2006-11-10,0.011880828069263716,0.011880828069263716,0.0,0.0,1.2484397715763222,-0.03361999818270145
2006-11-10,2006-11-17,0.0013338888757634115,0.0013338888757634115,0.0,0.0,1.2501050514996885,-0.032330954648517096
2006-11-17,2006-11-24,0.029603581910233823,0.029603581910233823,0.0,0.0,1.2871126387881566,-0.0036844848024566446
2006-11-24,2006-12-01,0.004292411762001291,0.004042411762001291,0.25,0.00025,1.2923156780582143,0.0
2006-12-01,2006-12-08,0.007831432406325028,0.007831432406325028,0.0,0.0,1.3024363609385614,0.0
2006-12-08,2006-12-15,0.0048339264718140484,0.0048339264718140484,0.0,0.0,1.3087322425415555,0.0
2006-12-15,2006-12-22,-0.008561580161634302,-0.008561580161634302,0.0,0.0,1.2975274265369205,-0.00856158016163433
2006-12-22,2006-12-29,0.015607026603703611,0.015607026603703611,0.0,0.0,1.3177779716019173,0.0
2006-12-29,2007-01-05,-0.027478330745381363,-0.027728330745381363,0.25,0.00025,1.2812381881563615,-0.027728330745381502
2007-01-05,2007-01-12,0.025281390403780968,0.025281390403780968,0.0,0.0,1.3136296709913755,-0.0031479510964196322
2007-01-12,2007-01-19,0.013915614832467726,0.013915614832467726,0.0,0.0,1.3319096355253928,0.0
2007-01-19,2007-01-26,0.008353596668605051,0.008353596668605051,0.0,0.0,1.3430358714196007,0.0
2007-01-26,2007-02-02,0.01975446874384945,0.01950446874384945,0.25,0.00025,1.369231072595573,0.0
2007-02-02,2007-02-09,0.000605536193881373,0.000605536193881373,0.0,0.0,1.3700601915678168,0.0
2007-02-09,2007-02-16,0.015184869279105034,0.015184869279105034,0.0,0.0,1.3908643764812796,0.0
2007-02-16,2007-02-23,-0.003249788722817032,-0.003249788722817032,0.0,0.0,1.3863443611156228,-0.003249788722817004
2007-02-23,2007-03-02,-0.060248567144228854,-0.060248567144228854,0.0,0.0,1.3028190997899252,-0.06330256075297469
2007-03-02,2007-03-09,0.020328872203370596,0.020328872203370596,0.0,0.0,1.3293039427736648,-0.04426055821729746
2007-03-09,2007-03-16,-0.01284915024285796,-0.01284915024285796,0.0,0.0,1.3122235166945426,-0.05654099789778855
2007-03-16,2007-03-23,0.04069512765809852,0.04069512765809852,0.0,0.0,1.3656246202223858,-0.018146813367056924
2007-03-23,2007-03-30,-0.006977438428048766,-0.006977438428048766,0.0,0.0,1.3560960585189568,-0.02499763352217166
2007-03-30,2007-04-06,0.018442658577614846,0.018442658577614846,0.0,0.0,1.3811060751246713,-0.007015997764854398
2007-04-06,2007-04-13,0.00924529029518567,0.00924529029518567,0.0,0.0,1.3938748017176434,0.0
2007-04-13,2007-04-20,0.01548634788408032,0.01548634788408032,0.0,0.0,1.4154608318038964,0.0
2007-04-20,2007-04-27,-0.0016941455296753394,-0.0016941455296753394,0.0,0.0,1.4130628351632653,-0.0016941455296753949
2007-04-27,2007-05-04,0.005071967330021021,0.005071967330021021,0.0,0.0,1.4202298436984802,0.0
2007-05-04,2007-05-11,0.0023203068521342463,0.0023203068521342463,0.0,0.0,1.4235252127364193,0.0
2007-05-11,2007-05-18,-0.008555527474656738,-0.008555527474656738,0.0,0.0,1.4113462036679862,-0.008555527474656821
2007-05-18,2007-05-25,-0.0030605597394762762,-0.0030605597394762762,0.0,0.0,1.4070266942985774,-0.011589902511194072
2007-05-25,2007-06-01,0.03167194617344243,0.03167194617344243,0.0,0.0,1.4515899680249986,0.0
2007-06-01,2007-06-08,-0.025112930419086577,-0.025112930419086577,0.0,0.0,1.4151362901609428,-0.025112930419086577
2007-06-08,2007-06-15,0.01575720228091529,0.01575720228091529,0.0,0.0,1.4374348789400728,-0.009751437662651297
