,gross_return,net_return,turnover,cost,wealth,drawdown
2005-01-07,0.0,0.0,,0.0,1.0,0.0
2005-01-14,0.0,0.0,0.0,0.0,1.0,0.0
2005-01-21,0.0,0.0,0.0,0.0,1.0,0.0
2005-01-28,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-08,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-15,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-22,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-29,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-06,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-13,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-20,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-27,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-03,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-10,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-17,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-24,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-08,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-15,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-22,4.0477869803533044e-05,1.5477869803533033e-05,0.025000000000000012,2.500000000000001e-05,1.0000154778698036,0.0
2005-07-29,-0.0001737590140215208,-0.0001737590140215208,0.0,0.0,0.9998417161663627,-0.00017375901402150173
2005-08-05,3.662530063931446e-05,3.662530063931446e-05,0.0,0.0,0.9998783356698092,-0.00013714007735809997
2005-08-12,-0.00011986615067731621,-0.00011986615067731621,0.0,0.0,0.9997584841025668,-0.0002569897895822182
2005-08-19,-0.000558502545038692,-0.0005735025450386921,0.015000000000000006,1.5000000000000007e-05,0.9991851200675099,-0.0008303449503226368
2005-08-26,0.0005001666765183977,0.0005001666765183977,0.0,0.0,0.9996848791682407,-0.00033059358467846245
2005-09-02,0.0007622358195090108,0.0007622358195090108,0.0,0.0,1.0004468747913642,0.0
2005-09-09,-0.0001843619217509726,-0.0001843619217509726,0.0,0.0,1.000262430482918,-0.00018436192175086408
2005-09-16,-0.0004169912723617063,-0.00043199127236170627,0.015000000000000006,1.5000000000000007e-05,0.999830325842878,-0.0006162735513715045
2005-09-23,0.0003293679851997331,0.0003293679851997331,0.0,0.0,1.0001596379428424,-0.00028710854694979915
2005-09-30,-0.0011150932795361752,-0.0011300932795361752,0.015000000000000006,1.5000000000000007e-05,0.9990293642575399,-0.0014168773670465429
2005-10-07,-0.00031433077196991603,-0.00031433077196991603,0.0,0.0,0.9987153385862522,-0.0017307627708599282
2005-10-14,0.0,-4.0000000000000024e-05,0.04000000000000002,4.0000000000000024e-05,0.9986753899727087,-0.0017706935403490887
2005-10-21,0.0,0.0,0.0,0.0,0.9986753899727087,-0.0017706935403490887
2005-10-28,0.0004820522191657493,0.0004570522191657493,0.025000000000000012,2.500000000000001e-05,0.999131836775922,-0.00131445062059532
2005-11-04,0.0003378090180879808,0.0003378090180879808,0.0,0.0,0.9994693525206436,-0.0009770856357809166
2005-11-11,0.00027674091704748914,0.00027674091704748914,0.0,0.0,0.9997459465858209,-0.0007006151183084341
2005-11-18,0.00039959745548990254,0.00039959745548990254,0.0,0.0,1.0001454425222132,-0.0003012976268369494
2005-11-25,-5.5071488869980943e-05,-5.5071488869980943e-05,0.0,0.0,1.0000903630236069,-0.0003563525227979758
2005-12-02,-0.0001024772658208249,-0.0001024772658208249,0.0,0.0,0.9999878764976304,-0.00045879327058662156
2005-12-09,0.00013849438958493456,0.00013849438958493456,0.0,0.0,1.0001263692081783,-0.000320362421295628
2005-12-16,7.913464949611887e-05,7.913464949611887e-05,0.0,0.0,1.0002055138578574,-0.0002412531235674864
2005-12-23,-0.0004437573400026934,-0.0004437573400026934,0.0,0.0,0.9997616653195718,-0.0006849034057259118
2005-12-30,0.0007890952195903795,0.0007890952195903795,0.0,0.0,1.0005505724704051,0.0
2006-01-06,4.6717924514464415e-05,4.6717924514464415e-05,0.0,0.0,1.0005973161165227,0.0
2006-01-13,-0.0008424149036621502,-0.0008574149036621502,0.015000000000000006,1.5000000000000007e-05,0.9997393890651199,-0.0008574149036622014
2006-01-20,0.0008160791956496102,0.0008160791956496102,0.0,0.0,1.0005552555816073,-4.2035426477737836e-05
2006-01-27,-0.00044149633142893767,-0.00045649633142893765,0.015000000000000006,1.5000000000000007e-05,1.0000985057780423,-0.0004985125688887759
2006-02-03,7.32515233288923e-05,7.32515233288923e-05,0.0,0.0,1.0001717645170694,-0.00042529756236497906
2006-02-10,0.00042838468354769346,0.00042838468354769346,0.0,0.0,1.0006002227819055,0.0
2006-02-17,0.0001164657660164319,0.0001164657660164319,0.0,0.0,1.000716758453328,0.0
2006-02-24,-0.00012559403684377,-0.00012559403684377,0.0,0.0,1.0005910743958968,-0.00012559403684375692
2006-03-03,-3.299654124810731e-05,-3.299654124810731e-05,0.0,0.0,1.000558058351238,-0.00015858643392308025
2006-03-10,0.0004956410271657868,0.0004956410271657868,0.0,0.0,1.001053975975018,0.0
2006-03-17,-7.846467821876113e-05,-7.846467821876113e-05,0.0,0.0,1.0009754285969135,-7.846467821892578e-05
2006-03-24,-7.296623237463504e-05,-7.296623237463504e-05,0.0,0.0,1.0009023911911892,-0.00015142518532162974
2006-03-31,-5.582062784538918e-05,-5.582062784538918e-05,0.0,0.0,1.000846520191301,-0.0002072373605179756
2006-04-07,-0.00016019104054963322,-0.00016019104054963322,0.0,0.0,1.0006861935458011,-0.00036739520349915455
2006-04-14,0.0004739320234895749,0.0004739320234895749,0.0,0.0,1.0011604507783864,0.0
2006-04-21,6.100096201027108e-05,6.100096201027108e-05,0.0,0.0,1.0012215225290106,0.0
2006-04-28,0.00019966439304400682,0.00019966439304400682,0.0,0.0,1.001421430816609,0.0
2006-05-05,-0.0006187755529056543,-0.0006187755529056543,0.0,0.0,1.0008017757170637,-0.0006187755529057926
2006-05-12,0.0,-2.500000000000001e-05,0.025000000000000012,2.500000000000001e-05,1.0007767556726708,-0.0006437600835169643
2006-05-19,0.0,0.0,0.0,0.0,1.0007767556726708,-0.0006437600835169643
2006-05-26,0.0,0.0,0.0,0.0,1.0007767556726708,-0.0006437600835169643
2006-06-02,0.0,0.0,0.0,0.0,1.0007767556726708,-0.0006437600835169643
2006-06-09,0.0,0.0,0.0,0.0,1.0007767556726708,-0.0006437600835169643
2006-06-16,0.0,0.0,0.0,0.0,1.0007767556726708,-0.0006437600835169643
2006-06-23,0.0,0.0,0.0,0.0,1.0007767556726708,-0.0006437600835169643
2006-06-30,0.004920647702962089,0.0042774779313906035,0.6431697715714857,0.0006431697715714857,1.0050575561593094,0.0
2006-07-07,0.0015360965173159269,0.0015360965173159269,0.0,0.0,1.0066014215710277,0.0
2006-07-14,-0.010068034159027265,-0.010068034159027265,0.0,0.0,0.9964669240741252,-0.01006803415902724
2006-07-21,0.020791115773866387,0.020791115773866387,0.0,0.0,1.017184583257379,0.0
2006-07-28,0.006259593832948167,0.006032477796043118,0.22711603690504872,0.00022711603690504873,1.0233207266703566,0.0
2006-08-04,-0.014639633306639501,-0.014645179859115714,0.005546552476212101,5.546552476212101e-06,1.0083340105747083,-0.01464517985911562
2006-08-11,0.010822121655182612,0.010818771774409952,0.0033498807726599703,3.3498807726599704e-06,1.0192429461074914,-0.003984850943196672
2006-08-18,-0.00043974480534499094,-0.0004948425737606728,0.05509776841568183,5.509776841568183e-05,1.0187385813047523,-0.004477721643060595
2006-08-25,0.010052114484856555,0.009955516569415887,0.09659791544066812,9.659791544066812e-05,1.028880650130835,0.0
2006-09-01,-0.00945915770564071,-0.009508570135699805,0.04941243005909468,4.941243005909468e-05,1.0190974663078014,-0.009508570135699945
2006-09-08,-0.004776232395731713,-0.0047927646801983175,0.01653228446660447,1.653228446660447e-05,1.0142131719656018,-0.01425576247679261
2006-09-15,0.00036688964995097956,0.00029399311887711853,0.07289653107386104,7.289653107386105e-05,1.0145113436592341,-0.013965960453988124
2006-09-22,0.010503909879619102,0.010480544937954991,0.02336494166411087,2.3364941664110872e-05,1.02514397538652,-0.0036317863921727644
2006-09-29,-0.0006105008356132946,-0.000686206742724717,0.07570590711142239,7.570590711142239e-05,1.0244405146783462,-0.004315500978586906
2006-10-06,0.014258938832631447,0.014230656562930424,0.028282269701023446,2.8282269701023448e-05,1.0390189758118855,0.0
2006-10-13,0.002476184596392543,0.002419328679945092,0.05685591644745128,5.6855916447451276e-05,1.0415327042190743,0.0
2006-10-20,0.006873644843609576,0.0067989960393018915,0.07464880430768477,7.464880430768477e-05,1.048614080949863,0.0
2006-10-27,-0.0031998588906417117,-0.0033409752605957086,0.14111636995399696,0.00014111636995399696,1.0451106872474971,-0.0033409752605957355
2006-11-03,0.009572984674877282,0.009532202015690577,0.040782659186704054,4.078265918670405e-05,1.0550728934470974,0.0
2006-11-10,0.006426668992472462,0.006387778665561695,0.03889032691076651,3.8890326910766505e-05,1.0618124655664714,0.0
2006-11-17,0.023829807273540095,0.02376585193011543,0.06395534342466312,6.395534342466312e-05,1.0870473434006749,0.0
2006-11-24,0.003774884230889757,0.0035030550096820496,0.2718292212077074,0.00027182922120770744,1.0908553300427362,0.0
2006-12-01,0.004079575141594071,0.004038638302127142,0.040936839466929165,4.0936839466929166e-05,1.0952609001607263,0.0
2006-12-08,0.0017312506083398977,0.0016534554550106807,0.07779515332921697,7.779515332921697e-05,1.097071865270757,0.0
2006-12-15,-0.007214621267593042,-0.0072795181189389884,0.06489685134594571,6.489685134594571e-05,1.0890857107497403,-0.00727951811893901
2006-12-22,0.014309410700960534,0.014236080340789716,0.07333036017081862,7.333036017081862e-05,1.1045900224259797,0.0
2006-12-29,-0.02178089599966998,-0.021982822244283343,0.20192624461336142,0.00020192624461336142,1.0803080163101804,-0.021982822244283384
2007-01-05,0.022937803287739637,0.02286199712882655,0.07580615891308833,7.580615891308832e-05,1.105006015077312,0.0
2007-01-12,0.011495755974129688,0.011444074082134043,0.05168189199564553,5.1681891995645534e-05,1.1176517857750605,0.0
2007-01-19,0.005539894048328362,0.005512770076630771,0.027123971697591204,2.7123971697591203e-05,1.1238131430957743,0.0
2007-01-26,0.016369167204201424,0.016191209739518878,0.17795746468254464,0.00017795746468254466,1.142009037403666,0.0
2007-02-02,0.003518117482895036,0.0035042580524854037,0.01385943040963198,1.3859430409631981e-05,1.1460109317689988,0.0
2007-02-09,0.012585053330257423,0.012538588893857774,0.04646443639964851,4.646443639964851e-05,1.1603802917103172,0.0
2007-02-16,-0.0016007822347734889,-0.0016720898954391034,0.07130766066561442,7.130766066561442e-05,1.1584400315496817,-0.0016720898954390995
2007-02-23,-0.04077753440061367,-0.04093414798177427,0.15661358116059604,0.00015661358116059605,1.1110202758702157,-0.042537792301994726
2007-03-02,0.012754965452922408,0.012728751939521296,0.02621351340111193,2.6213513401111928e-05,1.1251621773615463,-0.030350493368740294
