,gross_return,net_return,turnover,cost,wealth,drawdown
2005-01-07,0.0,0.0,,0.0,1.0,0.0
2005-01-14,0.0,0.0,0.0,0.0,1.0,0.0
2005-01-21,0.0,0.0,0.0,0.0,1.0,0.0
2005-01-28,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-08,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-15,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-22,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-29,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-06,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-13,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-20,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-27,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-03,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-10,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-17,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-24,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-08,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-15,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-22,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-29,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-05,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-12,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-19,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-26,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-02,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-09,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-16,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-23,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-30,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-07,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-14,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-21,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-28,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-02,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-09,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-16,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-23,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-30,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-06,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-13,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-20,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-27,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-03,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-10,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-17,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-24,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-03,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-10,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-17,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-24,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-31,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-07,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-14,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-21,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-28,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-05,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-12,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-19,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-26,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-02,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-09,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-16,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-23,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-30,0.005359991247869418,0.004659395603836193,0.7005956440332254,0.0007005956440332254,1.004659395603836,0.0
2006-07-07,0.0016732479920762763,0.0016732479920762763,0.0,0.0,1.0063404399202507,0.0
2006-07-14,-0.010966965780368983,-0.010966965780368983,0.0,0.0,0.9953039387522439,-0.010966965780368931
2006-07-21,0.022647465396533027,0.022647465396533027,0.0,0.0,1.0178450502641683,0.0
2006-07-28,0.006818486139461397,0.00657109188497554,0.24739425448585683,0.0002473942544858568,1.0245334036141216,0.0
2006-08-04,-0.015946743423303746,-0.01595278520367962,0.00604178037587387,6.04178037587387e-06,1.0081892422922707,-0.015952785203679598
2006-08-11,0.011788382517252489,0.011784733539982271,0.0036489772702189144,3.6489772702189144e-06,1.0200704838705619,-0.004356050986543125
2006-08-18,-0.0002589582489015943,-0.00028629688949724773,0.027338640595653413,2.7338640595653415e-05,1.0197784408639619,-0.004641100752192373
2006-08-25,0.010949624706718748,0.010822458212988025,0.12716649373072209,0.0001271664937307221,1.0308149504267183,0.0
2006-09-01,-0.010020259440148348,-0.01004140512289129,0.021145682742942415,2.1145682742942414e-05,1.0204641199027504,-0.010041405122891423
2006-09-08,-0.005769651093895282,-0.005787659475189262,0.018008381293979872,1.8008381293979874e-05,1.0145580210701046,-0.01577094836457693
2006-09-15,0.0003996476544108885,0.0003529210759197184,0.046726578491170095,4.6726578491170094e-05,1.0149160799784835,-0.01542359318872244
2006-09-22,0.011441758976013664,0.011416307878843828,0.025451097169835055,2.5451097169835055e-05,1.0265026744187071,-0.0041833657983191275
2006-09-29,-0.0006650098387930535,-0.0007474752018965672,0.08246536310351366,8.246536310351366e-05,1.0257353891248986,-0.004927714038021058
2006-10-06,0.015532058371259254,0.015501250898906353,0.030807472352900545,3.0807472352900546e-05,1.041635570747611,0.0
2006-10-13,0.002655411996539221,0.0026207118018375325,0.03470019470168808,3.470019470168808e-05,1.0443653973810831,0.0
2006-10-20,0.007487363133217573,0.007406049257096702,0.08131387612087093,8.131387612087093e-05,1.0521000189564949,0.0
2006-10-27,-0.0031830438538378463,-0.0032855337685370233,0.10248991469917677,0.00010248991469917678,1.048643308816335,-0.003285533768536908
2006-11-03,0.010168102615143358,0.010144182755696115,0.023919859447242425,2.3919859447242424e-05,1.0592809381865056,0.0
2006-11-10,0.0068553807026224935,0.0068138143508362,0.04156635178629313,4.156635178629313e-05,1.0664986818446882,0.0
2006-11-17,0.025297502682466243,0.025229146602315455,0.06835608015078877,6.835608015078878e-05,1.0934055334401243,0.0
2006-11-24,0.003774884230889757,0.0035227063647415473,0.2521778661482095,0.0002521778661482095,1.0972572800720175,0.0
2006-12-01,0.004079575141594071,0.004038638302127142,0.040936839466929165,4.0936839466929166e-05,1.1016887053506041,0.0
2006-12-08,0.0017312506083398977,0.001653455455010681,0.07779515332921691,7.779515332921691e-05,1.10351029855019,0.0
2006-12-15,-0.007214621267593041,-0.007279518118938987,0.0648968513459457,6.48968513459457e-05,1.095477275337458,-0.00727951811893901
2006-12-22,0.014309410700960533,0.014236080340789714,0.07333036017081868,7.333036017081868e-05,1.1110725778406714,0.0
2006-12-29,-0.021780895999669973,-0.021982822244283336,0.2019262446133614,0.0002019262446133614,1.0866480668615022,-0.021982822244283384
2007-01-05,0.022937803287739637,0.02286199712882655,0.07580615891308853,7.580615891308854e-05,1.1114910118461347,0.0
2007-01-12,0.01149575597412969,0.011444074082134045,0.05168189199564553,5.1681891995645534e-05,1.124210997327328,0.0
2007-01-19,0.005539894048328364,0.005512770076630773,0.02712397169759111,2.712397169759111e-05,1.1304085140732134,0.0
2007-01-26,0.016369167204201417,0.01619120973951887,0.17795746468254486,0.00017795746468254487,1.1487111954159108,0.0
2007-02-02,0.0035181174828950368,0.0035042580524854046,0.01385943040963198,1.3859430409631981e-05,1.152736575872427,0.0
2007-02-09,0.012585053330257423,0.012538588893857774,0.04646443639964873,4.646443639964873e-05,1.1671902659002047,0.0
2007-02-16,-0.0016007822347734889,-0.0016720898954391034,0.07130766066561442,7.130766066561442e-05,1.1652386188505381,-0.0016720898954390995
2007-02-23,-0.0389523643320261,-0.039108977913186696,0.15661358116059604,0.00015661358116059605,1.1196673274423203,-0.04071567408183607
2007-03-02,0.012146321677433996,0.012120108164032884,0.026213513401111888,2.6213513401111888e-05,1.133237816558655,-0.029089044291646493
2007-03-09,-0.009174496092991383,-0.009180884856822044,0.006388763830661455,6.388763830661455e-06,1.1228336906494336,-0.038002865982231904
2007-03-16,0.026313990061954826,0.026255129161357315,0.05886090059750998,5.886090059750998e-05,1.152313834224158,-0.01274550697573995
2007-03-23,-0.00541232540444072,-0.005448485963215655,0.03616055877493548,3.616055877493548e-05,1.1460354684731684,-0.018124549223104136
2007-03-30,0.011124722377630639,0.010883860503803277,0.2408618738273608,0.0002408618738273608,1.1585087586444411,-0.007437953784739548
2007-04-06,0.0029178788440903172,0.002778604041934813,0.13927480215550447,0.00013927480215550448,1.1617277957638275,-0.004680016871254744
2007-04-13,0.010361971379557449,0.010235624907563664,0.12634647199378574,0.00012634647199378574,1.1736188057259567,0.0
2007-04-20,-0.0032109898832977926,-0.003294150845895585,0.08316096259779232,8.316096259779233e-05,1.1697527283443157,-0.0032941508458954605
2007-04-27,0.00277051527638287,0.0025741164770506867,0.19639879933218352,0.00019639879933218353,1.1727638081164218,-0.0007285138968150529
2007-05-04,-0.000533998810883366,-0.000563677638825815,0.02967882794244902,2.9678827942449022e-05,1.1721027473821624,-0.0012917808886476756
2007-05-11,-0.014156161025277746,-0.014200766431425536,0.04460540614779104,4.4605406147791035e-05,1.155457990032956,-0.01547420304139302
2007-05-18,4.701509126089573e-05,-5.650394054722136e-06,0.05266548531561786,5.2665485315617864e-05,1.1554514612399986,-0.015479766000102924
2007-05-25,0.02001432148750447,0.019913430883890745,0.1008906036137235,0.0001008906036137235,1.1784604640530918,0.0
2007-06-01,-0.019877055806365496,-0.019941796363413318,0.06474055704782117,6.474055704782117e-05,1.1549598454566115,-0.01994179636341331
2007-06-08,0.00933151271451857,0.009319905405586562,0.011607308932006274,1.1607308932006274e-05,1.165723961963518,-0.010807746613551217
2007-06-15,-0.009269295707326451,-0.009281239292393344,0.011943585066892557,1.1943585066892558e-05,1.1549045989236577,-0.019988676623412638
2007-06-22,0.005176505023037707,0.0051461950171080946,0.030310005929612156,3.0310005929612158e-05,1.160847963215874,-0.014945347234342488
2007-06-29,0.013306978834496537,0.013157507788153036,0.14947104634350067,0.00014947104634350068,1.1761218293327482,-0.0019844829688221433
2007-07-06,0.011875554866979988,0.011850819390091647,0.024735476888340976,2.4735476888340977e-05,1.190059836712915,0.0
