,gross_return,net_return,turnover,cost,wealth,drawdown
2005-01-07,0.0,0.0,,0.0,1.0,0.0
2005-01-14,0.0,0.0,0.0,0.0,1.0,0.0
2005-01-21,0.0,0.0,0.0,0.0,1.0,0.0
2005-01-28,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-02-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-03-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-01,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-08,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-15,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-22,0.0,0.0,0.0,0.0,1.0,0.0
2005-04-29,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-06,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-13,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-20,0.0,0.0,0.0,0.0,1.0,0.0
2005-05-27,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-03,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-10,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-17,0.0,0.0,0.0,0.0,1.0,0.0
2005-06-24,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-01,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-08,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-15,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-22,0.0,0.0,0.0,0.0,1.0,0.0
2005-07-29,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-05,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-12,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-19,0.0,0.0,0.0,0.0,1.0,0.0
2005-08-26,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-02,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-09,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-16,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-23,0.0,0.0,0.0,0.0,1.0,0.0
2005-09-30,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-07,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-14,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-21,0.0,0.0,0.0,0.0,1.0,0.0
2005-10-28,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-04,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-11,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-18,0.0,0.0,0.0,0.0,1.0,0.0
2005-11-25,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-02,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-09,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-16,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-23,0.0,0.0,0.0,0.0,1.0,0.0
2005-12-30,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-06,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-13,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-20,0.0,0.0,0.0,0.0,1.0,0.0
2006-01-27,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-03,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-10,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-17,0.0,0.0,0.0,0.0,1.0,0.0
2006-02-24,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-03,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-10,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-17,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-24,0.0,0.0,0.0,0.0,1.0,0.0
2006-03-31,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-07,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-14,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-21,0.0,0.0,0.0,0.0,1.0,0.0
2006-04-28,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-05,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-12,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-19,0.0,0.0,0.0,0.0,1.0,0.0
2006-05-26,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-02,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-09,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-16,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-23,0.0,0.0,0.0,0.0,1.0,0.0
2006-06-30,0.0050447172265815025,0.004374863430016223,0.6698537965652795,0.0006698537965652795,1.0043748634300163,0.0
2006-07-07,0.0009063017090358057,0.0009063017090358057,0.0,0.0,1.0052851300852554,0.0
2006-07-14,-0.010805996014809824,-0.010805996014809824,0.0,0.0,0.9944220229758066,-0.010805996014809804
2006-07-21,0.02297015965370394,0.02297015965370394,0.0,0.0,1.01726405560672,0.0
2006-07-28,0.0057256305577770535,0.005560452069796757,0.1651784879802963,0.00016517848798029632,1.0229205036302482,0.0
2006-08-04,-0.013926269802721082,-0.01392627766424141,7.861520327910598e-06,7.861520327910598e-09,1.0086750286682478,-0.013926277664241371
2006-08-11,0.009879696349906104,0.009879691601883634,4.74802247042716e-06,4.74802247042716e-09,1.0186404268780114,-0.004184173390842427
2006-08-18,-0.0010891028844551478,-0.0010891384572938492,3.5572838701435766e-05,3.5572838701435764e-08,1.0175309864149442,-0.0052687547039844684
2006-08-25,0.01027752991121068,0.010119625096800769,0.15790481440991092,0.00015790481440991093,1.0278280185218414,0.0
2006-09-01,-0.009359981713574505,-0.009360019205588242,3.749201373730304e-05,3.749201373730304e-08,1.018207528528435,-0.009360019205588377
2006-09-08,-0.005374847382990471,-0.005374879312462178,3.192947170672922e-05,3.192947170672922e-08,1.0127347859475544,-0.014684589544458171
2006-09-15,0.0012182366826662338,0.0012181538348554543,8.284781077937467e-05,8.284781077937467e-08,1.013968452710748,-0.013484323798669484
2006-09-22,0.010166315335896504,0.01016627021023675,4.512565975383839e-05,4.5125659753838396e-08,1.0242767299856612,-0.003455138867772267
2006-09-29,-0.0007076155940724037,-0.0007909464084419535,0.0833308143695498,8.33308143695498e-05,1.0234665819848285,-0.004243352446535953
2006-10-06,0.013141160336310968,0.013141090649014,6.968729696762197e-05,6.968729696762198e-08,1.0369160491149276,0.0
2006-10-13,0.0024115729971747836,0.002411494504439472,7.849273531145354e-05,7.849273531145354e-08,1.0394165664689334,0.0
2006-10-20,0.007028687447426551,0.007028503513341732,0.00018393408481927185,1.8393408481927186e-07,1.046722109458186,0.0
2006-10-27,0.0040669311387642295,0.003910454031373184,0.15647710739104487,0.00015647710739104487,1.0508152681508443,0.0
2006-11-03,0.010210720749231787,0.01021064488717603,7.586205575700264e-05,7.586205575700264e-08,1.061544769695955,0.0
2006-11-10,0.002988225714643202,0.0029880938865735687,0.00013182806963306717,1.3182806963306718e-07,1.0647167651326077,0.0
2006-11-17,0.025227061273087454,0.025226844481146215,0.00021679194123875494,2.1679194123875495e-07,1.0915762093830772,0.0
2006-11-24,0.0053109519461466935,0.0050846217091345455,0.226330237012148,0.000226330237012148,1.0971264614744811,0.0
2006-12-01,0.002603877291990734,0.002603658819505707,0.0002184724850273385,2.184724850273385e-07,1.0999830044620122,0.0
2006-12-08,0.0015285550355671274,0.001528139856948254,0.0004151786188732136,4.1517861887321363e-07,1.1016639323330963,0.0
2006-12-15,-0.007379531701199207,-0.007379878043920546,0.0003463427213390262,3.463427213390262e-07,1.093533786867092,-0.007379878043920707
2006-12-22,0.012292174732328218,0.01229178338150038,0.00039135082783838486,3.9135082783838485e-07,1.1069752672956141,0.0
2006-12-29,-0.021108467515252704,-0.021317355889544826,0.20888837429212237,0.00020888837429212237,1.0833774815617494,-0.021317355889544976
2007-01-05,0.022040994838917565,0.022040481826645086,0.0005130122724799047,5.130122724799048e-07,1.1072556432555076,0.0
2007-01-12,0.011748582958195246,0.011748233205019002,0.00034975317624446874,3.4975317624446874e-07,1.1202639407700465,0.0
2007-01-19,0.007075870891827773,0.00707568733246322,0.00018355936455265973,1.8355936455265973e-07,1.1281905781447683,0.0
2007-01-26,0.015244882413829241,0.015031931822514897,0.21295059131434513,0.00021295059131434514,1.145149461998244,0.0
2007-02-02,0.0050396996624327665,0.005039568057854747,0.0001316045780193134,1.316045780193134e-07,1.1509205206484001,0.0
2007-02-09,0.012290949971127011,0.012290508760170677,0.000441210956334194,4.4121095633419404e-07,1.1650659193896893,0.0
2007-02-16,-0.0015735913918118595,-0.0015742685058283865,0.0006771140165270032,6.771140165270032e-07,1.16323179280558,-0.0015742685058285355
2007-02-23,-0.03774101067147698,-0.037830189576014,0.08917890453702654,8.917890453702654e-05,1.1192265135628983,-0.0393449032058234
2007-03-02,0.011395312058081458,0.011394926905598833,0.00038515248262346174,3.8515248262346176e-07,1.1319800178757558,-0.02839830859636283
2007-03-09,-0.00812552099587522,-0.008125614865331504,9.386945628470783e-05,9.386945628470783e-08,1.1227819842152462,-0.036293169743213505
2007-03-16,0.024576866031760587,0.024576001194542937,0.0008648372176475386,8.648372176475386e-07,1.1503754756005313,-0.012609109531633522
2007-03-23,-0.005656026911509812,-0.005656558214917032,0.0005313034072200874,5.313034072200874e-07,1.143868309753784,-0.018194343584446604
2007-03-30,0.011082372935752498,0.010815281149797653,0.2670917859548448,0.0002670917859548448,1.156239567122115,-0.0075758393758508236
2007-04-06,0.005202620143982855,0.005200321151469755,0.002298992513100044,2.298992513100044e-06,1.1622523841991863,-0.0024149150221275395
2007-04-13,0.010246103204316834,0.010244017618204523,0.0020855861123105337,2.0855861123105337e-06,1.1741585180997232,0.0
2007-04-20,-0.004082887670938845,-0.004084260399009074,0.0013727280702294552,1.3727280702294553e-06,1.1693629489620891,-0.004084260399009221
2007-04-27,0.002851209186798348,0.0025582044331976337,0.29300475360071454,0.0002930047536007145,1.1723544184421408,-0.0015365043388707589
2007-05-04,-0.0013281074920572212,-0.001328657190685301,0.0005496986280796541,5.496986280796541e-07,1.170796761314046,-0.0028631200420177194
2007-05-11,-0.015520034675638877,-0.015520860837999868,0.000826162360990854,8.26162360990854e-07,1.1526249877121097,-0.018339542792283003
2007-05-18,-0.001136821512179858,-0.0011377969598990632,0.000975447719205126,9.75447719205126e-07,1.1513135345051873,-0.019456473076146952
2007-05-25,0.019222136172358992,0.01909093998587413,0.1311961864848623,0.0001311961864848623,1.1732931920973504,-0.0007369754501063142
2007-06-01,-0.02178404440950864,-0.021785523053711373,0.0014786442027333254,1.4786442027333255e-06,1.147732386212151,-0.022506443108159524
2007-06-08,0.00714493571438936,0.007144670608853598,0.00026510553576131115,2.651055357613112e-07,1.1559325560587503,-0.015522573621890468
2007-06-15,-0.010414130262334065,-0.010414403048260296,0.00027278592623124047,2.7278592623124046e-07,1.1438942085233488,-0.025775318332106112
2007-06-22,0.00480727440072474,0.0048065821342908955,0.0006922664338450456,6.922664338450456e-07,1.149392429989556,-0.021092627382416018
2007-06-29,0.013373812098193234,0.013135617037763182,0.23819506043005176,0.00023819506043005177,1.1644904087760028,-0.008234075020268405
2007-07-06,0.012302259949392644,0.012301564232570535,0.000695716822108393,6.95716822108393e-07,1.1788154623377731,0.0
