,BIL,DBA,EEM,EFA,EWJ,GLD,HYG,IAU,IEF,IWM,LQD,MBB,PDBC,QQQ,SHY,SLV,SPY,TIP,TLT,USO,UUP,VEA,VNQ,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2005-01-14,0.5594237950348521,0.0,0.0,0.0,0.0,0.14371371167952618,0.017151351127536126,0.0,0.0,0.0,0.1520073609347216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12770378122336384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-21,0.5594237950348521,0.0,0.0,0.0,0.0,0.14371371167952618,0.017151351127536126,0.0,0.0,0.0,0.1520073609347216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12770378122336384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-28,0.5594237950348521,0.0,0.0,0.0,0.0,0.14371371167952618,0.017151351127536126,0.0,0.0,0.0,0.1520073609347216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12770378122336384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-04,0.5594237950348521,0.0,0.0,0.0,0.0,0.14371371167952618,0.017151351127536126,0.0,0.0,0.0,0.1520073609347216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12770378122336384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-11,0.5594237950348521,0.0,0.0,0.0,0.0,0.14371371167952618,0.017151351127536126,0.0,0.0,0.0,0.1520073609347216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12770378122336384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-18,0.5594237950348521,0.0,0.0,0.0,0.0,0.14371371167952618,0.017151351127536126,0.0,0.0,0.0,0.1520073609347216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12770378122336384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-25,0.4025378795591308,0.0,0.0,0.0,0.0,0.1829351905484565,0.017151351127536126,0.0,0.0,0.0,0.19122883980365193,0.0,0.0,0.039221478868930314,0.0,0.0,0.0,0.0,0.16692526009229416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-04,0.4025378795591308,0.0,0.0,0.0,0.0,0.1829351905484565,0.017151351127536126,0.0,0.0,0.0,0.19122883980365193,0.0,0.0,0.039221478868930314,0.0,0.0,0.0,0.0,0.16692526009229416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-11,0.4095180388864914,0.0,0.0,0.0,0.0,0.1824189571663014,0.017133789888812895,0.0,0.0,0.0,0.19254073026865215,0.0,0.0,0.03437581836478848,0.0,0.0,0.0,0.0,0.16401266542495363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-18,0.5576027801824184,0.0,0.0,0.0,0.0,0.07566157399718655,0.05492545130690338,0.0,0.0,0.0,0.23977838139821855,0.0,0.0,0.0019133262017308188,0.0,0.0,0.0,0.0,0.0701184869135424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-25,0.559278158055524,0.0,0.0,0.0,0.0,0.07448596037930857,0.05441904805101161,0.0,0.0,0.0,0.23989510771292663,0.0,0.0,0.0019273132525156173,0.0,0.0,0.0,0.0,0.06999441254871352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,0.5572294086961918,0.0,0.0,0.0,0.0,0.07253794970018779,0.056628683755397105,0.0,0.0,0.0,0.23963109074162517,0.0,0.0,0.0019194427426959043,0.0,0.0,0.0,0.0,0.07205342436390219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-08,0.5576635732271088,0.0,0.0,0.0,0.0,0.07668334128432314,0.05324099665515467,0.0,0.0,0.0,0.24137707316478774,0.0,0.0,0.0017399513945088063,0.0,0.0,0.0,0.0,0.06929506427411693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-15,0.55715036406944,0.0,0.0,0.0,0.0,0.07864607995323789,0.051860219436750225,0.0,0.0,0.0,0.24166764464145218,0.0,0.0,0.001772533508359683,0.0,0.0,0.0,0.0,0.06890315839076006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
