,BIL,DBA,EEM,EFA,EWJ,GLD,HYG,IAU,IEF,IWM,LQD,MBB,PDBC,QQQ,SHY,SLV,SPY,TIP,TLT,USO,UUP,VEA,VNQ,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2005-01-14,0.982777875660195,0.0,0.0,0.0,0.0,0.006236435882797755,0.0003412135836526153,0.0,0.0,0.0,0.00503701737215497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005607457501199635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-21,0.9833379080035127,0.0,0.0,0.0,0.0,0.006069122575315686,0.0003412135836526154,0.0,0.0,0.0,0.004624498569709715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005627257267809371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-28,0.9834333253093348,0.0,0.0,0.0,0.0,0.0060585206524465555,0.0003412135836526153,0.0,0.0,0.0,0.004465469726672754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00570147072789329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-04,0.9834959142630916,0.0,0.0,0.0,0.0,0.006035308519821641,0.00034767567626506536,0.0,0.0,0.0,0.00439931192202807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005721789618793806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-11,0.9835296725582793,0.0,0.0,0.0,0.0,0.006019299431382071,0.0003525480075292854,0.0,0.0,0.0,0.004371818052751415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005726661950058026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-18,0.9835446496397309,0.0,0.0,0.0,0.0,0.006012196897910115,0.00035470964815118033,0.0,0.0,0.0,0.004359620223527844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00572882359067992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-25,0.9720353031452323,0.0,0.0,0.0,0.0,0.00888805094427031,0.0003556639507582004,0.0,0.0,0.0,0.007233224842314353,0.0,0.0,0.002878989612068968,0.0,0.0,0.0,0.0,0.00860876750535591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-04,0.9720382122423353,0.0,0.0,0.0,0.0,0.008886671372448219,0.0003560838204431853,0.0,0.0,0.0,0.007230855577663366,0.0,0.0,0.0028789896120689678,0.0,0.0,0.0,0.0,0.008609187375040891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-11,0.9719092257696837,0.0,0.0,0.0,0.0,0.008933555160047658,0.0003518118730928303,0.0,0.0,0.0,0.007285142157416231,0.0,0.0,0.0028883930603448276,0.0,0.0,0.0,0.0,0.008631871979414677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-18,0.9113968233149062,0.0,0.0,0.0,0.0,0.022617013184280176,0.005037576335774839,0.0,0.0,0.0,0.03718798184778235,0.0,0.0,0.004842162667624519,0.0,0.0,0.0,0.0,0.018918442649631814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-25,0.9122364678475714,0.0,0.0,0.0,0.0,0.019499659482101816,0.004774310558611699,0.0,0.0,0.0,0.04318984048491965,0.0,0.0,0.004143782563928719,0.0,0.0,0.0,0.0,0.016155939062866716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-01,0.9111659688405213,0.0,0.0,0.0,0.0,0.019426391765161418,0.00505765061200382,0.0,0.0,0.0,0.04379885713504755,0.0,0.0,0.00419113824143344,0.0,0.0,0.0,0.0,0.01635999340583264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-08,0.9112389489777096,0.0,0.0,0.0,0.0,0.019295834375314416,0.005162577312466999,0.0,0.0,0.0,0.04422820949614963,0.0,0.0,0.004079157621207719,0.0,0.0,0.0,0.0,0.015995272217151576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-15,0.9113625773008175,0.0,0.0,0.0,0.0,0.019219864515755,0.00520789159329374,0.0,0.0,0.0,0.04444234988966272,0.0,0.0,0.00400675634471266,0.0,0.0,0.0,0.0,0.015760560355758478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-22,0.9115097058363334,0.0,0.0,0.0,0.0,0.019095614839393097,0.00528342535241302,0.0,0.0,0.0,0.04453563298328626,0.0,0.0,0.0039537547986633805,0.0,0.0,0.0,0.0,0.015621866189910977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
