model_name,target,model_type,sequence_length,epoch,train_loss,validation_loss,best_epoch_so_far,early_stop_triggered,fold_name,seed,best_validation_loss_final
lstm_seq26_seed0_fold_a_2017_2018,top_quintile_forward_4w,lstm,26,1,1.0888197819391887,1.084236780802409,1,False,fold_a_2017_2018,0,1.0687399705251057
lstm_seq26_seed0_fold_a_2017_2018,top_quintile_forward_4w,lstm,26,2,1.0632520417372386,1.0752623478571575,2,False,fold_a_2017_2018,0,1.0687399705251057
lstm_seq26_seed0_fold_a_2017_2018,top_quintile_forward_4w,lstm,26,3,1.0416810015837352,1.0687399705251057,3,False,fold_a_2017_2018,0,1.0687399705251057
lstm_seq26_seed0_fold_a_2017_2018,top_quintile_forward_4w,lstm,26,4,1.0220375061035156,1.0695778131484985,3,True,fold_a_2017_2018,0,1.0687399705251057
lstm_seq26_seed0_fold_b_2019_2020,top_quintile_forward_4w,lstm,26,1,1.0853490193684896,1.089533845583598,1,False,fold_b_2019_2020,0,1.0783744255701702
lstm_seq26_seed0_fold_b_2019_2020,top_quintile_forward_4w,lstm,26,2,1.0575631856918335,1.0800431966781616,2,False,fold_b_2019_2020,0,1.0783744255701702
lstm_seq26_seed0_fold_b_2019_2020,top_quintile_forward_4w,lstm,26,3,1.036748735109965,1.0783744255701702,3,False,fold_b_2019_2020,0,1.0783744255701702
lstm_seq26_seed0_fold_b_2019_2020,top_quintile_forward_4w,lstm,26,4,1.016463573773702,1.0821222861607869,3,True,fold_b_2019_2020,0,1.0783744255701702
lstm_seq26_seed0_fold_c_2021_2022,top_quintile_forward_4w,lstm,26,1,1.0860423831378712,1.0877917607625325,1,False,fold_c_2021_2022,0,1.0763047536214192
lstm_seq26_seed0_fold_c_2021_2022,top_quintile_forward_4w,lstm,26,2,1.0584781660753138,1.0834752718607585,2,False,fold_c_2021_2022,0,1.0763047536214192
lstm_seq26_seed0_fold_c_2021_2022,top_quintile_forward_4w,lstm,26,3,1.037090869510875,1.0800010760625203,3,False,fold_c_2021_2022,0,1.0763047536214192
lstm_seq26_seed0_fold_c_2021_2022,top_quintile_forward_4w,lstm,26,4,1.0201219881282133,1.0763047536214192,4,False,fold_c_2021_2022,0,1.0763047536214192
lstm_seq26_seed0_fold_d_2023_2026,top_quintile_forward_4w,lstm,26,1,1.0857518136501312,1.0750547250111897,1,False,fold_d_2023_2026,0,1.0520694653193157
lstm_seq26_seed0_fold_d_2023_2026,top_quintile_forward_4w,lstm,26,2,1.0588180661201476,1.0564387639363606,2,False,fold_d_2023_2026,0,1.0520694653193157
lstm_seq26_seed0_fold_d_2023_2026,top_quintile_forward_4w,lstm,26,3,1.0340994894504547,1.0520694653193157,3,False,fold_d_2023_2026,0,1.0520694653193157
lstm_seq26_seed0_fold_d_2023_2026,top_quintile_forward_4w,lstm,26,4,1.0187574177980423,1.052714188893636,3,True,fold_d_2023_2026,0,1.0520694653193157
lstm_seq26_seed1_fold_d_2023_2026,top_quintile_forward_4w,lstm,26,1,1.0886470079421997,1.086518923441569,1,False,fold_d_2023_2026,1,1.072774330774943
lstm_seq26_seed1_fold_d_2023_2026,top_quintile_forward_4w,lstm,26,2,1.0664158105850219,1.072774330774943,2,False,fold_d_2023_2026,1,1.072774330774943
lstm_seq26_seed1_fold_d_2023_2026,top_quintile_forward_4w,lstm,26,3,1.0459583520889282,1.0754669109980266,2,True,fold_d_2023_2026,1,1.072774330774943
lstm_seq26_seed2_fold_d_2023_2026,top_quintile_forward_4w,lstm,26,1,1.0818672060966492,1.0775731404622395,1,False,fold_d_2023_2026,2,1.0687470436096191
lstm_seq26_seed2_fold_d_2023_2026,top_quintile_forward_4w,lstm,26,2,1.057831835746765,1.0687470436096191,2,False,fold_d_2023_2026,2,1.0687470436096191
lstm_seq26_seed2_fold_d_2023_2026,top_quintile_forward_4w,lstm,26,3,1.0359117060899734,1.0707042614618938,2,True,fold_d_2023_2026,2,1.0687470436096191
gru_seq26_seed0_fold_d_2023_2026,top_quintile_forward_4w,gru,26,1,1.0861282110214234,1.074163556098938,1,False,fold_d_2023_2026,0,1.0632933378219604
gru_seq26_seed0_fold_d_2023_2026,top_quintile_forward_4w,gru,26,2,1.0562770366668701,1.0663576126098633,2,False,fold_d_2023_2026,0,1.0632933378219604
gru_seq26_seed0_fold_d_2023_2026,top_quintile_forward_4w,gru,26,3,1.043737953901291,1.0632933378219604,3,False,fold_d_2023_2026,0,1.0632933378219604
gru_seq26_seed0_fold_d_2023_2026,top_quintile_forward_4w,gru,26,4,1.0360843062400817,1.0640392700831096,3,True,fold_d_2023_2026,0,1.0632933378219604
tcn_seq26_seed0_fold_d_2023_2026,top_quintile_forward_4w,tcn,26,1,1.0916986465454102,1.0867249170939128,1,False,fold_d_2023_2026,0,1.0642963647842407
tcn_seq26_seed0_fold_d_2023_2026,top_quintile_forward_4w,tcn,26,2,1.0748885095119476,1.073275049527486,2,False,fold_d_2023_2026,0,1.0642963647842407
tcn_seq26_seed0_fold_d_2023_2026,top_quintile_forward_4w,tcn,26,3,1.0572008609771728,1.069920539855957,3,False,fold_d_2023_2026,0,1.0642963647842407
tcn_seq26_seed0_fold_d_2023_2026,top_quintile_forward_4w,tcn,26,4,1.0451098322868346,1.0642963647842407,4,False,fold_d_2023_2026,0,1.0642963647842407
lstm_seq13_seed0_fold_d_2023_2026,top_quintile_forward_4w,lstm,13,1,1.0842101454734803,1.0717398722966511,1,False,fold_d_2023_2026,0,1.045698642730713
lstm_seq13_seed0_fold_d_2023_2026,top_quintile_forward_4w,lstm,13,2,1.055558007955551,1.0554463863372803,2,False,fold_d_2023_2026,0,1.045698642730713
lstm_seq13_seed0_fold_d_2023_2026,top_quintile_forward_4w,lstm,13,3,1.03412367105484,1.0473222732543945,3,False,fold_d_2023_2026,0,1.045698642730713
lstm_seq13_seed0_fold_d_2023_2026,top_quintile_forward_4w,lstm,13,4,1.017672049999237,1.045698642730713,4,False,fold_d_2023_2026,0,1.045698642730713
