portfolio,window,label,n_weeks,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_BIL,avg_SPY,avg_turnover,upside_capture_spy,downside_capture_spy,beta_spy,corr_spy,active_return_vs_ggg1,active_return_vs_spy
improved_phase2_aggressive_neutral_cash_unlock,full,improved_phase2_aggressive_neutral_cash_unlock,1110,0.073892,0.078627,0.93978,-0.125043,0.590929,-0.026048,-0.12861,-0.082666,0.2462,0.062,0.0629,0.0464,-0.1308,-0.0321,-0.0716,0.0025,-0.0455
improved_phase2_aggressive_neutral_cash_unlock,holdout_2016,improved_phase2_aggressive_neutral_cash_unlock,537,0.083163,0.08253,1.007678,-0.125043,0.665074,-0.026232,-0.12861,-0.082251,0.2086,0.0602,0.0631,0.0612,-0.1451,-0.0595,-0.1225,0.002,-0.0709
improved_phase2_aggressive_neutral_cash_unlock,holdout_2020,improved_phase2_aggressive_neutral_cash_unlock,328,0.097023,0.091467,1.060738,-0.125043,0.775912,-0.027628,-0.12861,-0.049786,0.2192,0.0589,0.0653,0.0658,-0.1397,-0.0674,-0.1422,0.0017,-0.0613
improved_phase2_aggressive_neutral_cash_unlock,holdout_2021,improved_phase2_aggressive_neutral_cash_unlock,276,0.105012,0.078323,1.340756,-0.076287,1.376535,-0.021518,-0.078258,-0.049786,0.2073,0.0621,0.0654,0.0932,-0.1452,-0.0363,-0.0743,0.0027,-0.0433
improved_phase2_aggressive_neutral_cash_unlock,bear_2022,improved_phase2_aggressive_neutral_cash_unlock,52,-0.01141,0.064408,-0.177155,-0.069271,-0.16472,-0.01643,-0.025111,-0.049786,0.5367,0.0317,0.0459,0.0421,0.0449,0.0135,0.0482,0.0017,0.1508
improved_phase2_aggressive_neutral_cash_unlock,recovery_2023,improved_phase2_aggressive_neutral_cash_unlock,171,0.147858,0.083019,1.781016,-0.076287,1.938185,-0.022202,-0.078258,-0.027227,0.0953,0.0603,0.0691,0.1369,-0.2437,-0.0755,-0.13,0.0039,-0.0669
improved_phase2_aggressive_calm_offense_unlock,full,improved_phase2_aggressive_calm_offense_unlock,1110,0.071428,0.077882,0.91713,-0.127494,0.560245,-0.025973,-0.13147,-0.087045,0.2615,0.0614,0.0619,0.0443,-0.1277,-0.0313,-0.0705,0.0002,-0.048
improved_phase2_aggressive_calm_offense_unlock,holdout_2016,improved_phase2_aggressive_calm_offense_unlock,537,0.080925,0.081333,0.994987,-0.127494,0.634739,-0.025943,-0.13147,-0.087045,0.2206,0.0599,0.0622,0.0591,-0.142,-0.0584,-0.122,-0.0002,-0.0733
improved_phase2_aggressive_calm_offense_unlock,holdout_2020,improved_phase2_aggressive_calm_offense_unlock,328,0.094822,0.090255,1.050601,-0.127494,0.743743,-0.027353,-0.13147,-0.049787,0.2276,0.0595,0.0644,0.0643,-0.1367,-0.0663,-0.1418,-0.0004,-0.0636
improved_phase2_aggressive_calm_offense_unlock,holdout_2021,improved_phase2_aggressive_calm_offense_unlock,276,0.103432,0.07694,1.344321,-0.072589,1.424896,-0.021067,-0.074368,-0.049787,0.217,0.0626,0.0643,0.0913,-0.1437,-0.0351,-0.0731,0.0012,-0.045
improved_phase2_aggressive_calm_offense_unlock,bear_2022,improved_phase2_aggressive_calm_offense_unlock,52,-0.012094,0.061524,-0.196568,-0.067945,-0.177992,-0.01578,-0.025124,-0.049787,0.5488,0.0307,0.0428,0.0375,0.0425,0.0122,0.0456,0.0009,0.1499
improved_phase2_aggressive_calm_offense_unlock,recovery_2023,improved_phase2_aggressive_calm_offense_unlock,171,0.144001,0.080883,1.780357,-0.072589,1.983782,-0.021552,-0.074368,-0.031207,0.1158,0.0611,0.0679,0.1348,-0.2354,-0.0716,-0.1265,0.0004,-0.071
improved_phase2_aggressive_recovery_confirmed_boost,full,improved_phase2_aggressive_recovery_confirmed_boost,1110,0.071475,0.076272,0.937102,-0.117491,0.608342,-0.02537,-0.120562,-0.079144,0.2685,0.0602,0.0624,0.0449,-0.1267,-0.031,-0.0713,0.0001,-0.0481
improved_phase2_aggressive_recovery_confirmed_boost,holdout_2016,improved_phase2_aggressive_recovery_confirmed_boost,537,0.081193,0.079893,1.016272,-0.117491,0.691058,-0.025422,-0.120562,-0.0771,0.2309,0.0586,0.0624,0.0603,-0.1407,-0.0573,-0.1218,-0.0001,-0.0731
improved_phase2_aggressive_recovery_confirmed_boost,holdout_2020,improved_phase2_aggressive_recovery_confirmed_boost,328,0.095928,0.088518,1.083708,-0.117491,0.816469,-0.026656,-0.120562,-0.049786,0.2383,0.0576,0.0648,0.0653,-0.1374,-0.0651,-0.142,0.0004,-0.0627
improved_phase2_aggressive_recovery_confirmed_boost,holdout_2021,improved_phase2_aggressive_recovery_confirmed_boost,276,0.102166,0.076189,1.340954,-0.07298,1.39993,-0.021012,-0.074777,-0.049786,0.2277,0.061,0.0645,0.0905,-0.1416,-0.0344,-0.0723,-0.0,-0.0464
