portfolio,window,upside_capture,downside_capture,beta_spy,corr_spy,active_vs_ggg1,active_vs_phase4b_best
improved_phase7_larger_sector_calm,full,0.0484,-0.1397,-0.0332,-0.0699,0.0075,0.0009
improved_phase7_larger_sector_calm,holdout_2016,0.0653,-0.151,-0.0613,-0.1196,0.0067,0.0007
improved_phase7_larger_sector_calm,holdout_2020,0.0644,-0.1379,-0.0695,-0.1374,0.0001,-0.0007
improved_phase7_larger_sector_calm,holdout_2021,0.0943,-0.1509,-0.0424,-0.0797,0.006,0.0006
improved_phase7_larger_sector_calm,bear_2022,0.0442,0.0533,0.0128,0.0455,-0.0035,-0.0013
improved_phase7_larger_sector_calm,recovery_2023,0.1335,-0.2165,-0.0749,-0.1213,-0.0068,-0.0046
improved_phase7_expression_boost,full,0.048,-0.1377,-0.033,-0.0715,0.0064,-0.0002
improved_phase7_expression_boost,holdout_2016,0.0639,-0.1503,-0.0611,-0.122,0.0056,-0.0003
improved_phase7_expression_boost,holdout_2020,0.0651,-0.1387,-0.0694,-0.1413,0.0009,0.0001
improved_phase7_expression_boost,holdout_2021,0.0949,-0.1493,-0.0408,-0.0792,0.0057,0.0003
improved_phase7_expression_boost,bear_2022,0.0417,0.0508,0.0124,0.0444,-0.003,-0.0009
improved_phase7_expression_boost,recovery_2023,0.1377,-0.2259,-0.0753,-0.1248,-0.0011,0.001
improved_phase7_max_sector_rerisk,full,0.0485,-0.14,-0.0334,-0.0704,0.0077,0.001
improved_phase7_max_sector_rerisk,holdout_2016,0.0654,-0.1512,-0.0618,-0.1204,0.0068,0.0009
improved_phase7_max_sector_rerisk,holdout_2020,0.0643,-0.1385,-0.0703,-0.1388,0.0003,-0.0005
improved_phase7_max_sector_rerisk,holdout_2021,0.0937,-0.151,-0.0432,-0.0812,0.0057,0.0003
improved_phase7_max_sector_rerisk,bear_2022,0.0418,0.0537,0.0117,0.0413,-0.0051,-0.003
improved_phase7_max_sector_rerisk,recovery_2023,0.1336,-0.218,-0.0761,-0.1232,-0.0062,-0.0041
improved_phase7_combined_offensive,full,0.0479,-0.14,-0.0335,-0.0704,0.0073,0.0007
improved_phase7_combined_offensive,holdout_2016,0.0646,-0.1513,-0.0617,-0.1199,0.0064,0.0005
improved_phase7_combined_offensive,holdout_2020,0.0644,-0.1384,-0.0701,-0.1381,0.0003,-0.0005
improved_phase7_combined_offensive,holdout_2021,0.0945,-0.1513,-0.043,-0.0805,0.0063,0.0009
improved_phase7_combined_offensive,bear_2022,0.0425,0.0534,0.012,0.0423,-0.0045,-0.0024
improved_phase7_combined_offensive,recovery_2023,0.1343,-0.2181,-0.0757,-0.1221,-0.0058,-0.0036
improved_phase7_stretch_target,full,0.0483,-0.1415,-0.0338,-0.0698,0.0082,0.0015
improved_phase7_stretch_target,holdout_2016,0.0654,-0.1522,-0.0626,-0.1193,0.0072,0.0013
improved_phase7_stretch_target,holdout_2020,0.0644,-0.139,-0.0713,-0.1374,0.0006,-0.0002
improved_phase7_stretch_target,holdout_2021,0.0945,-0.1527,-0.0448,-0.082,0.0069,0.0015
improved_phase7_stretch_target,bear_2022,0.0425,0.0555,0.0112,0.0387,-0.0062,-0.004
improved_phase7_stretch_target,recovery_2023,0.1335,-0.2168,-0.0775,-0.1229,-0.0067,-0.0045
ggg1,full,0.0451,-0.1262,-0.0308,-0.071,0.0,-0.0066
ggg1,holdout_2016,0.0605,-0.1406,-0.0575,-0.1224,0.0,-0.0059
ggg1,holdout_2020,0.0655,-0.1362,-0.0653,-0.1429,0.0,-0.0008
ggg1,holdout_2021,0.0914,-0.1404,-0.0343,-0.0726,0.0,-0.0054
ggg1,bear_2022,0.0362,0.0425,0.012,0.0452,0.0,0.0021
ggg1,recovery_2023,0.136,-0.2322,-0.0703,-0.1257,0.0,0.0022
phase2_best,full,0.0464,-0.1308,-0.0321,-0.0716,0.0027,-0.0039
phase2_best,holdout_2016,0.0612,-0.1451,-0.0595,-0.1225,0.0021,-0.0038
phase2_best,holdout_2020,0.0658,-0.1397,-0.0674,-0.1422,0.0019,0.0011
phase2_best,holdout_2021,0.0932,-0.1452,-0.0363,-0.0743,0.003,-0.0024
phase2_best,bear_2022,0.0421,0.0449,0.0135,0.0482,0.0017,0.0038
phase2_best,recovery_2023,0.1369,-0.2437,-0.0755,-0.13,0.0045,0.0067
phase3_best,full,0.0479,-0.1255,-0.0304,-0.071,0.0012,-0.0054
phase3_best,holdout_2016,0.0665,-0.1415,-0.0568,-0.1216,0.0036,-0.0023
phase3_best,holdout_2020,0.0701,-0.1382,-0.0649,-0.1419,0.0039,0.0031
phase3_best,holdout_2021,0.0974,-0.1403,-0.0326,-0.0693,0.0034,-0.002
phase3_best,bear_2022,0.0376,0.0455,0.0117,0.0445,-0.0014,0.0007
phase3_best,recovery_2023,0.1477,-0.2307,-0.0653,-0.1179,0.0062,0.0084
phase4b_best,full,0.0485,-0.1374,-0.0327,-0.071,0.0066,0.0
phase4b_best,holdout_2016,0.0646,-0.15,-0.0608,-0.1219,0.0059,0.0
phase4b_best,holdout_2020,0.0651,-0.1383,-0.0689,-0.1407,0.0008,0.0
phase4b_best,holdout_2021,0.0947,-0.1489,-0.0403,-0.0786,0.0054,0.0
phase4b_best,bear_2022,0.0433,0.0508,0.0133,0.0476,-0.0021,0.0
phase4b_best,recovery_2023,0.1369,-0.2243,-0.0745,-0.1243,-0.0022,0.0
phase6_best,full,0.0491,-0.138,-0.0326,-0.07,0.0072,0.0005
phase6_best,holdout_2016,0.0653,-0.1503,-0.0607,-0.1203,0.0064,0.0005
phase6_best,holdout_2020,0.0655,-0.1375,-0.0688,-0.1385,0.0006,-0.0002
phase6_best,holdout_2021,0.0953,-0.1493,-0.0406,-0.0781,0.0059,0.0005
phase6_best,bear_2022,0.0442,0.0516,0.0133,0.0476,-0.0022,-0.0001
