file_path,category,row_count,column_count,start_date,end_date,frequency,key_columns,useful_for_signal_discovery,leakage_risk_notes,recommended_use
data/03_layer2a_strategy_logic/layer2_manifest.json,layer2a_sleeve,24.0,,,,unknown,,True,,
data/03_layer2a_strategy_logic/phase_b_sleeve_candidate_summary.csv,layer2a_sleeve,3.0,14.0,,,unknown,strategy_name|ann_return|ann_vol|sharpe|max_drawdown|calmar|cvar_5|turnover|hit_rate|avg_bil|avg_spy|avg_offense,True,,
data/03_layer2a_strategy_logic/phase_b_sleeve_correlation.csv,layer2a_sleeve,15.0,3.0,,,unknown,candidate_strategy|reference_strategy|return_corr,True,,
data/03_layer2a_strategy_logic/phase_b_sleeve_state_summary.csv,layer2a_sleeve,15.0,11.0,,,unknown,strategy_name|market_state|observations|ann_return_state|ann_vol_state|sharpe_state|avg_bil_state|avg_spy_state|avg_offense_state|avg_defense_state|avg_cash_state,True,,
data/03_layer2a_strategy_logic/phase_f_current_sleeve_correlation.csv,layer2a_sleeve,15.0,3.0,,,unknown,left_sleeve|right_sleeve|return_corr,True,,
data/03_layer2a_strategy_logic/phase_f_current_sleeve_role_summary.csv,layer2a_sleeve,6.0,8.0,,,unknown,strategy_name|avg_abs_corr_to_panel|best_state_by_sharpe|best_state_sharpe|calm_trend_sharpe|recovery_confirmed_sharpe|recovery_fragile_sharpe|stressed_panic_sharpe,True,,
data/03_layer2a_strategy_logic/phase_f_current_sleeve_state_summary.csv,layer2a_sleeve,30.0,10.0,,,unknown,strategy_name|market_state|observations|ann_return_state|ann_vol_state|sharpe_state|avg_bil_state|avg_offense_state|avg_defense_state|avg_cash_state,True,,
data/03_layer2a_strategy_logic/phase_f_panel_blend_holdout_summary.csv,layer2a_sleeve,2.0,5.0,,,unknown,panel_name|dev_ann_return|dev_sharpe|holdout_ann_return|holdout_sharpe,True,,
data/03_layer2a_strategy_logic/phase_f_panel_blend_state_summary.csv,layer2a_sleeve,10.0,5.0,,,unknown,panel_name|market_state|ann_return_state|ann_vol_state|sharpe_state,True,,
data/03_layer2a_strategy_logic/phase_f_panel_blend_summary.csv,layer2a_sleeve,2.0,6.0,,,unknown,panel_name|ann_return|ann_vol|sharpe|max_drawdown|cvar_5,True,,
