variant_name,base_signal,decision,reason,event_count,event_frequency,event_start_count,incrementality_flag,best_horizon_weeks,best_return_lift_vs_all_weeks,best_return_lift_vs_raw,best_positive_barrier_lift_vs_raw,best_negative_barrier_lift_vs_raw,holdout_event_count_max,holdout_avg_return_best
breadth_ret13_positive_x_recovery_confirmed_state_filtered_event,breadth_ret13_positive_x_recovery_confirmed_signal,KEEP_FOR_ADDITIONAL_EVENT_VALIDATION,Variant improves raw behavior but has simplification/state-overlap concerns.,44,0.03963963963963964,19,DUPLICATES_STATE_ENGINE,13,0.026572137756434463,0.026572137756434463,0.4417235319624804,-0.07321359289773376,34,0.05324794861914638
efa_spy_strength_scaled_score_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_ADDITIONAL_EVENT_VALIDATION,Variant improves raw behavior but has simplification/state-overlap concerns.,211,0.1900900900900901,35,INCREMENTAL_SELECTIVE,13,0.009106613478787027,0.008103385435121877,0.2634616845143161,0.013290802764486978,141,0.029361274826713035
market_trend_vol_scaled_score_event,market_trend_positive_signal,KEEP_FOR_ADDITIONAL_EVENT_VALIDATION,Variant improves raw behavior but has simplification/state-overlap concerns.,178,0.16036036036036036,21,INCREMENTAL_SELECTIVE,13,0.0024360210420837115,0.0005219664715225836,0.22774524363249182,0.12124183922216929,121,0.026913714407127035
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,84,0.07567567567567568,20,INCREMENTAL_SELECTIVE,13,0.010060414005394147,0.009057185961728997,0.046031746031746035,-0.02539682539682539,48,0.02606157846938748
efa_spy_low_or_normal_vol_top20_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,89,0.08018018018018018,21,INCREMENTAL_SELECTIVE,13,0.007880032221471926,0.0068768041778067765,0.10892172961138485,0.01532567049808431,48,0.020331882379376155
efa_spy_vol_filtered_top20_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,109,0.0981981981981982,24,INCREMENTAL_SELECTIVE,13,0.007044894085390267,0.0060416660417251175,0.0594852827862537,0.015102481121898603,60,0.01895688446685075
efa_spy_raw_top30_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,219,0.1972972972972973,39,INCREMENTAL_SELECTIVE,13,0.0028607588675688515,0.0018575308239037018,0.08234126984126988,-0.006944444444444434,114,0.020470646759345956
market_trend_breadth_confirmed_event,market_trend_positive_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,344,0.3099099099099099,66,INCREMENTAL_SELECTIVE,13,0.002858680591072745,0.0009446260205116172,0.07007182642196902,0.00804127406035808,210,0.023805876956762215
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,107,0.0963963963963964,32,INCREMENTAL_SELECTIVE,13,0.0014453026604156864,0.0004420746167505367,-0.007936507936507908,-0.033333333333333326,48,0.0201228092742273
leadlag_GLD_minus_SPY_13w_vol_filtered_top20_event,leadlag_GLD_minus_SPY_13w_signal,KEEP_FOR_OOO6_PORTFOLIO_PASS_THROUGH,Sized variant improves raw event behavior with acceptable selectivity and holdout.,124,0.11171171171171171,33,INCREMENTAL_SELECTIVE,13,0.0012380038624032023,0.0001455240771729878,0.07495798319327729,0.007731092436974792,81,0.030103413003804508
market_trend_ex_high_vol_drawdown_event,market_trend_positive_signal,REJECT_SIZING_VALIDATION,Variant fires too often after sizing/selectivity filter.,595,0.536036036036036,44,TOO_BROAD,13,0.0021151128688147794,0.00020105829825365143,0.05054964629243219,0.019640524538992662,353,0.02224819303176906
market_trend_raw_event,market_trend_positive_signal,REJECT_SIZING_VALIDATION,Variant fires too often after sizing/selectivity filter.,865,0.7792792792792793,35,TOO_BROAD,13,0.001914054570561128,0.0,0.0,0.0,440,0.021406856497257702
leadlag_GLD_minus_SPY_13w_top20_event,leadlag_GLD_minus_SPY_13w_signal,REJECT_SIZING_VALIDATION,Sizing did not improve raw event behavior enough.,197,0.17747747747747747,39,INCREMENTAL_SELECTIVE,13,0.0010924797852302146,0.0,0.0,0.0,110,0.02682668250504324
efa_spy_drawdown_aware_top20_event,leadlag_EFA_minus_SPY_13w_signal,REJECT_SIZING_VALIDATION,Sizing did not improve raw event behavior enough.,145,0.13063063063063063,34,INCREMENTAL_SELECTIVE,13,0.0010032280436651497,0.0,0.0,0.0,72,0.01845598922948047
efa_spy_raw_top20_event,leadlag_EFA_minus_SPY_13w_signal,REJECT_SIZING_VALIDATION,Sizing did not improve raw event behavior enough.,145,0.13063063063063063,34,INCREMENTAL_SELECTIVE,13,0.0010032280436651497,0.0,0.0,0.0,72,0.01845598922948047
leadlag_DBA_minus_SPY_13w_top20_event,leadlag_DBA_minus_SPY_13w_signal,REJECT_SIZING_VALIDATION,Sizing did not improve raw event behavior enough.,226,0.2036036036036036,51,INCREMENTAL_SELECTIVE,4,0.000522828505789965,0.0,0.0,0.0,100,0.015060461323055142
market_trend_calm_neutral_event,market_trend_positive_signal,REJECT_SIZING_VALIDATION,Variant fires too often after sizing/selectivity filter.,716,0.645045045045045,61,TOO_BROAD,4,0.0004930308965175332,-0.00031858220763119737,0.019336312728638838,0.003821883491137129,352,0.020263333797519278
market_trend_recent_stress_filtered_event,market_trend_positive_signal,REJECT_SIZING_VALIDATION,Variant fires too often after sizing/selectivity filter.,527,0.47477477477477475,17,TOO_BROAD,4,9.78298041538388e-05,-0.0007137832999948917,-0.01309204322912888,0.01206364173289537,268,0.020961864550522014
breadth_ret13_positive_x_recovery_confirmed_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,REJECT_SIZING_VALIDATION,Variant fires too often after sizing/selectivity filter.,1058,0.9531531531531532,1,TOO_BROAD,4,0.0,0.0,0.0,0.0,533,0.020791099479903943
breadth_ret13_positive_x_recovery_confirmed_vol_filtered_top20_event,breadth_ret13_positive_x_recovery_confirmed_signal,REJECT_SIZING_VALIDATION,Variant fires too often after sizing/selectivity filter.,776,0.6990990990990991,23,TOO_BROAD,4,-0.0004790933587337093,-0.0004790933587337093,0.03162481447310361,0.016115768783344697,433,0.021289568600319615
market_drawdown_top20_event,market_drawdown_signal,REJECT_SIZING_VALIDATION,Sizing did not improve raw event behavior enough.,169,0.15225225225225225,21,INCREMENTAL_SELECTIVE,4,-0.0007581608687638533,0.0,0.0,0.0,50,0.014820037830498692
leadlag_DBA_minus_SPY_13w_vol_filtered_top20_event,leadlag_DBA_minus_SPY_13w_signal,REJECT_SIZING_VALIDATION,Sizing did not improve raw event behavior enough.,153,0.13783783783783785,39,INCREMENTAL_SELECTIVE,4,-0.0009561339981571633,-0.0014789625039471283,-0.0024284943335132203,0.017419200095940515,74,0.01774731043634652
market_drawdown_vol_filtered_top20_event,market_drawdown_signal,REJECT_SIZING_VALIDATION,Sizing did not improve raw event behavior enough.,136,0.12252252252252252,13,INCREMENTAL_SELECTIVE,4,-0.002023065043949517,-0.0012649041751856636,0.012195121951219523,0.014347202295552364,41,0.011585806434822292
