ooo_signal_or_event,event_frequency,max_abs_corr_sequence,closest_sequence_feature,max_event_overlap_sequence,max_overlap_sequence_feature,overlap_flag
ooo3event_breadth_ret13_positive_x_recovery_confirmed_state_filtered_event_lag1,0.03873873873873874,1.0,state_lag1_recovery_confirmed,1.0,state_lag1_recovery_confirmed,MOSTLY_STATE_SEQUENCE_PROXY
ooo2_breadth_ret13_positive_x_recovery_confirmed_signal_lag1,0.03873873873873874,0.761359616004415,path2_lag_recovery_confirmed->recovery_confirmed,0.5813953488372093,state_lag1_recovery_confirmed,MOSTLY_STATE_SEQUENCE_PROXY
ooo2_breadth_ret13_positive_x_neutral_mixed_signal_lag1,0.43963963963963965,0.7461473165114777,path2_lag_neutral_mixed->neutral_mixed,0.805327868852459,state_lag1_neutral_mixed,MOSTLY_STATE_SEQUENCE_PROXY
ooo2_breadth_ret13_positive_x_stressed_panic_signal_lag1,0.20540540540540542,0.7185356638558857,path2_lag_stressed_panic->stressed_panic,0.868421052631579,state_lag1_stressed_panic,MOSTLY_STATE_SEQUENCE_PROXY
ooo3event_market_trend_calm_neutral_event_lag1,0.645045045045045,0.6885518366377502,state_lag1_stressed_panic,0.5893854748603352,state_lag1_neutral_mixed,MOSTLY_STATE_SEQUENCE_PROXY
ooo2_market_trend_positive_signal_lag1,0.7792792792792793,0.6398070485768284,state_lag1_stressed_panic,0.48786127167630056,state_lag1_neutral_mixed,MOSTLY_STATE_SEQUENCE_PROXY
ooo3event_market_trend_raw_event_lag1,0.7792792792792793,0.6378408078544505,state_lag1_stressed_panic,0.48786127167630056,state_lag1_neutral_mixed,MOSTLY_STATE_SEQUENCE_PROXY
ooo3event_breadth_ret13_positive_x_recovery_confirmed_top20_event_lag1,0.9522522522522523,0.5768283345899358,refined_state_lag1_neutral_mixed,0.4228949858088931,state_lag1_neutral_mixed,MOSTLY_STATE_SEQUENCE_PROXY
ooo2_breadth_ret26_positive_signal_lag1,0.9873873873873874,0.5496500900453811,state_lag1_stressed_panic,0.43795620437956206,state_lag1_neutral_mixed,MOSTLY_STATE_SEQUENCE_PROXY
ooo2_breadth_ret13_positive_signal_lag1,0.9936936936936936,0.5377623150345382,state_lag1_stressed_panic,0.44152311876699907,state_lag1_neutral_mixed,MOSTLY_STATE_SEQUENCE_PROXY
ooo3event_market_drawdown_top20_event_lag1,0.15225225225225225,0.49677029516782717,path2_lag_stressed_panic->stressed_panic,0.6804733727810651,state_lag1_stressed_panic,PARTLY_INCREMENTAL_OR_MIXED
ooo2_recent_stress_26w_signal_lag1,0.4837837837837838,0.4817265424986602,state_lag1_stressed_panic,0.40782122905027934,state_lag1_stressed_panic,PARTLY_INCREMENTAL_OR_MIXED
ooo2_leadlag_GLD_minus_SPY_13w_signal_lag1,0.4648648648648649,0.4811311508532611,state_lag1_stressed_panic,0.4108527131782946,state_lag1_neutral_mixed,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_market_trend_recent_stress_filtered_event_lag1,0.47477477477477475,0.45865849169337647,state_lag1_stressed_panic,0.5142314990512334,state_lag1_neutral_mixed,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_market_drawdown_vol_filtered_top20_event_lag1,0.12252252252252252,0.45020539705916784,path2_lag_stressed_panic->stressed_panic,0.6764705882352942,state_lag1_stressed_panic,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_breadth_ret13_positive_x_recovery_confirmed_vol_filtered_top20_event_lag1,0.6990990990990991,0.4398317813521568,refined_state_lag1_neutral_mixed,0.39948453608247425,state_lag1_neutral_mixed,PARTLY_INCREMENTAL_OR_MIXED
ooo2_market_drawdown_signal_lag1,0.0,0.4268629235964628,path2_lag_stressed_panic->stressed_panic,0.0,,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_leadlag_GLD_minus_SPY_13w_top20_event_lag1,0.17657657657657658,0.4177169556470653,state_lag1_stressed_panic,0.5714285714285714,state_lag1_stressed_panic,PARTLY_INCREMENTAL_OR_MIXED
ooo2_leadlag_DBA_minus_SPY_13w_signal_lag1,0.35405405405405405,0.4150506290212258,state_lag1_stressed_panic,0.4300254452926209,state_lag1_stressed_panic,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_market_trend_ex_high_vol_drawdown_event_lag1,0.536036036036036,0.4148344867240691,state_lag1_stressed_panic,0.46050420168067224,state_lag1_neutral_mixed,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_leadlag_DBA_minus_SPY_13w_top20_event_lag1,0.20270270270270271,0.38519879568150434,state_lag1_stressed_panic,0.5155555555555555,state_lag1_stressed_panic,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_leadlag_GLD_minus_SPY_13w_vol_filtered_top20_event_lag1,0.11171171171171171,0.3650685038949263,path2_lag_stressed_panic->stressed_panic,0.6048387096774194,state_lag1_stressed_panic,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_market_trend_breadth_confirmed_event_lag1,0.3099099099099099,0.3508314156133819,path2_lag_calm_trend->calm_trend,0.4883720930232558,state_lag1_calm_trend,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_leadlag_DBA_minus_SPY_13w_vol_filtered_top20_event_lag1,0.13783783783783785,0.3392167365480822,path2_lag_stressed_panic->stressed_panic,0.5424836601307189,state_lag1_stressed_panic,PARTLY_INCREMENTAL_OR_MIXED
ooo2_leadlag_HYG_minus_LQD_13w_signal_lag1,0.5423423423423424,0.3182298511864617,state_lag1_stressed_panic,0.473421926910299,state_lag1_neutral_mixed,PARTLY_INCREMENTAL_OR_MIXED
ooo2_leadlag_HYG_minus_LQD_13w_x_calm_trend_signal_lag1,0.15495495495495495,0.30949053324419207,path2_lag_calm_trend->calm_trend,0.877906976744186,state_lag1_calm_trend,MOSTLY_STATE_SEQUENCE_PROXY
ooo3event_efa_spy_raw_top10_event_lag1,0.07567567567567568,0.203788454885442,state_lag1_recovery_fragile,0.5,state_lag1_neutral_mixed,PARTLY_INCREMENTAL_OR_MIXED
ooo2_leadlag_EFA_minus_SPY_13w_signal_lag1,0.37027027027027026,0.2003521227135397,refined_state_lag1_neutral_mixed,0.45742092457420924,state_lag1_neutral_mixed,PARTLY_INCREMENTAL_OR_MIXED
ooo2_canary_breadth_pair_signal_lag1,0.8306306306306306,0.18691958484036325,refined_state_lag1_neutral_healthy,0.4175704989154013,state_lag1_neutral_mixed,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_market_trend_vol_scaled_score_event_lag1,0.16036036036036036,0.1745060950504594,state_lag1_stressed_panic,0.43258426966292135,state_lag1_neutral_mixed,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_efa_spy_market_trend_confirmed_top20_event_lag1,0.0963963963963964,0.1713901735364262,path2_lag_recovery_fragile->recovery_fragile,0.5327102803738317,state_lag1_neutral_mixed,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_efa_spy_strength_scaled_score_event_lag1,0.1900900900900901,0.16151611871250662,path2_lag_neutral_mixed->neutral_mixed,0.33649289099526064,state_lag1_calm_trend,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_efa_spy_raw_top20_event_lag1,0.12972972972972974,0.15191329560052846,state_lag1_recovery_fragile,0.4791666666666667,state_lag1_neutral_mixed,PARTLY_INCREMENTAL_OR_MIXED
ooo3event_efa_spy_drawdown_aware_top20_event_lag1,0.12972972972972974,0.15191329560052846,state_lag1_recovery_fragile,0.4791666666666667,state_lag1_neutral_mixed,PARTLY_INCREMENTAL_OR_MIXED
