diagnostic,group,n_weeks,stress_transition_4w_rate,stress_transition_8w_rate,avg_ggg1_fwd_4w,avg_ggg1_fwd_8w
current_state,stressed_panic,229,0.10964912280701754,0.2422907488986784,0.002981108385140175,0.006859995963422109
current_state,neutral_mixed,493,0.1670061099796334,0.24180327868852458,0.006018702918817445,0.010851481613551633
current_state,recovery_fragile,49,0.10204081632653061,0.22448979591836735,0.00374519511293821,0.01359468821678871
current_state,calm_trend,295,0.023728813559322035,0.061016949152542375,0.005121409624259299,0.010786308605274146
current_state,recovery_confirmed,44,0.0,0.0,0.016731987480889613,0.032721388263432204
current_state_dwell,stressed_panic|new_state_1_2w,49,0.20833333333333334,0.3404255319148936,0.003244538847426509,0.005975192886473807
current_state_dwell,stressed_panic|young_3_6w,53,0.07547169811320754,0.3018867924528302,0.0016814807579850922,0.00648122257199825
current_state_dwell,neutral_mixed|mature_7_13w,103,0.14563106796116504,0.30097087378640774,0.003488559060349044,0.005756368489484457
current_state_dwell,neutral_mixed|old_14w_plus,86,0.20930232558139536,0.27710843373493976,0.0030420637994599264,0.007858724750645767
current_state_dwell,recovery_fragile|new_state_1_2w,34,0.11764705882352941,0.23529411764705882,0.0023070327623233217,0.010606382773003369
current_state_dwell,neutral_mixed|new_state_1_2w,162,0.175,0.2125,0.007689712541458371,0.014918693503895183
current_state_dwell,neutral_mixed|young_3_6w,142,0.14788732394366197,0.2112676056338028,0.007773873637581131,0.01171374618358781
current_state_dwell,recovery_fragile|young_3_6w,15,0.06666666666666667,0.2,0.007005029774331957,0.020368180556035488
current_state_dwell,stressed_panic|old_14w_plus,63,0.06349206349206349,0.19047619047619047,0.0011459808128664018,0.003767386892057714
current_state_dwell,stressed_panic|mature_7_13w,64,0.109375,0.171875,0.005666243371120223,0.010867731992453226
current_state_dwell,calm_trend|old_14w_plus,50,0.06,0.12,-0.0015555193160039394,0.00422521963258629
current_state_dwell,calm_trend|young_3_6w,91,0.04395604395604396,0.08791208791208792,0.010272565711947446,0.011679789186896165
current_state_dwell,calm_trend|new_state_1_2w,76,0.0,0.039473684210526314,0.004102671700967156,0.016221472094737385
current_state_dwell,calm_trend|mature_7_13w,78,0.0,0.01282051282051282,0.004384426614050881,0.008653940534858545
current_state_dwell,recovery_confirmed|new_state_1_2w,30,0.0,0.0,0.013249638374460911,0.027720177875645714
current_state_dwell,recovery_confirmed|young_3_6w,14,0.0,0.0,0.023945424915634783,0.0430810383524185
named_question,neutral_mixed_after_stressed_panic,24,0.5652173913043478,0.6086956521739131,0.0018954579040018217,0.0032806596597611706
named_question,neutral_mixed_old_14w_plus,86,0.20930232558139536,0.27710843373493976,0.0030420637994599264,0.007858724750645767
named_question,neutral_mixed_after_calm_trend,40,0.075,0.1,0.007386948654203224,0.01633043709837835
named_question,recovery_confirmed_after_recovery_fragile,4,0.0,0.0,0.012060083973114866,0.01682444870859401
named_question,recovery_confirmed_after_neutral_mixed,12,0.0,0.0,0.009590656086203825,0.024012162586615
named_question,recovery_confirmed_new_1_2w,30,0.0,0.0,0.013249638374460911,0.027720177875645714
named_question,recovery_confirmed_old_14w_plus,0,,,,
previous_to_current_path,stressed_panic|neutral_mixed,24,0.5652173913043478,0.6086956521739131,0.0018954579040018217,0.0032806596597611706
previous_to_current_path,stressed_panic|recovery_fragile,6,0.3333333333333333,0.5,0.006291946663920485,0.018174304001189395
